Date,Close
2018-01-01,4434.740234375
2018-01-02,4434.740234375
2018-01-03,4434.740234375
2018-01-04,4719.08154296875
2018-01-05,4864.119140625
2018-01-08,4864.119140625
2018-01-09,4896.07763671875
2018-01-10,4973.92333984375
2018-01-11,5037.83984375
2018-01-12,5186.974609375
2018-01-15,5231.2236328125
2018-01-16,5481.96826171875
2018-01-17,5293.49951171875
2018-01-18,5223.029296875
2018-01-19,5196.806640625
2018-01-22,5242.69580078125
2018-01-23,5227.9453125
2018-01-24,5036.19970703125
2018-01-25,4993.58984375
2018-01-26,5008.3388671875
2018-01-29,5019.81103515625
2018-01-30,4862.48095703125
2018-01-31,4830.52294921875
2018-02-01,4924.7578125
2018-02-02,4860.841796875
2018-02-05,4756.7763671875
2018-02-06,4540.44580078125
2018-02-07,4449.48974609375
2018-02-08,4608.4580078125
2018-02-09,4424.9072265625
2018-02-12,4424.9072265625
2018-02-13,4394.58837890625
2018-02-14,4333.94921875
2018-02-15,4424.9072265625
2018-02-16,4451.12841796875
2018-02-19,4615.01318359375
2018-02-20,4501.1142578125
2018-02-21,4519.14111328125
2018-02-22,4434.740234375
2018-02-23,4445.3935546875
2018-02-26,4487.1826171875
2018-02-27,4568.30712890625
2018-02-28,4475.7109375
2018-03-01,4424.9072265625
2018-03-02,4325.7568359375
2018-03-05,4204.48095703125
2018-03-06,4299.5341796875
2018-03-07,4221.689453125
2018-03-08,4283.96630859375
2018-03-09,4291.3408203125
2018-03-12,4466.697265625
2018-03-13,4505.2099609375
2018-03-14,4462.60107421875
2018-03-15,4436.37939453125
2018-03-16,4364.26904296875
2018-03-19,4392.13037109375
2018-03-20,4247.91015625
2018-03-21,4247.91015625
2018-03-22,4402.7822265625
2018-03-23,4211.03759765625
2018-03-26,4304.451171875
2018-03-27,4382.296875
2018-03-28,4420.8701171875
2018-03-29,4403.46875
2018-03-30,4468.103515625
2018-04-02,4429.1572265625
2018-04-03,4315.63134765625
2018-04-04,4260.93994140625
2018-04-05,4318.11669921875
2018-04-06,4277.51318359375
2018-04-09,4242.70947265625
2018-04-10,4382.75146484375
2018-04-11,4472.2470703125
2018-04-12,4382.75146484375
2018-04-13,4420.8701171875
2018-04-16,4361.20751953125
2018-04-17,4384.4091796875
2018-04-18,4510.36572265625
2018-04-19,4454.845703125
2018-04-20,4350.435546875
2018-04-23,4347.94873046875
2018-04-24,4394.3544921875
2018-04-25,4326.40380859375
2018-04-26,4306.515625
2018-04-27,3904.618896484375
2018-04-30,3904.618896484375
2018-05-01,3975.8837890625
2018-05-02,3919.53515625
2018-05-03,3919.53515625
2018-05-04,3919.53515625
2018-05-07,3925.335205078125
2018-05-08,3927.822021484375
2018-05-09,3880.58837890625
2018-05-10,3816.78173828125
2018-05-11,3911.247802734375
2018-05-14,3980.855224609375
2018-05-15,3947.70947265625
2018-05-16,3934.45068359375
2018-05-17,3925.335205078125
2018-05-18,3974.225830078125
2018-05-21,4040.518798828125
2018-05-22,4076.1494140625
2018-05-23,4010.686279296875
2018-05-24,3922.020751953125
2018-05-25,3926.1640625
2018-05-28,3957.652587890625
2018-05-29,3933.62158203125
2018-05-30,3837.499267578125
2018-05-31,3856.556396484375
2018-06-01,3830.868408203125
2018-06-04,3796.06494140625
2018-06-05,3833.3544921875
2018-06-06,3723.144287109375
2018-06-07,3762.9189453125
2018-06-08,3712.37109375
2018-06-11,3777.006591796875
2018-06-12,3778.6630859375
2018-06-13,3802.6943359375
2018-06-14,3763.74755859375
2018-06-15,3750.489501953125
2018-06-18,3684.19677734375
2018-06-19,3628.677490234375
2018-06-20,3689.169189453125
2018-06-21,3737.23046875
2018-06-22,3684.19677734375
2018-06-25,3675.910888671875
2018-06-26,3701.5986328125
2018-06-27,3627.019775390625
2018-06-28,3631.99169921875
2018-06-29,3646.90771484375
2018-07-02,3585.587158203125
2018-07-03,3560.72802734375
2018-07-04,3483.661865234375
2018-07-05,3462.945556640625
2018-07-06,3530.067626953125
2018-07-09,3549.126220703125
2018-07-10,3602.160400390625
2018-07-11,3555.75537109375
2018-07-12,3587.244873046875
2018-07-13,3656.851318359375
2018-07-16,3656.851318359375
2018-07-17,3508.5224609375
2018-07-18,3524.266845703125
2018-07-19,3540.01123046875
2018-07-20,3506.03564453125
2018-07-23,3423.999267578125
2018-07-24,3553.269287109375
2018-07-25,3631.99169921875
2018-07-26,3499.4072265625
2018-07-27,3557.411865234375
2018-07-30,3575.643310546875
2018-07-31,3632.820556640625
2018-08-01,3708.2275390625
2018-08-02,3590.55908203125
2018-08-03,3631.99169921875
2018-08-06,3669.28173828125
2018-08-07,3636.135498046875
2018-08-08,3686.682861328125
2018-08-09,3687.511474609375
2018-08-10,3598.01708984375
2018-08-13,3541.66845703125
2018-08-14,3600.50244140625
2018-08-15,3535.039306640625
2018-08-16,3570.67138671875
2018-08-17,3622.047607421875
2018-08-20,3603.8173828125
2018-08-21,3621.21923828125
2018-08-22,3633.64892578125
2018-08-23,3585.587158203125
2018-08-24,3544.98291015625
2018-08-27,3617.075439453125
2018-08-28,3695.79736328125
2018-08-29,3673.424072265625
2018-08-30,3681.71142578125
2018-08-31,3608.789306640625
2018-09-03,3537.525146484375
2018-09-04,3545.81201171875
2018-09-05,3522.609130859375
2018-09-06,3506.03564453125
2018-09-07,3428.97119140625
2018-09-10,3454.65966796875
2018-09-11,3483.661865234375
2018-09-12,3462.11767578125
2018-09-13,3496.9208984375
2018-09-14,3594.70263671875
2018-09-17,3594.70263671875
2018-09-18,3608.789306640625
2018-09-19,3674.2529296875
2018-09-20,3700.769775390625
2018-09-21,3740.5458984375
2018-09-24,3740.5458984375
2018-09-25,3728.115234375
2018-09-26,3779.732421875
2018-09-27,3640.9716796875
2018-09-28,3646.93115234375
2018-10-01,3698.859619140625
2018-10-02,3790.79931640625
2018-10-03,3720.993408203125
2018-10-04,3692.9013671875
2018-10-05,3634.162109375
2018-10-08,3634.162109375
2018-10-09,3544.776123046875
2018-10-10,3473.267822265625
2018-10-11,3235.7578125
2018-10-12,3311.5224609375
2018-10-15,3295.34814453125
2018-10-16,3384.73388671875
2018-10-17,3403.462158203125
2018-10-18,3264.701904296875
2018-10-19,3264.701904296875
2018-10-22,3280.024658203125
2018-10-23,3211.070556640625
2018-10-24,3211.070556640625
2018-10-25,3078.269287109375
2018-10-26,3011.867919921875
2018-10-29,3050.17626953125
2018-10-30,3153.18212890625
2018-10-31,3360.0458984375
2018-11-01,3391.543701171875
2018-11-02,3591.59716796875
2018-11-05,3561.802001953125
2018-11-06,3610.32568359375
2018-11-07,3554.140869140625
2018-11-08,3501.36083984375
2018-11-09,3333.656005859375
2018-11-12,3419.635986328125
2018-11-13,3273.214599609375
2018-11-14,3300.455810546875
2018-11-15,3236.609130859375
2018-11-16,3173.61376953125
2018-11-19,3234.906494140625
2018-11-20,3165.95166015625
2018-11-21,3162.546630859375
2018-11-22,3159.992431640625
2018-11-23,3159.992431640625
2018-11-26,3254.48583984375
2018-11-27,3278.322265625
2018-11-28,3325.1435546875
2018-11-29,3324.292236328125
2018-11-30,3301.306884765625
2018-12-03,3336.2099609375
2018-12-04,3165.10009765625
2018-12-05,3056.986572265625
2018-12-06,3022.083984375
2018-12-07,3018.67822265625
2018-12-10,2960.79052734375
2018-12-11,2897.795166015625
2018-12-12,2932.698486328125
2018-12-13,2974.41162109375
2018-12-14,2878.215087890625
2018-12-17,2879.066650390625
2018-12-18,2868.85107421875
2018-12-19,2885.876953125
2018-12-20,2782.019287109375
2018-12-21,2809.260986328125
2018-12-24,2809.260986328125
2018-12-25,2688.3779296875
2018-12-26,2753.927001953125
2018-12-27,2794.78857421875
2018-12-28,2838.204833984375
2018-12-31,2838.204833984375
2019-01-04,2713.06494140625
2019-01-07,2831.39453125
2019-01-08,2926.739013671875
2019-01-09,2982.07275390625
2019-01-10,2909.713134765625
2019-01-11,2925.88818359375
2019-01-15,3064.64794921875
2019-01-16,3051.02734375
2019-01-17,3066.350830078125
2019-01-18,3141.26416015625
2019-01-21,3162.546630859375
2019-01-22,3096.14599609375
2019-01-23,3077.417724609375
2019-01-24,3096.996826171875
2019-01-25,3174.46484375
2019-01-28,3179.572509765625
2019-01-29,3089.335693359375
2019-01-30,3095.294677734375
2019-01-31,3125.94091796875
2019-02-01,3188.08544921875
2019-02-04,3169.357177734375
2019-02-05,3222.98828125
2019-02-06,3216.17822265625
2019-02-07,3200.003173828125
2019-02-08,3072.31005859375
2019-02-12,3206.81396484375
2019-02-13,3285.1328125
2019-02-14,3227.24462890625
2019-02-15,3207.6650390625
2019-02-18,3303.009521484375
2019-02-19,3294.49658203125
2019-02-20,3304.71240234375
2019-02-21,3305.563720703125
2019-02-22,3312.3740234375
2019-02-25,3291.091796875
2019-02-26,3248.52685546875
2019-02-27,3207.6650390625
2019-02-28,3139.56201171875
2019-03-01,3200.003173828125
2019-03-04,3311.5224609375
2019-03-05,3268.9580078125
2019-03-06,3251.080810546875
2019-03-07,3159.992431640625
2019-03-08,3118.280029296875
2019-03-11,3104.6591796875
2019-03-12,3194.04443359375
2019-03-13,3131.900146484375
2019-03-14,3182.977294921875
2019-03-15,3217.029296875
2019-03-18,3259.59375
2019-03-19,3288.53759765625
2019-03-20,3282.57861328125
2019-03-22,3328.54833984375
2019-03-25,3200.85498046875
2019-03-26,3251.93212890625
2019-03-27,3292.799072265625
2019-03-28,3256.270751953125
2019-03-29,3284.10205078125
2019-04-01,3363.2470703125
2019-04-02,3512.841552734375
2019-04-03,3607.6416015625
2019-04-04,3609.381103515625
2019-04-05,3650.25830078125
2019-04-08,3617.20849609375
2019-04-09,3691.135986328125
2019-04-10,3692.875
2019-04-11,3693.744873046875
2019-04-12,3659.82568359375
2019-04-15,3753.757080078125
2019-04-16,3743.319580078125
2019-04-17,3758.97509765625
2019-04-18,3765.063232421875
2019-04-19,3818.986328125
2019-04-22,3765.063232421875
2019-04-23,3749.407958984375
2019-04-24,3725.05517578125
2019-04-25,3713.74853515625
2019-04-26,3613.729736328125
2019-05-07,3497.185546875
2019-05-08,3418.910400390625
2019-05-09,3304.9755859375
2019-05-10,3331.0673828125
2019-05-13,3312.802978515625
2019-05-14,3315.412109375
2019-05-15,3348.462158203125
2019-05-16,3304.9755859375
2019-05-17,3291.929443359375
2019-05-20,3244.9638671875
2019-05-21,3253.6611328125
2019-05-22,3240.61572265625
2019-05-23,3241.485595703125
2019-05-24,3209.304931640625
2019-05-27,3179.734619140625
2019-05-28,3189.301513671875
2019-05-29,3189.301513671875
2019-05-30,3244.094482421875
2019-05-31,3213.65380859375
2019-06-03,3107.546630859375
