asset,weekend_end,target_start,target_end,movie_year,film,gross_usd,gross_z_trailing52,blockbuster_shock,gross_100m_nominal,fwd5_return,fwd5_rv_ann,prior20_rv_ann,log_fwd5_rv_ratio,downside_semivar_5d_ann,spy_prior5_return,spy_prior20_rv_ann,vix_level_lag,target_calendar_span_days,holiday_or_closure_week,month,nfp_proxy_week,cpi_proxy_week,fomc_proxy_week
SPY,2005-07-10,2005-07-11,2005-07-15,2005,Fantastic Four,56061504.0,1.411466762735328,0,0,0.012450971986993268,0.034971932918470804,0.0957382017488181,-1.0070713964759312,1.6359843295788743e-05,0.017797027486606016,0.0957382017488181,11.449999809265137,5,0,7,0,1,0
SPY,2005-07-17,2005-07-18,2005-07-22,2005,Charlie and the Chocolate Factory,56178450.0,1.3404224950906511,0,0,0.005681815100884924,0.09032842904509009,0.09663573943873444,-0.0674963993312708,0.00252955383314218,0.012450971986993268,0.09663573943873444,10.329999923706055,5,0,7,0,0,1
SPY,2005-07-24,2005-07-25,2005-07-29,2005,Charlie and the Chocolate Factory,28253338.0,-0.22857192541818014,0,0,0.001617528555652007,0.08188083504870637,0.08856436318998105,-0.07846458696338036,0.002658373895465317,0.005681815100884924,0.08856436318998105,10.520000457763672,5,0,7,0,0,0
SPY,2005-07-31,2005-08-01,2005-08-05,2005,Wedding Crashers,20023159.0,-0.9910548418440919,0,0,-0.006974131227050275,0.09546053939560177,0.08229866871103357,0.14835801379508243,0.005632222134634905,0.001617528555652007,0.08229866871103357,11.569999694824219,5,0,7,1,0,0
SPY,2005-08-07,2005-08-08,2005-08-12,2005,The Dukes of Hazzard,30675314.0,-0.008406157715041513,0,0,0.0014642450316725581,0.07659402043969558,0.07635262236107791,0.0031566334909796188,0.002099190488333466,-0.006974131227050275,0.07635262236107791,12.479999542236328,5,0,8,0,1,0
SPY,2005-08-14,2005-08-15,2005-08-19,2005,Four Brothers,21176925.0,-0.848011392494465,0,0,-0.0048064063305130605,0.11497836226807347,0.08067160258752165,0.35435729476478894,0.008634391448664333,0.0014642450316725581,0.08067160258752165,12.739999771118164,5,0,8,0,0,0
SPY,2005-08-21,2005-08-22,2005-08-26,2005,The 40-Year-Old Virgin,21422815.0,-0.7992693176257993,0,0,-0.014060561377658619,0.08104998996002838,0.08660789258921592,-0.06632481763353425,0.006585853624145486,-0.0048064063305130605,0.08660789258921592,13.420000076293945,5,0,8,0,0,0
SPY,2005-08-28,2005-08-29,2005-09-02,2005,The 40-Year-Old Virgin,16275895.0,-1.409213127335565,0,0,0.012425970616923866,0.11700287560726343,0.08744153774561836,0.29122805343298985,0.0015915292685467779,-0.014060561377658619,0.08744153774561836,13.720000267028809,5,0,8,1,0,0
SPY,2005-09-04,2005-09-06,2005-09-12,2005,Transporter 2,16540720.0,-1.312472187772655,0,0,0.01686856768030127,0.10494644086148752,0.09626938978793567,0.08629971917566233,0.000757012976036742,0.012425970616923866,0.09626938978793567,13.569999694824219,8,1,9,0,0,0
SPY,2005-09-11,2005-09-12,2005-09-16,2005,The Exorcism of Emily Rose,30054300.0,0.07364050348649627,0,0,-0.004619871118877053,0.07714485405622247,0.10742441160933976,-0.33110253980372356,0.0024455672812434435,0.01707936351342379,0.10742441160933976,11.979999542236328,5,0,9,0,1,1
