target,horizon,family,primary_coef,primary_t,primary_p,oos_mse_improvement_pct,oos_dm_t,oos_dm_p,n_hac,n_oos,controls,key,primary_holm_p
future_log_rv_5d,5,rv,-0.01063034941469665,-0.5834143083082539,0.5596144279845636,-5.614215579627069,-2.371866909200279,0.01769846458006225,804,546,"lag_log_rv22,vix_log_lag1,spy_log_rv22_lag1,tlt_log_rv22_lag1,sofr_iorb_spread_z_lag1,traditional_mmf_growth_21d_z_lag5,crypto_volume_z_lag1",future_log_rv_5d__token_tvl_growth_21d_z_lag1,0.8286145720203647
future_log_rv_22d,22,rv,-0.02505410125018076,-0.9114501489600093,0.36205824056080416,-11.665201055074338,-1.0375469711406642,0.2994810169919925,787,512,"lag_log_rv22,vix_log_lag1,spy_log_rv22_lag1,tlt_log_rv22_lag1,sofr_iorb_spread_z_lag1,traditional_mmf_growth_21d_z_lag5,crypto_volume_z_lag1",future_log_rv_22d__token_tvl_growth_21d_z_lag1,0.8286145720203647
future_log_range_5d,5,range,0.03985251755124852,2.05206374673332,0.040163467621604096,1.122506720703087,0.5622433374927585,0.5739502381164537,804,546,"lag_log_range22,vix_log_lag1,spy_log_rv22_lag1,tlt_log_rv22_lag1,sofr_iorb_spread_z_lag1,traditional_mmf_growth_21d_z_lag5,crypto_volume_z_lag1",future_log_range_5d__token_tvl_growth_21d_z_lag1,0.2008173381080205
future_log_range_22d,22,range,0.038553118908560946,1.7032777260837026,0.08851610690808615,1.3699171674812827,0.24916418229690052,0.8032337842088219,787,512,"lag_log_range22,vix_log_lag1,spy_log_rv22_lag1,tlt_log_rv22_lag1,sofr_iorb_spread_z_lag1,traditional_mmf_growth_21d_z_lag5,crypto_volume_z_lag1",future_log_range_22d__token_tvl_growth_21d_z_lag1,0.3540644276323446
future_log_amihud_5d,5,amihud,-0.018416777945930773,-2.4307953930866115,0.01506571967295148,-6.8255153403337765,-1.2073534208394545,0.22729606568373673,804,546,"lag_log_amihud22,vix_log_lag1,spy_log_rv22_lag1,tlt_log_rv22_lag1,sofr_iorb_spread_z_lag1,traditional_mmf_growth_21d_z_lag5,crypto_volume_z_lag1",future_log_amihud_5d__token_tvl_growth_21d_z_lag1,0.09039431803770888
future_log_amihud_22d,22,amihud,-0.009422078606671103,-1.0888844204975159,0.27620485734012157,-22.586612045316755,-2.326201509491249,0.02000780318594765,787,512,"lag_log_amihud22,vix_log_lag1,spy_log_rv22_lag1,tlt_log_rv22_lag1,sofr_iorb_spread_z_lag1,traditional_mmf_growth_21d_z_lag5,crypto_volume_z_lag1",future_log_amihud_22d__token_tvl_growth_21d_z_lag1,0.8286145720203647
