ticker,date,next_trading_date,signal_pressure,abs_pressure,signal_side,signal_volume,entry_price_1551,close_price,next_open_price,next_close_price,late_close_return,overnight_open_return,next_close_return,high_pressure_threshold,is_high_pressure
SPY,2026-05-26,2026-05-27,0.7054893275868395,0.7054893275868395,1,2562026.0,750.5900268554688,750.469970703125,750.8800048828125,750.469970703125,-0.00015996183069966126,0.000546220663469479,0.0,,False
SPY,2026-05-27,2026-05-28,-0.2650092086528502,0.2650092086528502,-1,2010066.0,750.5700073242188,750.469970703125,750.25,754.6400146484375,-0.00013328974938204392,-0.0002931535649482854,0.005541195867332363,,False
SPY,2026-05-28,2026-05-29,-0.00615300336033377,0.00615300336033377,-1,3022914.0,754.7100219726562,754.6400146484375,755.9000244140625,756.4000244140625,-9.276486245127586e-05,0.001668290843378965,0.0023295353082005655,,False
SPY,2026-05-29,2026-06-01,0.2229286214378616,0.2229286214378616,1,4466313.0,756.6500244140625,756.4000244140625,755.3599853515625,758.4400024414062,-0.0003304583380684651,-0.0013759316556385328,0.0026933263240291796,,False
SPY,2026-06-01,2026-06-02,-0.7578979187823276,0.7578979187823276,-1,3036876.0,758.4099731445312,758.4400024414062,757.030029296875,759.469970703125,3.959428732208721e-05,-0.0018607739141467215,0.0013570876244501913,,False
SPY,2026-06-02,2026-06-03,0.16517364966016657,0.16517364966016657,1,2068072.0,759.5595092773438,759.469970703125,758.1500244140625,754.1900024414062,-0.00011788918582880363,-0.0017394955603361214,-0.0069764541184307634,,False
SPY,2026-06-03,2026-06-04,0.37025404153422886,0.37025404153422886,1,2551197.0,754.7999877929688,754.1900024414062,752.0999755859375,757.0499877929688,-0.0008084684308511882,-0.0027750675198416116,0.003784956438902872,,False
SPY,2026-06-04,2026-06-05,0.10669961015525867,0.10669961015525867,1,4622866.0,757.5549926757812,757.0499877929688,752.3099975585938,737.4000244140625,-0.0006668470103276596,-0.006280815527838268,-0.02629876642156287,,False
SPY,2026-06-05,2026-06-08,0.06085762827756653,0.06085762827756653,1,6513941.0,739.5501098632812,737.4000244140625,743.3599853515625,739.3099975585938,-0.0029115227632522086,0.008049910967986464,0.0025867965696218906,,False
SPY,2026-06-08,2026-06-09,0.06087793809200361,0.06087793809200361,1,2143568.0,738.8900146484375,739.3099975585938,743.6300048828125,737.0599975585938,0.0005682355810968524,0.0058262903928113985,-0.003048018788507821,,False
SPY,2026-06-09,2026-06-10,-0.36670035926490435,0.36670035926490435,-1,4433219.0,735.72998046875,737.0599975585938,733.3900146484375,725.4299926757812,0.0018061196385592893,-0.004991656295675096,-0.01590472429922778,0.2965826585172638,True
SPY,2026-06-10,2026-06-11,0.08201648261127772,0.08201648261127772,1,4576702.0,727.4299926757812,725.4299926757812,728.760009765625,737.6400146484375,-0.0027531920260854214,0.0045799007075822285,0.016691348175203888,0.36670035926490435,False
SPY,2026-06-11,2026-06-12,-0.065816774797088,0.065816774797088,-1,7576807.0,737.5900268554688,737.6400146484375,740.7100219726562,741.6599731445312,6.776948893598603e-05,0.004153294769530133,0.005434960352403173,0.33619301408128804,False
QQQ,2026-05-26,2026-05-27,0.1646000738388651,0.1646000738388651,1,1600783.0,730.3699951171875,730.2150268554688,732.9500122070312,729.489990234375,-0.00021220026218113057,0.0037384552854971328,-0.0009934016424280486,,False
QQQ,2026-05-27,2026-05-28,0.13656737392156837,0.13656737392156837,1,1501486.0,729.6300048828125,729.489990234375,729.739990234375,735.5700073242188,-0.00019191656523903086,0.00034264647216975897,0.008300072358686857,,False
QQQ,2026-05-28,2026-05-29,0.23188851836492688,0.23188851836492688,1,1458895.0,735.25,735.5700073242188,737.7100830078125,738.2249755859375,0.0004351413873549143,0.0029051871437667663,0.003602904290622168,,False
QQQ,2026-05-29,2026-06-01,0.17410823835415978,0.17410823835415978,1,1780829.0,738.77099609375,738.2249755859375,737.1300048828125,742.6900024414062,-0.0007393663126456017,-0.0014843490802764494,0.006030110373074629,,False
QQQ,2026-06-01,2026-06-02,-0.49391328059178674,0.49391328059178674,-1,1430245.0,742.7100219726562,742.6900024414062,742.4600219726562,746.1400146484375,-2.6955070583282978e-05,-0.00030970671892758845,0.004634536303863442,,False
QQQ,2026-06-02,2026-06-03,0.5620348018355015,0.5620348018355015,1,1650775.0,745.9600219726562,746.1400146484375,747.344970703125,744.2542114257812,0.00024126087023210177,0.0016136169134037027,-0.0025306112920375334,,False
QQQ,2026-06-03,2026-06-04,0.5054504069535267,0.5054504069535267,1,1635199.0,745.02001953125,744.2542114257812,735.489990234375,740.5,-0.0010284313755625544,-0.011845728018697743,-0.005057024789128569,,False
QQQ,2026-06-04,2026-06-05,-0.3815062303145162,0.3815062303145162,-1,1528093.0,741.5800170898438,740.5,729.926025390625,705.2100219726562,-0.0014574345090190145,-0.014382439781498573,-0.048829971752710144,,False
QQQ,2026-06-05,2026-06-08,-0.09280086415484226,0.09280086415484226,-1,7256107.0,709.27001953125,705.2100219726562,717.8099975585938,716.0999755859375,-0.005740637674904844,0.017709244717364868,0.015324125964659143,,False
QQQ,2026-06-08,2026-06-09,0.01040279177822304,0.01040279177822304,1,2018785.0,715.3699951171875,716.0999755859375,722.969970703125,707.9600219726562,0.0010199033817925264,0.009547899079190342,-0.011432161960671296,,False
QQQ,2026-06-09,2026-06-10,-0.009489318224796846,0.009489318224796846,-1,2940148.0,705.280029296875,707.9600219726562,701.4949951171875,693.7100219726562,0.0037926973353387297,-0.009173860986346654,-0.020333588544288236,0.4152283453976973,False
QQQ,2026-06-10,2026-06-11,0.09564819809039374,0.09564819809039374,1,3639389.0,696.4099731445312,693.7100219726562,699.2899780273438,716.5599975585938,-0.0038844913768348844,0.008011465757052291,0.0324079433449763,0.3815062303145162,False
QQQ,2026-06-11,2026-06-12,-0.14825487466407802,0.14825487466407802,-1,4314246.0,715.7999877929688,716.5599975585938,717.6099853515625,721.3200073242188,0.0010611994815840774,0.0014642448148818145,0.006620896233162174,0.3366209167296393,False
IWM,2026-05-26,2026-05-27,0.3038842720764148,0.3038842720764148,1,1685747.0,290.3900146484375,290.510009765625,291.1600036621094,290.3599853515625,0.00041313518282354663,0.0022349241048469142,-0.000516550755451133,,False
IWM,2026-05-27,2026-05-28,-0.23712608509446706,0.23712608509446706,-1,971344.0,290.3450012207031,290.3599853515625,289.6400146484375,292.0199890136719,5.160668914231639e-05,-0.0024826588721572843,0.0057007734841709795,,False
IWM,2026-05-28,2026-05-29,-0.3041990493331664,0.3041990493331664,-1,1046213.0,292.1700134277344,292.0199890136719,291.3800048828125,290.3999938964844,-0.000513615148268819,-0.0021939814681913054,-0.005562993518557642,,False
IWM,2026-05-29,2026-06-01,0.07003819065032295,0.07003819065032295,1,924310.0,289.9100036621094,290.3999938964844,288.3699951171875,288.9700012207031,0.0016887193151298896,-0.0070149010567719045,-0.004936381212881194,,False
IWM,2026-06-01,2026-06-02,0.059150833472369733,0.059150833472369733,1,737217.0,289.25,288.9700012207031,288.4599914550781,291.6400146484375,-0.0009684853536421529,-0.0017664821873338765,0.009197334445891148,,False
IWM,2026-06-02,2026-06-03,0.0811068105538917,0.0811068105538917,1,863454.0,291.6000061035156,291.6400146484375,289.989990234375,287.67999267578125,0.00013719410040835528,-0.0056738092144105814,-0.013671489342383217,,False
IWM,2026-06-03,2026-06-04,-0.03862551759410045,0.03862551759410045,-1,1890719.0,287.6000061035156,287.67999267578125,287.55999755859375,291.989990234375,0.0002780787545222554,-0.00041720019805684,0.014870795837793153,,False
IWM,2026-06-04,2026-06-05,0.5221339185501189,0.5221339185501189,1,1633127.0,292.2900085449219,291.989990234375,289.1000061035156,281.6600036621094,-0.0010269676783113294,-0.009946851527018592,-0.03601883888966107,,False
IWM,2026-06-05,2026-06-08,0.07191106130773528,0.07191106130773528,1,2420184.0,282.3450012207031,281.6600036621094,285.510009765625,284.1300048828125,-0.0024290489959125014,0.013576406184720995,0.008731214319471223,,False
IWM,2026-06-08,2026-06-09,-0.0300046561053181,0.0300046561053181,-1,1065268.0,284.135009765625,284.1300048828125,287.17999267578125,284.9800109863281,-1.7614608267721728e-05,0.010677274271045095,0.0029871438276123418,,False
IWM,2026-06-09,2026-06-10,-0.16138065045650277,0.16138065045650277,-1,1710614.0,284.739990234375,284.9800109863281,284.5899963378906,282.010009765625,0.0008425920299070272,-0.0013695057828879925,-0.010476474987924518,0.25715354118905137,False
