date,ret,vix_lag,sigma2_gjr,sigma2_a4f,var_gjr_norm_01,var_a4f_norm_01,var_gjr_norm_05,var_a4f_norm_05
2007-01-03,-0.001766547825935765,11.5600004196167,2.9268981385223946e-05,2.7489727900142166e-05,0.012585731498857212,0.012197192518525668,0.008898792108754603,0.008624074058998668
2007-01-04,0.002119452494638585,12.039999961853027,2.7889717526988875e-05,2.8770070508033356e-05,0.012285609751574795,0.012478004021616054,0.008686589819469716,0.008822622962411644
2007-01-05,-0.008008339497747666,11.510000228881836,2.6431248360923263e-05,2.5102261212063052e-05,0.011960063787885698,0.011655504607713703,0.00845641123565228,0.00824107144158394
2007-01-08,0.004614408596118905,12.140000343322754,3.433143312043227e-05,3.386520713162137e-05,0.01363077737014958,0.013537906997838455,0.009637695997939552,0.00957203162743122
2007-01-09,-0.0008502470260717704,12.0,3.3003589722363196e-05,3.1815661719707084e-05,0.013364577936592672,0.013121852097977308,0.009449478617097901,0.009277858336031413
2007-01-10,0.0033258592353395612,11.90999984741211,3.085736892893538e-05,2.969575055249734e-05,0.012922725063371679,0.012677155321326595,0.009137064764807589,0.008963433690375552
2007-01-11,0.004371112802588467,11.470000267028809,2.9400137209718955e-05,2.639348062690059e-05,0.012613898637515344,0.011951515837786598,0.008918707797504196,0.008450367373132664
2007-01-12,0.0075686010146617634,10.869999885559082,2.8509761174950362e-05,2.3030222669980505e-05,0.012421425752843475,0.011164100224093695,0.008782619069771304,0.007893621994441182
2007-01-16,-0.001956902402483929,10.149999618530273,2.9640347161337452e-05,2.0735307273523504e-05,0.012665323909673983,0.01059326644429292,0.008955068243149919,0.007490011673057563
2007-01-17,0.0004197456765082213,10.739999771118164,2.8323987322580344e-05,2.2624920310328425e-05,0.01238088967951521,0.01106542725024726,0.008753957875983227,0.00782385487116418
2007-01-18,-0.0033619929745094695,10.59000015258789,2.6600008033152864e-05,2.094331115063447e-05,0.011998184668549683,0.01064626643401136,0.008483364757746904,0.0075274855290915444
2007-01-19,0.0019626629170497872,10.850000381469727,2.6719279799498308e-05,2.2325486029775353e-05,0.012025053910427496,0.010991959493881093,0.00850236276335446,0.007771909198347427
2007-01-22,-0.003085359712830671,10.399999618530273,2.5358543232814597e-05,1.963774677866754e-05,0.011714852064849988,0.010309093676455081,0.008283033300001704,0.007289086173877168
2007-01-23,0.0029451665553832775,10.770000457763672,2.5353607426157078e-05,2.1309230179626792e-05,0.011713711915390331,0.010738868848215686,0.008282227152737612,0.007592960438742041
