Date,Dividend
2013-10-24,0.85
2014-10-24,1.0
2015-10-26,1.0
2016-10-26,1.3
2017-10-30,0.95
2018-10-23,1.45
2019-10-23,1.8
2020-10-28,1.6
2021-10-22,1.8
2022-10-19,2.1
2023-07-18,1.0
2023-10-19,1.2
2024-01-17,0.7
2024-04-18,0.79
2024-07-16,1.07
2024-10-17,1.07
2025-01-17,1.07
2025-04-23,1.07
2025-07-21,0.866
2025-10-23,0.866
2026-01-22,0.866
2026-04-23,1.0
