Date,ret,M3_var,M4_var,M5_var,breach_M3,breach_M4,breach_M5,breach_count_lag,hawkes_intensity_lag
2010-01-05,0.2643781385820887,,,,0,0,0,,
2010-01-06,0.07039072162955406,,,,0,0,0,,
2010-01-07,0.4211998189637356,,,,0,0,0,,
2010-01-08,0.3322251381741026,,,,0,0,0,,
2010-01-11,0.13957812574307837,,,,0,0,0,,
2010-01-12,-0.9370060552714499,,,,0,0,0,,
2010-01-13,0.841063689440702,,,,0,0,0,,
2010-01-14,0.27012819389291565,,,,0,0,0,,
2010-01-15,-1.1287500423128982,,,,0,0,0,,
2010-01-19,1.2417782146023626,,,,0,0,0,,
2010-01-20,-1.0220703681039112,,,,0,0,0,,
2010-01-21,-1.9415877434997064,,,,0,0,0,,
2010-01-22,-2.2544737883447574,,,,0,0,0,,
2010-01-25,0.5114543796639559,,,,0,0,0,,
2010-01-26,-0.4198935325072206,,,,0,0,0,,
2010-01-27,0.4745914333787127,,,,0,0,0,,
2010-01-28,-1.1538779546939715,,,,0,0,0,,
2010-01-29,-1.0928130322756857,,,,0,0,0,,
2010-02-01,1.5431008273133706,,,,0,0,0,,
2010-02-02,1.2031025961523056,,,,0,0,0,,
2010-02-03,-0.49951243649601906,,,,0,0,0,,
2010-02-04,-3.135235771636502,,,,0,0,0,,
2010-02-05,0.20646913420971913,,,,0,0,0,,
2010-02-08,-0.7245580802406337,,,,0,0,0,,
2010-02-09,1.2482175812583485,,,,0,0,0,,
2010-02-10,-0.19605110270104475,,,,0,0,0,,
2010-02-11,1.0412299643149048,,,,0,0,0,,
2010-02-12,-0.08333925794197228,,,,0,0,0,,
2010-02-16,1.5612652077614975,,,,0,0,0,,
2010-02-17,0.47273628010193747,,,,0,0,0,,
2010-02-18,0.5877627194322166,,,,0,0,0,,
2010-02-19,0.20717515762020966,,,,0,0,0,,
2010-02-22,0.01798977853342265,,,,0,0,0,,
2010-02-23,-1.2219156821820398,,,,0,0,0,,
2010-02-24,0.9156024290311926,,,,0,0,0,,
2010-02-25,-0.13550426395374515,,,,0,0,0,,
2010-02-26,0.06324957971939327,,,,0,0,0,,
2010-03-01,1.0331128030656167,,,,0,0,0,,
2010-03-02,0.27670996017938876,,,,0,0,0,,
2010-03-03,0.0890855950508751,,,,0,0,0,,
2010-03-04,0.3022553119511606,,,,0,0,0,,
2010-03-05,1.4192773221360255,,,,0,0,0,,
2010-03-08,0.017455500342933306,,,,0,0,0,,
2010-03-09,0.16612088898160238,,,,0,0,0,,
2010-03-10,0.4446216667018277,,,,0,0,0,,
2010-03-11,0.41657574020970145,,,,0,0,0,,
2010-03-12,0.00869923977582232,,,,0,0,0,,
2010-03-15,0.02599606029516366,,,,0,0,0,,
2010-03-16,0.7934524150040367,,,,0,0,0,,
2010-03-17,0.5909979681960387,,,,0,0,0,,
2010-03-18,-0.05129247076025578,,,,0,0,0,,
2010-03-19,-0.5074678624374052,,,,0,0,0,,
2010-03-22,0.5332262598761517,,,,0,0,0,,
2010-03-23,0.700851435469918,,,,0,0,0,,
2010-03-24,-0.48665275965831256,,,,0,0,0,,
2010-03-25,-0.16274530417375033,,,,0,0,0,,
2010-03-26,-0.060032959844669165,,,,0,0,0,,
2010-03-29,0.6327625118894176,,,,0,0,0,,
2010-03-30,0.06814884607999616,,,,0,0,0,,
2010-03-31,-0.3412616846572014,,,,0,0,0,,
2010-04-01,0.6813972152456493,,,,0,0,0,,
2010-04-05,0.8116358469917095,,,,0,0,0,,
2010-04-06,0.23549153565731729,,,,0,0,0,,
2010-04-07,-0.5728643543715606,,,,0,0,0,,
2010-04-08,0.34580347439598924,,,,0,0,0,,
2010-04-09,0.6545699830214247,,,,0,0,0,,
2010-04-12,0.15883457454997085,,,,0,0,0,,
2010-04-13,0.07512805693545843,,,,0,0,0,,
2010-04-14,1.128546009179754,,,,0,0,0,,
2010-04-15,0.08247662851603721,,,,0,0,0,,
2010-04-16,-1.6039959597147657,,,,0,0,0,,
2010-04-19,0.3762350458604402,,,,0,0,0,,
2010-04-20,0.8891710669634456,,,,0,0,0,,
2010-04-21,-0.18217661383115313,,,,0,0,0,,
2010-04-22,0.2979056385012946,,,,0,0,0,,
2010-04-23,0.6506511711795504,,,,0,0,0,,
2010-04-26,-0.3783637819140928,,,,0,0,0,,
2010-04-27,-2.39348559529855,,,,0,0,0,,
2010-04-28,0.7567623575565285,,,,0,0,0,,
2010-04-29,1.2321055526116176,,,,0,0,0,,
2010-04-30,-1.7106742585461632,,,,0,0,0,,
2010-05-03,1.2878423921083737,,,,0,0,0,,
