state,label,event_date,event_trading_day,ticker,role,pre_rv,post5_rv,post22_rv,post5_rv_ratio,post22_rv_ratio,pre_volume,post5_volume,post22_volume,post5_volume_ratio,post22_volume_ratio
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,PENN,betting,0.3031912947866792,0.149680556841124,0.2954392830899926,0.49368355693205823,0.9744319450129965,1190004.0,834300.0,1060909.0909090908,0.7010900803694777,0.8915172477647897
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,MGM,betting,0.24860447252935627,0.1985084030368188,0.2440053832061053,0.7984908759571012,0.9815003757717677,8498256.0,9500160.0,7637331.818181818,1.1178952481544449,0.8986940165349007
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,CZR,betting,0.3980033002341599,0.127513800812405,0.2958133146835654,0.32038377756512054,0.7432433713728696,886312.0,594220.0,1660304.5454545454,0.6704411087743368,1.8732732327380712
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,SPY,control,0.09379030180777438,0.06031329137287298,0.0694374662799579,0.6430653298939863,0.7403480417652537,67009332.0,52767420.0,58808381.81818182,0.7874637520636678,0.8776148047287178
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,IWM,control,0.1284108531084808,0.052813102956816196,0.08942921602920231,0.4112822372747572,0.6964303551013168,21080888.0,16262420.0,15810468.181818182,0.77142955268298,0.7499906162310707
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,QQQ,control,0.15834444205341147,0.061530996216032405,0.1016903079908024,0.38858955463228234,0.6422095191475117,35322924.0,26267400.0,29421722.727272727,0.7436360591212664,0.8329356518523984
PA,Pennsylvania online launch,2019-05-31,2019-05-31,PENN,betting,0.39056926171186257,0.7055321531061917,0.43165738662916725,1.8064200700634985,1.1052006108653192,2408248.0,3084680.0,1727927.2727272727,1.2808813710215892,0.7175038753181868
PA,Pennsylvania online launch,2019-05-31,2019-05-31,MGM,betting,0.3383239569173324,0.6028702676477574,0.3608189982105152,1.7819319481270592,1.0664896494417608,7147920.0,8494780.0,6092181.818181818,1.1884268430536435,0.8523013433532858
PA,Pennsylvania online launch,2019-05-31,2019-05-31,CZR,betting,0.3231284845957801,0.670552151945578,0.5699968873997282,2.0751873756484516,1.7639945550228107,648172.0,883240.0,2615077.272727273,1.3626629968588584,4.034542178198492
PA,Pennsylvania online launch,2019-05-31,2019-05-31,SPY,control,0.12848253423642458,0.18556114473172572,0.11520746802179452,1.444251904233684,0.8966780481602097,75359020.0,77706440.0,67302077.27272727,1.0311498212158279,0.8930858876976806
PA,Pennsylvania online launch,2019-05-31,2019-05-31,IWM,control,0.17975184400900474,0.19078565860541288,0.15067616375533138,1.0613835961307603,0.8382454410191374,19492360.0,20767240.0,19326981.818181816,1.065404086524156,0.9915157435108841
PA,Pennsylvania online launch,2019-05-31,2019-05-31,QQQ,control,0.17962627750182938,0.29699090012667,0.18073834856632798,1.6533822570789807,1.0061910266135046,37258220.0,46770860.0,33535990.90909091,1.2553165449127737,0.9000964326554224
IA,Iowa online launch,2019-08-15,2019-08-15,DKNG,betting,0.021642146578991966,0.050632441087426115,0.02413806918952111,2.33952953338626,1.1153269432594979,15010.0,200.0,8977.272727272728,0.013324450366422385,0.5980861244019139
