Date,SPY,QQQ,GLD,TLT,EEM,OIL,BTC
2020-01-02,296.125244140625,208.0889129638672,143.9499969482422,112.88389587402344,39.8797721862793,61.18000030517578,6985.47021484375
2020-01-03,293.88287353515625,206.1828155517578,145.86000061035156,114.62240600585938,39.13933181762695,63.04999923706055,7344.88427734375
2020-01-04,293.88287353515625,206.1828155517578,145.86000061035156,114.62240600585938,39.13933181762695,63.04999923706055,7410.65673828125
2020-01-05,293.88287353515625,206.1828155517578,145.86000061035156,114.62240600585938,39.13933181762695,63.04999923706055,7411.3173828125
2020-01-06,295.0041809082031,207.5112762451172,147.38999938964844,113.97149658203125,39.04350280761719,63.27000045776367,7769.21923828125
2020-01-07,294.17462158203125,207.4823760986328,147.97000122070312,113.41120147705078,39.017372131347656,62.70000076293945,8163.6923828125
2020-01-08,295.7425231933594,209.04190063476562,146.86000061035156,112.6614761352539,39.24385452270508,59.61000061035156,8079.86279296875
2020-01-09,297.74774169921875,210.81321716308594,146.02999877929688,113.05697631835938,39.505191802978516,59.560001373291016,7879.0712890625
2020-01-10,296.8909912109375,210.27410888671875,146.91000366210938,114.06209564208984,39.71426773071289,59.040000915527344,8166.55419921875
2020-01-11,296.8909912109375,210.27410888671875,146.91000366210938,114.06209564208984,39.71426773071289,59.040000915527344,8037.53759765625
2020-01-12,296.8909912109375,210.27410888671875,146.91000366210938,114.06209564208984,39.71426773071289,59.040000915527344,8192.494140625
2020-01-13,298.9328308105469,212.7000274658203,145.82000732421875,113.71607971191406,40.332763671875,58.08000183105469,8144.1943359375
2020-01-14,298.47705078125,211.8625030517578,145.69000244140625,114.30101013183594,40.106266021728516,58.22999954223633,8827.7646484375
2020-01-15,299.151611328125,211.94912719726562,146.5399932861328,115.05899810791016,39.79266357421875,57.810001373291016,8807.0107421875
2020-01-16,301.6400146484375,213.98036193847656,146.30999755859375,114.6965560913086,40.045291900634766,58.52000045776367,8723.7861328125
2020-01-17,302.5788269042969,215.039306640625,146.5800018310547,113.71607971191406,40.27178192138672,58.540000915527344,8929.0380859375
2020-01-18,302.5788269042969,215.039306640625,146.5800018310547,113.71607971191406,40.27178192138672,58.540000915527344,8942.80859375
2020-01-19,302.5788269042969,215.039306640625,146.5800018310547,113.71607971191406,40.27178192138672,58.540000915527344,8706.2451171875
2020-01-20,302.5788269042969,215.039306640625,146.5800018310547,113.71607971191406,40.27178192138672,58.540000915527344,8657.642578125
2020-01-21,301.9862976074219,214.9429931640625,146.74000549316406,114.91073608398438,39.2525749206543,58.34000015258789,8745.89453125
2020-01-22,302.0227966308594,215.51100158691406,146.7899932861328,115.31449890136719,39.57488250732422,56.7400016784668,8680.8759765625
