iter,experiment_id,N,markets_added,primary_spearman_rho,primary_spearman_p,loo_min_drop_market,loo_min_rho,loo_min_p,panel_joint_log_analyst_t,panel_analyst_only_log_analyst_t,between_r2_inst_pct,within_r2_log_analyst,r2_ratio_between_over_within,n_stocks_within,verdict
1,K1165,7,base TW/EU/JP/US + KR/CA/HK,0.7500000000000002,0.05218140045705777,EU,0.942857142857143,0.004804664723032055,3.236320474030991,3.740466580894467,0.6314447874403539,0.07184879196446492,8.7885,133,STRENGTHENED
2,K1166,pooled_TW_EU_JP_US,per-stock theta_EAV refit (tautology removed),,,,,,3.5561364781887423,,,,,108,CONFIRMED_REMOVED_TAUTOLOGY
3,K1168,10,BR/CH/IN,0.6121212121212121,0.05997214247725529,EU,0.75,0.01994212613199253,3.6272613782576935,3.9025630546533807,0.5381816403890951,0.06234129913683506,8.6329,153,STRENGTHENED
4,K1172,12,MX/ID (ZA UNDERPOWERED dropped),0.44055944055944063,0.1517350357167303,MX,0.6090909090909091,0.0466957093540989,3.7893591528566297,4.060079450617653,0.4320212873384225,0.05327628932900952,8.1091,172,PARTIAL
5,K1171,13,AU via HAND_CODED earnings,0.38461538461538464,0.19441291997748628,MX,0.5454545454545455,0.06661188226688902,3.807645658649989,4.076238750002866,0.4194408675389064,0.05335826723618908,7.8608,182,DATA_LIMITED
