asset,origin_date,target_date,actual,HAR_log,EWMA_094,CONST_rollmean,COMBO_equal_HAR_EWMA,COMBO_biascorr_HAR_EWMA,loss_HAR_log,loss_EWMA_094,loss_CONST_rollmean,loss_COMBO_equal_HAR_EWMA,loss_COMBO_biascorr_HAR_EWMA
0050.TW,2019-01-02,2019-01-03,9.02130392433753e-05,3.747717880606663e-05,0.00014492754217175602,8.587486741001615e-05,9.120236048891133e-05,9.120236048891133e-05,0.5287041583728236,0.09652987777123334,0.0012345935047708423,5.926352639717969e-05,5.926352639717969e-05
0050.TW,2019-01-03,2019-01-04,0.0002497188309089484,3.818057798666793e-05,0.00014164467199605316,8.594573061886858e-05,8.991262499136055e-05,8.991262499136055e-05,3.662458886207758,0.19598087889782034,0.8389212958314793,0.755852777773389,0.755852777773389
0050.TW,2019-01-04,2019-01-07,0.0005735589883031669,3.652089873883671e-05,0.0001481291215308269,8.614211556825804e-05,9.232501013483181e-05,9.232501013483181e-05,11.950976605668648,1.5182440015713503,3.7624253482687093,3.385844483928558,3.385844483928558
0050.TW,2019-01-07,2019-01-08,1.652505116549812e-05,4.0632007484611224e-05,0.00017365491353716733,8.686744863985909e-05,0.00010714346051088927,0.00010714346051088927,0.3063789734247342,1.4473528780300402,0.8497388477420169,1.023524149238399,1.023524149238399
0050.TW,2019-01-08,2019-01-09,0.0003299340495089286,3.3870534693623104e-05,0.00016422712179486716,8.682351019529995e-05,9.904882824424512e-05,9.904882824424512e-05,6.464687243379477,0.3113683021944378,1.4650389120724818,1.1277444156168785,1.1277444156168785
0050.TW,2019-01-09,2019-01-10,7.130198204554389e-06,3.736846909147476e-05,0.00017416953745771086,8.7196515551559e-05,0.0001057690032745928,0.0001057690032745928,0.8472961193740938,2.2366284076045586,1.5855969336976075,1.7643313970839083,1.7643313970839083
0050.TW,2019-01-10,2019-01-11,8.676171198395875e-05,3.410596301801984e-05,0.00016414717710252146,8.720268960318072e-05,9.912657006027065e-05,9.912657006027065e-05,0.6101937032800451,0.16615851626491684,1.2829524650426194e-05,0.008494020345986897,0.008494020345986897
0050.TW,2019-01-11,2019-01-14,4.414743499730904e-05,3.681393092510057e-05,0.00015950404919540769,8.73150390065083e-05,9.815899006025412e-05,9.815899006025412e-05,0.017546094901994103,0.5613138805724207,0.1875987829699577,0.2488080564125008,0.2488080564125008
0050.TW,2019-01-14,2019-01-15,7.446470095145524e-05,3.701710941779354e-05,0.00015258265234352177,8.704631921789759e-05,9.479988088065765e-05,9.479988088065765e-05,0.3126842963006973,0.2054098494232084,0.011575832942481767,0.026936565427356784,0.026936565427356784
0050.TW,2019-01-15,2019-01-16,1.7496057120706262e-06,3.552034379760064e-05,0.00014789557525999778,8.665135302621454e-05,9.170795952879921e-05,9.170795952879921e-05,2.0599715827190765,3.448946004146584,2.9226935016615365,2.978296733734842,2.978296733734842
0050.TW,2019-01-16,2019-01-18,2.7883058581650768e-05,3.459613062699959e-05,0.00013912681708712213,8.664668834744049e-05,8.686147385706086e-05,8.686147385706086e-05,0.02168143591787075,0.8077812800107957,0.45562129207203084,0.45730135961237894,0.45730135961237894
0050.TW,2019-01-18,2019-01-21,5.206441490686745e-05,3.427246943540315e-05,0.00013245219157679384,8.614636769363881e-05,8.33623305060985e-05,8.33623305060985e-05,0.10099297928471107,0.3268208730271218,0.10793766252748038,0.0952704892700389,0.0952704892700389
0050.TW,2019-01-21,2019-01-22,4.0944692895082336e-06,3.491403277979237e-05,0.00012762892497659826,8.614960986607697e-05,8.127147887819532e-05,8.127147887819532e-05,1.2605246077367394,2.4715709657481666,2.0939757520947486,2.0385381823361395,2.0385381823361395
0050.TW,2019-01-22,2019-01-23,2.244713721513116e-05,3.108721042668344e-05,0.00012021685763537285,8.596774107827667e-05,7.565203403102814e-05,7.565203403102814e-05,0.047703251530437196,0.8648562136386504,0.6039202015507636,0.5116968202480505,0.5116968202480505
0050.TW,2019-01-23,2019-01-24,2.244713721513194e-05,3.196683891796834e-05,0.00011435067441015835,8.580581869614845e-05,7.315875666406335e-05,7.315875666406335e-05,0.05573671108267653,0.8244076034250383,0.6025276380451667,0.4882964978685489,0.4882964978685489
0050.TW,2019-01-24,2019-01-25,0.00016249959985013327,2.976323853120516e-05,0.00010883646217845676,8.583230149600618e-05,6.929985035483096e-05,6.929985035483096e-05,2.7623403649026095,0.09223299752753888,0.2549418513961905,0.49264384169880504,0.49264384169880504
0050.TW,2019-01-25,2019-01-28,3.99175266653324e-06,3.356779539396186e-05,0.00011205625043875735,8.590206040186754e-05,7.28120229163596e-05,7.28120229163596e-05,1.2482528779734525,2.3703933398033863,2.1154460641956945,1.958473405697403,1.958473405697403
0050.TW,2019-01-28,2019-01-29,7.546652958926177e-05,2.9464987196886077e-05,0.0001055723805724239,8.583569961164278e-05,6.751868388465499e-05,6.751868388465499e-05,0.6207407420478477,0.050539677390089466,0.007943224065096066,0.0064283960613968905,0.0064283960613968905
0050.TW,2019-01-29,2019-01-30,4.061528047588474e-06,2.9817367588988893e-05,0.00010376602951343417,8.543274664960653e-05,6.679169855121154e-05,6.679169855121154e-05,1.1297452611326575,2.2797205902250317,2.093710855282652,1.8608284054181872,1.8608284054181872
