==============================================================================
K1698 — FTD E1 v2: scale re-calibration gating (compliant rerun of K1684)
==============================================================================

[0] TAIFEX trade-date convention (all-contract TX files)
  files=40  verdict=night_precedes_day

[1] Aligned RV (active contract, gap-complete, 13:30 window)
  2192 all-contract TX files from 2017-01-01
    parsed 400/2192
    parsed 800/2192
    parsed 1200/2192
    parsed 1600/2192
    parsed 2000/2192
  aligned RV days=2191  roll days=108  anchor_missing=0  prev-file refetches=0
  [pinned] /Users/yhlai0911/volpred-research/experiments/k1698/data/tx_rv_aligned_1330_active_contract_2017_2025.csv
  boundary audit: 60 days, all_passed=True
  [pinned copy of k1684 snapshot] /Users/yhlai0911/volpred-research/experiments/k1698/data/tx1_rv_tradedate_convention_2017_2025.csv
  [pinned copy of k1684 snapshot] /Users/yhlai0911/volpred-research/experiments/k1698/data/tw0050_adjclose_2016_2025.csv
  common days (new RV ∩ old RV ∩ ETF) = 2184
  new-vs-old RV: corr=0.8197, mean ratio=1.2561

[2] HAR-RV forecasts (new + old RV; OOS pass + burn-in pass)
  new: 723 OOS | old: 723 OOS

[3] GJR-GARCH robust (120 starts/refit) + RealGARCH-Log robust
  GJR: 8 refits | basins/refit: [119, 119, 119, 120, 119, 120, 119, 116] | share best basin: [0.0083, 0.0167, 0.0083, 0.0083, 0.0083, 0.0083, 0.0167, 0.025]
  RGL: new 481 | old 481 forecasts

[4] Evaluation sample (common across new-RV and old-RV pipelines)
  n=450  (2023-03-01 ~ 2024-12-31)

[5] Lookahead perturbation audit
  30 assertions | all_passed=True

[5b] GJR fragility probe v2 (robust fit under 1e-6 data revision)
  sigma max drift 5.0310% (K1684 4-start: 29.03%) | violations 5%: [21, 21]

[6] Run 'primary' — GATE. Tail layer pinned to K854 convention (OOS-only pool, 63-day refresh); only
  --- 1% VaR (primary, n=450) ---
  Cell              Viol    Rate  Kupiec   Basel  Trinity  c_emp      FZ0
  HAR+Normal          11   2.44%   0.009     red    False  1.328  -2.7812
  HAR+CF              14   3.11%   0.000  yellow    False  1.401  -2.8931
  HAR+HistSim          9   2.00%   0.060  yellow    False  1.300  -2.9677
  HAR-a+Normal         7   1.56%   0.273  yellow    False  1.109  -3.0457
  HAR-a+CF             7   1.56%   0.273  yellow    False  1.165  -3.1169
  HAR-a+HistSim        9   2.00%   0.060  yellow    False  1.300  -2.9677
  HAR-b+Normal         7   1.56%   0.273  yellow    False  1.145  -2.9316
  HAR-b+CF             7   1.56%   0.273  yellow    False  1.159  -3.0726
  HAR-b+HistSim       10   2.22%   0.025  yellow    False  1.368  -2.7910
  HAR-c+Normal         8   1.78%   0.135  yellow    False  1.244  -2.9276
  HAR-c+CF             9   2.00%   0.060  yellow    False  1.311  -3.0224
  HAR-c+HistSim        9   2.00%   0.060  yellow    False  1.300  -2.9677
  GJRf+Normal          9   2.00%   0.060  yellow    False  1.168  -3.1852
  GJRf+CF             11   2.44%   0.009  yellow    False  1.285  -3.1175
  GJRf-a+Normal        7   1.56%   0.273  yellow    False  1.050  -3.2744
  GJRf-a+CF            8   1.78%   0.135   green     True  1.143  -3.2602
  GJR+Normal           9   2.00%   0.060  yellow    False  1.168  -3.1852
  GJR+CF               2   0.44%   0.183   green     True  0.799  -3.1973
  GJR+Skewed-t         7   1.56%   0.273  yellow    False  1.063  -3.2748
  RGL+CF               3   0.67%   0.449   green     True  0.827  -3.1052
  --- 5% VaR (primary, n=450) ---
  Cell              Viol    Rate  Kupiec   Basel  Trinity  c_emp      FZ0
  HAR+Normal          26   5.78%   0.460   green     True  1.045  -3.6178
  HAR+CF              40   8.89%   0.001  yellow    False  1.270  -3.5340
  HAR+HistSim         37   8.22%   0.004  yellow    False  1.186  -3.5971
  HAR-a+Normal        18   4.00%   0.314   green     True  0.871  -3.6487
  HAR-a+CF            27   6.00%   0.345   green     True  1.057  -3.6541
  HAR-a+HistSim       37   8.22%   0.004  yellow    False  1.186  -3.5971
  HAR-b+Normal        18   4.00%   0.314   green     True  0.879  -3.6207
  HAR-b+CF            28   6.22%   0.251   green     True  1.071  -3.6344
  HAR-b+HistSim       37   8.22%   0.004  yellow    False  1.228  -3.5571
  HAR-c+Normal        22   4.89%   0.914   green     True  0.980  -3.6467
  HAR-c+CF            38   8.44%   0.002  yellow    False  1.183  -3.5991
  HAR-c+HistSim       37   8.22%   0.004  yellow    False  1.186  -3.5971
  GJRf+Normal         21   4.67%   0.743   green     True  0.921  -3.6682
  GJRf+CF             35   7.78%   0.012  yellow    False  1.175  -3.6290
  GJRf-a+Normal       16   3.56%   0.139   green     True  0.826  -3.6566
  GJRf-a+CF           25   5.56%   0.595   green     True  1.050  -3.6745
  GJR+Normal          21   4.67%   0.743   green     True  0.921  -3.6682
  GJR+CF              21   4.67%   0.743   green     True  0.926  -3.6567
  GJR+Skewed-t        19   4.22%   0.437   green     True  0.888  -3.6698
  RGL+CF              21   4.67%   0.743   green     True  0.923  -3.6461

[6] Run 'sens_theta_short' — Sensitivity: theta estimated on the short OOS-only pool too
