asset,origin,train_start,train_end,block_start,block_end,n_block,gamma,gamma_se,gamma_t,chosen_model,block_mean_loss_garch,block_mean_loss_gjr,block_mean_loss_rule,block_rule_minus_garch,block_rule_minus_gjr
SPY,2023-01-03,2020-12-31,2022-12-30,2023-01-03,2023-02-01,21,0.11364967981346111,0.042537729894048,2.671738245001252,GJR,1.3278191631002156,1.2675679179485269,1.2675679179485269,-0.06025124515168896,0.0
SPY,2023-02-02,2021-02-02,2023-02-01,2023-02-02,2023-03-03,21,0.13945839305362698,0.04047384229177733,3.445642547309114,GJR,1.043629193012356,1.0786030173130214,1.0786030173130214,0.03497382430066504,0.0
SPY,2023-03-06,2021-03-04,2023-03-03,2023-03-06,2023-04-03,21,0.11630564708854176,0.034525613325135415,3.3686772192362087,GJR,1.1318927847052824,1.1203047438653493,1.1203047438653493,-0.011588040839932975,0.0
SPY,2023-04-04,2021-04-05,2023-04-03,2023-04-04,2023-05-03,21,0.11158161246715599,0.03928723516025789,2.8401492752544093,GJR,2.120530416172749,2.0358502045043814,2.0358502045043814,-0.08468021166836814,0.0
SPY,2023-05-04,2021-05-04,2023-05-03,2023-05-04,2023-06-02,21,0.12209189468397771,0.03756459520035113,3.250185288375914,GJR,1.4792732667201447,1.4388704418128835,1.4388704418128835,-0.0404028249072614,0.0
SPY,2023-06-05,2021-06-03,2023-06-02,2023-06-05,2023-07-05,21,0.11016081026449473,0.04296078299540798,2.5642179351402805,GJR,1.2209734973060011,1.0582511125401477,1.0582511125401477,-0.16272238476585346,0.0
SPY,2023-07-06,2021-07-02,2023-07-05,2023-07-06,2023-08-03,21,0.11311554427318474,0.03547137517123548,3.1889246956772244,GJR,2.7633026057978123,2.693351161310658,2.693351161310658,-0.06995144448715365,0.0
SPY,2023-08-04,2021-08-03,2023-08-03,2023-08-04,2023-09-01,21,0.11131823841570991,0.10590971327447654,1.0510673192667097,GARCH,1.1704971865719889,1.1652852743780198,1.1704971865719889,0.0,0.005211912193969294
SPY,2023-09-05,2021-09-01,2023-09-01,2023-09-05,2023-10-03,21,0.10415445645023877,0.197720775441589,0.5267754803086347,GARCH,1.52630781028511,1.5385053102414907,1.52630781028511,0.0,-0.012197499956380944
SPY,2023-10-04,2021-10-01,2023-10-03,2023-10-04,2023-11-01,21,0.10299914416945816,0.10114430169589063,1.0183385760983794,GARCH,1.0653512283412294,1.0861743047453305,1.0653512283412294,0.0,-0.020823076404101103
SPY,2023-11-02,2021-11-01,2023-11-01,2023-11-02,2023-12-01,21,0.08985161058028754,0.06653057776774342,1.3505310429432502,GARCH,2.005117681526903,1.8331266983866423,2.005117681526903,0.0,0.17199098314026043
