date,asset,actual_r2,GARCH_forecast_var,GJR_forecast_var,GammaRule_forecast_var,GARCH_loss,GJR_loss,GammaRule_loss,origin,chosen_model,gamma,gamma_se,gamma_t
2023-01-03,SPY,0.17798437790439886,1.7009846601213274,1.6052056408605204,1.6052056408605204,1.3619028787686336,1.3101908575928558,1.3101908575928558,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-04,SPY,0.5914549232821534,1.6109362371788287,1.5360793055443542,1.5360793055443542,0.3691351334127786,0.33944498937312284,0.33944498937312284,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-05,SPY,1.317702190818378,1.5517441517044523,1.4509953739261237,1.4509953739261237,0.012665006136959311,0.004497058247329377,0.004497058247329377,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-06,SPY,5.140734623634061,1.5402921355763965,1.5209239242828774,1.5209239242828774,1.1322823510344024,1.162129734829164,1.162129734829164,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-09,SPY,0.003216575060032055,1.760564233095742,1.436776214564991,1.436776214564991,5.306899489859736,5.104078740076806,5.104078740076806,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-10,SPY,0.48838114900758234,1.6560692969421464,1.358192282473638,1.358192282473638,0.5160098482466249,0.3823954899948865,0.3823954899948865,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-11,SPY,1.579662283613593,1.5877048768661417,1.2840973008469974,1.2840973008469974,1.2873374040323071e-05,0.023018256359670808,0.023018256359670808,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-12,SPY,0.13207944108976033,1.5897333362438137,1.2145795280221434,1.2145795280221434,1.5710007650339421,1.327494652434991,1.327494652434991,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-13,SPY,0.14992866461341545,1.5041705524688906,1.1493562074620582,1.1493562074620582,1.4055125945999736,1.167243411208895,1.167243411208895,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-17,SPY,0.033626496227343275,1.4252690922410123,1.0881620498816431,1.0881620498816431,2.7703946631088425,2.507833128273661,2.507833128273661,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-18,SPY,2.5324863232781154,1.344489257833146,1.0345697947397647,1.0345697947397647,0.2504173786957349,0.5526482880667531,0.5526482880667531,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-19,SPY,0.5338513702466783,1.4199543506857286,1.2682828141182183,1.2682828141182183,0.3542262907738216,0.2862262302884351,0.2862262302884351,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-20,SPY,3.406802381435865,1.3697434813270855,1.2604140166531788,1.2604140166531788,0.5760321157044164,0.7085893930801097,0.7085893930801097,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-23,SPY,1.4225837337754947,1.4963844694817423,1.1923592759323531,1.1923592759323531,0.001257728160608984,0.01654230739704965,0.01654230739704965,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-24,SPY,0.011531337487478838,1.494881289635004,1.1285086088396217,1.1285086088396217,3.8724476312861817,3.5938021061834373,3.5938021061834373,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-25,SPY,0.0014043523840353684,1.4082243710159636,1.0699128420328412,1.0699128420328412,5.9115058689924345,5.63706879398365,5.63706879398365,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-26,SPY,1.194708250417897,1.3266099237225981,1.0136262890364782,1.0136262890364782,0.005297120520942666,0.014279929099455746,0.014279929099455746,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-27,SPY,0.05268092455814548,1.3224168413824304,0.9608168312514401,0.9608168312514401,2.262799707141728,1.9583596720795393,1.9583596720795393,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-30,SPY,1.5941732704578297,1.249499273633229,0.911269671528763,0.911269671528763,0.03223731147210951,0.19012623816375873,0.19012623816375873,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-01-31,SPY,2.1304797901077155,1.2744721718611356,1.0459605635428844,1.0459605635428844,0.15784148053678027,0.3254528112728421,0.3254528112728421,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-02-01,SPY,1.1175869287411635,1.330217735271927,0.9911536597416521,0.9911536597416521,0.014324188243837632,0.007504188912648813,0.007504188912648813,2023-01-03,GJR,0.11364967981346111,0.042537729894048,2.671738245001252
2023-02-02,SPY,2.08864509859361,1.2692521736519955,0.8932725814520032,0.8932725814520032,0.14748372734889248,0.4888154891427967,0.4888154891427967,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-03,SPY,1.1418833740302032,1.3327042859476306,0.8397069620423592,0.8397069620423592,0.011347958166575411,0.052478078006924056,0.052478078006924056,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-06,SPY,0.3757896413751034,1.3229861916373582,0.9494762662341075,0.9494762662341075,0.5426637378249297,0.3226672514619815,0.3226672514619815,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-07,SPY,1.6883816068584674,1.2589270048877572,0.9440265483809314,0.9440265483809314,0.04761681790185479,0.2071181085882774,0.2071181085882774,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-08,SPY,1.208898392019064,1.2944055598154147,0.8865858937490425,0.8865858937490425,0.002283013603051609,0.05345666180748365,0.05345666180748365,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-09,SPY,0.7581133107404152,1.292560935606339,1.0021218260793545,1.0021218260793545,0.12006825410209232,0.03555012828899695,0.03555012828899695,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-10,SPY,0.05433429520206099,1.2584322017174723,1.0459708955729246,1.0459708955729246,2.1856425056970497,2.009491482918699,2.009491482918699,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-13,SPY,1.3620461003422273,1.1763908960289162,0.9807468505891074,0.9807468505891074,0.011280748113923655,0.060355617494870506,0.060355617494870506,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-14,SPY,0.002120257273258587,1.1949692968503591,0.9205026226986623,0.9205026226986623,5.3361126538481205,5.075685782321954,5.075685782321954,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-15,SPY,0.10512171566844221,1.114229116386819,0.8651536934698069,0.8651536934698069,1.4551439869909286,1.2292947015069342,1.2292947015069342,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-16,SPY,1.9222547597981814,1.0473337169222552,0.8137349344292785,0.8137349344292785,0.22812819577144294,0.5026421146447437,0.5026421146447437,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-17,SPY,0.06256976570948557,1.1165006034690899,1.0343165269496133,1.0343165269496133,1.9377133862772284,1.865707769224398,1.865707769224398,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-21,SPY,4.106581263234947,1.0463628391397921,0.9787081650650756,0.9787081650650756,1.5573538426836189,1.7618074526848293,1.7618074526848293,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-22,SPY,0.01902070016299828,1.272755473749209,1.4913168135465225,1.4913168135465225,3.2183561298277628,3.3746412064981524,3.3746412064981524,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-23,SPY,0.28146005120265855,1.1870321055925477,1.3947434686198035,1.3947434686198035,0.67633333508814,0.8022758477693912,0.8022758477693912,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-24,SPY,1.1534340709717563,1.127021187584699,1.3028908449196184,1.3028908449196184,0.00027040666981537065,0.0071302193600322195,0.0071302193600322195,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-27,SPY,0.11560523093004753,1.1345257358620109,1.3789071765021377,1.3789071765021377,1.3856861904885527,1.562703655982424,1.562703655982424,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-02-28,SPY,0.13709671306913931,1.066767046180385,1.2882636442938136,1.2882636442938136,1.180217364296642,1.3467837309648454,1.3467837309648454,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-03-01,SPY,0.1477254751376502,1.0059544712143178,1.2236599792088774,1.2236599792088774,1.0651874935601597,1.2349702603592458,1.2349702603592458,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-03-02,SPY,0.6001915167113325,0.9507529460021554,1.165471035645359,1.165471035645359,0.09128565377006659,0.17860944216209695,0.17860944216209695,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-03-03,SPY,2.5314932320903387,0.932502682572449,1.0911232259771921,1.0911232259771921,0.7160376512286337,0.47847836238437114,0.47847836238437114,2023-02-02,GJR,0.13945839305362698,0.04047384229177733,3.445642547309114
2023-03-06,SPY,0.004794928976215701,1.0580318953645966,1.0272377292834685,1.0272377292834685,4.401138794988685,4.37173755531085,4.37173755531085,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-07,SPY,2.3862633643607434,0.9951939392200257,0.9727305138751062,0.9727305138751062,0.5232409321052458,0.5557828747624094,0.5557828747624094,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-08,SPY,0.026594262019410078,1.0886990816259485,1.1991626865057383,1.1991626865057383,2.73647084026432,2.8308607115382394,2.8308607115382394,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-09,SPY,3.46779889412984,1.0251148746697574,1.1339203102496302,1.1339203102496302,1.1641239197874862,0.9403994896772516,0.9403994896772516,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-10,SPY,2.1125829376972973,1.1855485359945688,1.4760763255124878,1.4760763255124878,0.20423977685264516,0.07269133950301132,0.07269133950301132,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-13,SPY,0.02033365729462915,1.248323499912732,1.6392485190277886,1.6392485190277886,3.133567994449993,3.4021199431976257,3.4021199431976257,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-14,SPY,2.687847896739786,1.1732151011153191,1.548891676310972,1.548891676310972,0.46201740835556215,0.1841350577771108,0.1841350577771108,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-15,SPY,0.3936166909212701,1.2735578154483629,1.461811883199642,1.461811883199642,0.4832606906731727,0.5813207005589467,0.5813207005589467,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-16,SPY,3.0251759024654215,1.220510303446003,1.425949280654207,1.425949280654207,0.5709154334134845,0.3693856984599799,0.3693856984599799,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-17,SPY,1.383369081767979,1.3390820921941793,1.346546129804165,1.346546129804165,0.0005351331066125731,0.0003672281500730623,0.0003672281500730623,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-20,SPY,0.9157883944863482,1.344625028950748,1.43299462481683,1.43299462481683,0.06515857706022143,0.08680950317783753,0.08680950317783753,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-21,SPY,1.7017753656182255,1.319944899592214,1.3531515558534701,1.3531515558534701,0.03519553395311692,0.02840272462687876,0.02840272462687876,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-22,SPY,2.956153430340653,1.3471393675838772,1.278293965448591,1.278293965448591,0.4084876230746948,0.4742146045885658,0.4742146045885658,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-23,SPY,0.07288329837071876,1.4524816144312438,1.5519278931010725,1.5519278931010725,2.042347786639687,2.1053567996082783,2.1053567996082783,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-24,SPY,0.4277776560349986,1.3664980760586873,1.4646585156726257,1.4646585156726257,0.47444969019954564,0.5228403131144694,0.5228403131144694,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-27,SPY,0.03490086200477098,1.3091531262634903,1.3828383226960081,1.3828383226960081,2.6512833241329283,2.7046204634652855,2.7046204634652855,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-28,SPY,0.050495566961214315,1.2307348782957483,1.3061270618162126,1.3061270618162126,2.2345099758306537,2.2915965783632304,2.2915965783632304,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-29,SPY,2.0822603986581467,1.1587769422083325,1.240078645955358,1.240078645955358,0.21085775177566557,0.16085652720109822,0.16085652720109822,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-30,SPY,0.34086749841918224,1.2214827878283423,1.1722814375618562,1.1722814375618562,0.5553873843746044,0.5259859925536312,0.5259859925536312,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-03-31,SPY,1.9589223899962078,1.168698562699061,1.1087175525257738,1.1087175525257738,0.15965336599591695,0.1976457427915661,0.1976457427915661,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-04-03,SPY,0.14464997245178712,1.222842627218022,1.0491226580364668,1.0491226580364668,1.2529065417766878,1.119269772745998,1.119269772745998,2023-03-06,GJR,0.11630564708854176,0.034525613325135415,3.3686772192362087
2023-04-04,SPY,0.30951669952224803,1.183796306869215,1.0037770412843767,1.0037770412843767,0.6029308280350745,0.48486519916706694,0.48486519916706694,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-05,SPY,0.06873570934131486,1.1371393492219155,0.987482880797713,0.987482880797713,1.866448356128707,1.7344972982216684,1.7344972982216684,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-06,SPY,0.1515760864193482,1.0793424233856592,0.9453036901170924,0.9453036901170924,1.1034532816444576,0.990764966880598,0.990764966880598,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-10,SPY,0.010524863731652921,1.030045855663303,0.8979960969947203,0.8979960969947203,3.5938360273237304,3.4581456787603697,3.4581456787603697,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-11,SPY,0.0007199017316296555,0.9756116955149334,0.8535387219348295,0.8535387219348295,6.212443112235152,6.078874901582587,6.078874901582587,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-12,SPY,0.1668020619976212,0.9240443451155984,0.811759843204946,0.811759843204946,0.8924652599323741,0.7878787167733605,0.7878787167733605,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-13,SPY,1.7411245138690559,0.8854543785058299,0.7911101281226385,0.7911101281226385,0.2901772375651821,0.41201310170504457,0.41201310170504457,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-14,SPY,0.05981903748527086,0.9414226293309274,0.7530924875378348,0.7530924875378348,1.8196093122973256,1.6122952794492225,1.6122952794492225,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-17,SPY,0.12831189474923563,0.8954743097951184,0.7240400623734805,0.7240400623734805,1.0861788638471332,0.9075993155872653,0.9075993155872653,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-18,SPY,0.0042489044497441225,0.8564379289049178,0.6900633016338679,0.6900633016338679,4.311081806641835,4.09627942936512,4.09627942936512,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-19,SPY,0.00028531005833654956,0.8126094974650867,0.6581335944549863,0.6581335944549863,6.954780540844836,6.744020221785499,6.744020221785499,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-20,SPY,0.29942992347420344,0.7713193354213376,0.6281594440264723,0.6281594440264723,0.33442693091992504,0.21759183073874833,0.21759183073874833,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-21,SPY,0.0060308344119107795,0.7501429338644472,0.6333702337456778,0.6333702337456778,3.8314179693028017,3.6636915760110877,3.6636915760110877,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-24,SPY,0.01087397536290579,0.7131371862284697,0.6048562067367785,0.6048562067367785,3.1985495394265646,3.0365961877970404,3.0365961877970404,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-25,SPY,2.5604309522104467,0.6787537905295391,0.5780601110428182,0.5780601110428182,1.4445804881092466,1.9410976884632873,1.9410976884632873,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-26,SPY,0.18016429156010427,0.7957271238153693,0.8385754584044858,0.8385754584044858,0.7118018190474236,0.7526810563884718,0.7526810563884718,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-27,SPY,3.885818364038925,0.7660293683644117,0.8178011181312288,0.8178011181312288,2.4488070622418547,2.1930747374134065,2.1930747374134065,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-04-28,SPY,0.7222923477271735,0.9550394764779784,0.7781753821562415,0.7781753821562415,0.03561850853166071,0.0027090504892255396,0.0027090504892255396,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-05-01,SPY,0.010204208218185143,0.9469941336280755,0.7409370422067388,0.7409370422067388,3.5412680586784955,3.2988874841960962,3.2988874841960962,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-05-02,SPY,1.2775175527393876,0.8977905274559421,0.7070808634158242,0.7070808634158242,0.07021997771752853,0.21521984536575034,0.21521984536575034,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-05-03,SPY,0.4744122508277021,0.9258517992634799,0.8166733400465851,0.8166733400465851,0.18104375915642512,0.1240707284510858,0.1240707284510858,2023-04-04,GJR,0.11158161246715599,0.03928723516025789,2.8401492752544093
2023-05-04,SPY,0.5052535171750903,0.8933872768205626,0.818360267206964,0.818360267206964,0.1355079950008009,0.09963976606205183,0.09963976606205183,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-05,SPY,3.364815813387778,0.8743968783781089,0.8361854884499624,0.8361854884499624,1.5005621132535394,1.6317284273243895,1.6317284273243895,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-08,SPY,0.0007098131675864986,1.0417656510014563,0.7911361512002414,0.7911361512002414,6.292107137663936,6.017120773533938,6.017120773533938,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-09,SPY,0.1931547018228965,0.9795543802914324,0.749087199766024,0.749087199766024,0.8207926204702869,0.6132173939731254,0.6132173939731254,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-10,SPY,0.21729764545710953,0.9342289723039193,0.7334214253074708,0.7334214253074708,0.6910492127312178,0.5127317975206833,0.5127317975206833,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-11,SPY,0.03047392603694294,0.8936969374011882,0.6952164026741242,0.6952164026741242,2.41259401247626,2.171185460948229,2.171185460948229,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-12,SPY,0.01718901500279219,0.8439676168223098,0.6632765386850963,0.6632765386850963,2.9142105209784672,2.67883679496727,2.67883679496727,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-15,SPY,0.11862001178062287,0.7969241662621827,0.631841960546475,0.631841960546475,1.0536816212238582,0.8604509327122198,0.8604509327122198,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-16,SPY,0.44958410756460343,0.75979688371465,0.6004023556489294,0.6004023556489294,0.11644436659030433,0.03808177614367092,0.03808177614367092,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-17,SPY,1.4558565643330725,0.7467289308770437,0.6259472737075669,0.6259472737075669,0.28199785045590664,0.4817617933280389,0.4817617933280389,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-18,SPY,0.9191072737091405,0.7996955080194708,0.5949002680325194,0.5949002680325194,0.010149737086588617,0.10996800157692799,0.10996800157692799,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-19,SPY,0.021200233567537842,0.8141598228552772,0.5659210618219768,0.5659210618219768,2.6741838906892874,2.3219038704583714,2.3219038704583714,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-22,SPY,0.001648728366200804,0.769500980786769,0.5414603117276096,0.5414603117276096,5.147880518461596,4.7973104331509315,4.7973104331509315,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-23,SPY,1.2737557549295022,0.7267610876165832,0.5160403251786031,0.5160403251786031,0.19151985137300587,0.5647858156563592,0.5647858156563592,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-24,SPY,0.5287271053989057,0.7693698494911276,0.64782861961914,0.64782861961914,0.062320357052012554,0.019306499311099623,0.019306499311099623,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-25,SPY,0.7434840488366633,0.7607397284047783,0.6798775618253662,0.6798775618253662,0.00026121144305202293,0.004121211085414966,0.004121211085414966,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-26,SPY,1.655728627822582,0.766619020314945,0.6452386793021044,0.6452386793021044,0.38977377552485826,0.6236954096988425,0.6236954096988425,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-30,SPY,0.0014527106541400224,0.831098704004516,0.6129068232110314,0.6129068232110314,5.351065277270452,5.047151893407819,5.047151893407819,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-05-31,SPY,0.30923180593716265,0.7839546273452027,0.582728340472974,0.582728340472974,0.3247111207955431,0.16429196592368545,0.16429196592368545,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-06-01,SPY,0.8941853748468849,0.7600840087231135,0.5923145087281707,0.5923145087281707,0.013945520678249723,0.09777089695943864,0.09777089695943864,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-06-02,SPY,2.0614151341555624,0.7757599822999199,0.5635075198245346,0.5635075198245346,0.679979889903819,1.361218364328046,1.361218364328046,2023-05-04,GJR,0.12209189468397771,0.03756459520035113,3.250185288375914
2023-06-05,SPY,0.03678782510418917,0.8799137899420104,0.5741510277090767,0.5741510277090767,2.216465428337097,1.8117989543027213,1.8117989543027213,2023-06-05,GJR,0.11016081026449473,0.04296078299540798,2.5642179351402805
2023-06-06,SPY,0.04731244460929041,0.8408047349468976,0.5547021234439544,0.5547021234439544,1.9338565213163412,1.5469513208573709,1.5469513208573709,2023-06-05,GJR,0.11016081026449473,0.04296078299540798,2.5642179351402805
