ticker,cik,form,filing_date,report_date,accession,primary_document,document_url,word_count,core_labor_shortage_hits,wage_pressure_hits,automation_hits,labor_shortage_score_per_10k,labor_shortage_score_log,automation_score_log,download_error
AMZN,1018724,10-Q,2023-08-04,2023-06-30,0001018724-23-000012,amzn-20230630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,24234.0,0.0,1.0,4.0,0.20632169678963438,0.18757580965777015,0.9747760597162131,
AMZN,1018724,10-Q,2023-10-27,2023-09-30,0001018724-23-000018,amzn-20230930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm,24607.0,0.0,1.0,4.0,0.20319421302881294,0.18497986455161672,0.9652918087448932,
AMZN,1018724,10-K,2024-02-02,2023-12-31,0001018724-24-000008,amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,40729.0,0.0,2.0,15.0,0.24552530138230744,0.21955736975086626,1.543913202929315,
AMZN,1018724,10-Q,2024-05-01,2024-03-31,0001018724-24-000083,amzn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/amzn-20240331.htm,23621.0,0.0,1.0,10.0,0.21167605097159306,0.19200456724330373,1.6550842866287756,
AMZN,1018724,10-Q,2024-08-02,2024-06-30,0001018724-24-000130,amzn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/amzn-20240630.htm,24587.0,0.0,1.0,10.0,0.20335949892219465,0.18511722769694838,1.6227864190697594,
AMZN,1018724,10-Q,2024-11-01,2024-09-30,0001018724-24-000161,amzn-20240930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/amzn-20240930.htm,25682.0,0.0,1.0,10.0,0.194688887158321,0.17788580601349946,1.5879645498426018,
AMZN,1018724,10-K,2025-02-07,2024-12-31,0001018724-25-000004,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,40315.0,0.0,2.0,22.0,0.24804663276696018,0.22157963524831117,1.8651688280195966,
AMZN,1018724,10-Q,2025-05-02,2025-03-31,0001018724-25-000036,amzn-20250331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,23654.0,0.0,1.0,16.0,0.2113807389870635,0.1917608156422554,2.0495213187604078,
AMZN,1018724,10-Q,2025-08-01,2025-06-30,0001018724-25-000086,amzn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,24601.0,0.0,1.0,16.0,0.20324377057843176,0.18502105202452349,2.0154096466535565,
AMZN,1018724,10-Q,2025-10-31,2025-09-30,0001018724-25-000123,amzn-20250930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,25789.0,0.0,1.0,16.0,0.19388111210205902,0.17720943890907573,1.9746635767599698,
AMZN,1018724,10-K,2026-02-06,2025-12-31,0001018724-26-000004,amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,40794.0,0.0,2.0,45.0,0.24513408834632544,0.21924322560027493,2.4874894760507784,
AMZN,1018724,10-Q,2026-04-30,2026-03-31,0001018724-26-000014,amzn-20260331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,25853.0,0.0,1.0,28.0,0.1934011526708699,0.1768073419767287,2.4706779459909556,
CAT,18230,10-Q,2023-08-02,2023-06-30,0000018230-23-000047,cat-20230630.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823023000047/cat-20230630.htm,31556.0,0.0,0.0,2.0,0.0,0.0,0.49090485030969,
CAT,18230,10-Q,2023-11-01,2023-09-30,0000018230-23-000056,cat-20230930.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823023000056/cat-20230930.htm,32159.0,0.0,0.0,2.0,0.0,0.0,0.4836043963555179,
CAT,18230,10-K,2024-02-16,2023-12-31,0000018230-24-000009,cat-20231231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm,65228.0,1.0,1.0,2.0,0.22996259275157907,0.2069837565247696,0.2674411937440892,
CAT,18230,10-Q,2024-05-01,2024-03-31,0000018230-24-000020,cat-20240331.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000020/cat-20240331.htm,27726.0,0.0,0.0,3.0,0.0,0.0,0.7333370774909982,
CAT,18230,10-Q,2024-08-07,2024-06-30,0000018230-24-000045,cat-20240630.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000045/cat-20240630.htm,32678.0,0.0,0.0,3.0,0.0,0.0,0.6513084402654553,
CAT,18230,10-Q,2024-11-06,2024-09-30,0000018230-24-000053,cat-20240930.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000053/cat-20240930.htm,33016.0,0.0,0.0,3.0,0.0,0.0,0.6463963699507426,
CAT,18230,10-K,2025-02-14,2024-12-31,0000018230-25-000008,cat-20241231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,65424.0,1.0,1.0,3.0,0.2292736610418195,0.20642347548083248,0.37744095551998674,
CAT,18230,10-Q,2025-05-07,2025-03-31,0000018230-25-000016,cat-20250331.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000016/cat-20250331.htm,27333.0,0.0,0.0,2.0,0.0,0.0,0.549112963255002,
CAT,18230,10-Q,2025-08-06,2025-06-30,0000018230-25-000040,cat-20250630.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000040/cat-20250630.htm,32989.0,0.0,0.0,3.0,0.0,0.0,0.6467859354067781,
CAT,18230,10-Q,2025-11-03,2025-09-30,0000018230-25-000048,cat-20250930.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000048/cat-20250930.htm,33800.0,0.0,0.0,4.0,0.0,0.0,0.7808979291174537,
CAT,18230,10-K,2026-02-13,2025-12-31,0000018230-26-000008,cat-20251231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,65602.0,1.0,1.0,4.0,0.22865156550105178,0.2059172798103269,0.4760711271965747,
CAT,18230,10-Q,2026-05-06,2026-03-31,0000018230-26-000021,cat-20260331.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000021/cat-20260331.htm,28292.0,0.0,0.0,4.0,0.0,0.0,0.8812135502352436,
CMG,1058090,10-Q,2023-07-28,2023-06-30,0001058090-23-000030,cmg-20230630x10q.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809023000030/cmg-20230630x10q.htm,9554.0,1.0,3.0,2.0,2.616705045007327,1.2855634027848202,1.129259183513672,
CMG,1058090,10-Q,2023-10-27,2023-09-30,0001058090-23-000041,cmg-20230930x10q.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809023000041/cmg-20230930x10q.htm,9753.0,1.0,4.0,2.0,3.0759766225776684,1.4051103799607307,1.1153550372538503,
CMG,1058090,10-K,2024-02-08,2023-12-31,0001562762-24-000023,cmg-20231231x10k.htm,https://www.sec.gov/Archives/edgar/data/1058090/000156276224000023/cmg-20231231x10k.htm,34506.0,3.0,10.0,5.0,2.318437373210456,1.1994940014084234,0.8956893157998149,
CMG,1058090,10-Q,2024-04-25,2024-03-31,0001058090-24-000015,cmg-20240331.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809024000015/cmg-20240331.htm,8464.0,1.0,3.0,1.0,2.9536862003780717,1.3746483590239538,0.7800010152097455,
CMG,1058090,10-Q,2024-07-25,2024-06-30,0001058090-24-000032,cmg-20240630.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809024000032/cmg-20240630.htm,9840.0,1.0,4.0,1.0,3.048780487804878,1.3984157216522355,0.7012443907925647,
CMG,1058090,10-Q,2024-10-30,2024-09-30,0001058090-24-000050,cmg-20240930.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809024000050/cmg-20240930.htm,10185.0,1.0,3.0,1.0,2.454590083456063,1.2397038057397431,0.6840237046261349,
CMG,1058090,10-K,2025-02-05,2024-12-31,0001058090-25-000014,cmg-20241231.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000014/cmg-20241231.htm,34855.0,3.0,6.0,9.0,1.7214173002438675,1.0011528108661467,1.2759564650431874,
CMG,1058090,10-Q,2025-04-24,2025-03-31,0001058090-25-000031,cmg-20250331.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000031/cmg-20250331.htm,8735.0,1.0,3.0,1.0,2.862049227246709,1.3511979304933688,0.7630554886596308,
CMG,1058090,10-Q,2025-07-24,2025-06-30,0001058090-25-000056,cmg-20250630.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000056/cmg-20250630.htm,9529.0,1.0,5.0,1.0,3.672998215972295,1.5418008819446865,0.7175607599345941,
CMG,1058090,10-Q,2025-10-30,2025-09-30,0001058090-25-000088,cmg-20250930.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809025000088/cmg-20250930.htm,10010.0,1.0,5.0,1.0,3.4965034965034967,1.5033000939777121,0.6926475552685128,
CMG,1058090,10-K,2026-02-04,2025-12-31,0001058090-26-000009,cmg-20251231.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000009/cmg-20251231.htm,33804.0,2.0,7.0,5.0,1.627026387409774,0.965852555346436,0.90790160036353,
CMG,1058090,10-Q,2026-04-30,2026-03-31,0001058090-26-000028,cmg-20260331.htm,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000028/cmg-20260331.htm,8833.0,0.0,3.0,0.0,1.6981772897090457,0.9925764671570659,0.0,
COST,909832,10-K,2023-10-11,2023-09-03,0000909832-23-000042,cost-20230903.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,29020.0,1.0,4.0,0.0,1.0337698139214335,0.7098911220587516,0.0,
COST,909832,10-Q,2023-12-20,2023-11-26,0000909832-23-000065,cost-20231126.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983223000065/cost-20231126.htm,10012.0,0.0,2.0,0.0,0.9988014382740711,0.6925477200564308,0.0,
