auctionDate,term,bidToCoverRatio,z,category,pre_cum_vol,post_cum_vol,vix_at_T
2015-01-13,10-Year,2.61,,skip,0.05938862951143841,0.09614243976847224,20.559999465942383
2015-01-14,30-Year,2.32,,skip,0.0652817638771012,0.11069863987015403,21.479999542236328
2015-02-11,10-Year,2.62,,skip,0.022077043776512595,0.07512483427281741,16.959999084472656
2015-02-12,30-Year,2.26,,skip,0.034838071409848695,0.0753422096612825,15.34000015258789
2015-03-11,10-Year,2.65,,skip,0.04676046618343485,0.03475001306264438,16.8700008392334
2015-03-12,30-Year,2.18,,skip,0.044654624846590565,0.03736527062725009,15.420000076293945
2015-04-08,10-Year,2.62,,skip,0.07413778947603221,0.04097776075030846,13.979999542236328
2015-04-09,30-Year,2.18,,skip,0.07543813514470794,0.04752480385601079,13.09000015258789
2015-05-13,10-Year,2.72,,skip,0.11871214655561373,0.061323480491673105,13.760000228881836
2015-05-14,30-Year,2.2,,skip,0.1210822474571231,0.06393048447330994,12.739999771118164
2015-06-10,10-Year,2.74,,skip,0.0495625984010569,0.04409619586756147,13.220000267028809
2015-06-11,30-Year,2.54,,skip,0.0542665490811895,0.05072949866381252,12.850000381469727
2015-07-08,10-Year,2.72,1.0673521004472293,other,0.06422024992199157,0.09127583240308938,19.65999984741211
2015-07-09,30-Year,2.23,-0.36084391824351497,benign,0.06037872484173722,0.09380191864340032,19.969999313354492
2015-08-12,10-Year,2.4,-4.787058412767111,weak,0.077854437002967,0.1002920809274106,13.609999656677246
2015-08-13,30-Year,2.26,-0.10052885732010568,benign,0.07988557885143752,0.10356793872483758,13.489999771118164
2015-09-09,10-Year,2.7,0.6005586829838662,other,0.07548288633306365,0.09374165309596244,26.229999542236328
2015-09-10,30-Year,2.54,2.2680276696647677,other,0.06058030919460204,0.09692621409149212,24.3700008392334
2015-10-07,10-Year,2.59,-0.5043931844542643,other,0.051447800083832575,0.03577730053977743,18.399999618530273
2015-10-08,30-Year,2.46,1.114876309511221,other,0.05181390313325444,0.05990691233300925,17.420000076293945
2015-11-10,10-Year,2.58,-0.5757543121865081,other,0.08458392611477347,0.06894679177993207,15.289999961853027
2015-11-12,30-Year,2.41,0.6482939779135997,other,0.09031971195978028,0.06894679177993207,18.3700008392334
2015-12-09,10-Year,2.64,0.08569174844482669,benign,0.06361116461343681,0.14321885741612844,19.610000610351562
2015-12-10,30-Year,2.42,0.6804248848724092,other,0.055385729123465795,0.1384542355836164,19.34000015258789
2016-01-13,10-Year,2.77,1.5098788606196916,other,0.07346189432056412,0.09351588404388311,25.219999313354492
2016-01-14,30-Year,2.29,-0.3203557424182417,benign,0.0742648105150325,0.07710443124774043,23.950000762939453
2016-02-10,10-Year,2.56,-0.8682902470207171,other,0.12382452567458374,0.097131876660072,26.290000915527344
2016-02-11,30-Year,2.09,-1.7732943667379988,weak,0.15733922222229393,0.10901542597938209,28.139999389648438
2016-03-09,10-Year,2.49,-1.4823395538517241,other,0.06370382071620087,0.06855718604264366,18.34000015258789
2016-03-10,30-Year,2.33,0.08783642521328201,benign,0.05958398644452453,0.07005018880336114,18.049999237060547
2016-04-13,10-Year,2.75,1.050923827229381,other,0.03471138856715241,0.028012490906466014,13.84000015258789
2016-04-14,30-Year,2.4,0.3963361709344993,benign,0.02864970821426458,0.026324936440956504,13.720000267028809
2016-05-11,10-Year,2.68,0.3592552766953396,benign,0.05562862253562158,0.060205274663505615,14.6899995803833
2016-05-12,30-Year,2.19,-1.1349802207522743,other,0.05504632855809289,0.06699600849436088,14.40999984741211
2016-06-08,10-Year,2.7,0.570287148522981,other,0.04590782104713862,0.08455061021348927,14.079999923706055
2016-06-09,30-Year,2.42,0.5247026353256031,other,0.10979364990783926,0.08455061021348927,14.640000343322754
2016-07-12,10-Year,2.33,-2.6009510146830315,weak,0.07809031990258058,0.051951633193557056,13.550000190734863
2016-07-13,30-Year,2.48,1.0271987427950766,other,0.07358206952662827,0.04795890650914183,13.039999961853027
2016-08-10,10-Year,2.43,-1.2346955122854761,other,0.03167721516059802,0.017283577735933028,12.050000190734863
2016-08-11,30-Year,2.24,-0.9045154217304078,other,0.04264028616601299,0.020715049662971982,11.680000305175781
2016-09-12,10-Year,2.35,-1.7854439846273833,weak,0.07262774368225848,0.019685160839367034,15.15999984741211
2016-09-13,30-Year,2.13,-1.6910027713959823,weak,0.06105949533792458,0.08280014525367223,17.850000381469727
2016-10-12,10-Year,2.53,-0.2649011929493004,benign,0.04847542658263862,0.06365627350781923,15.90999984741211
2016-10-13,30-Year,2.44,0.99790877723173,other,0.043353161063227626,0.06365627350781923,16.690000534057617
2016-11-09,10-Year,2.22,-2.3524636003872113,weak,0.15039613754903303,0.12480728682768656,14.380000114440918
2016-11-10,30-Year,2.11,-1.6071923010802927,weak,0.1682877299432622,0.0987471520857422,14.739999771118164
2016-12-12,10-Year,2.39,-0.7512060223450191,other,0.0686375353487108,0.05356478375125062,12.640000343322754
2016-12-13,30-Year,2.39,0.7535100651691599,other,0.05609409570641414,0.05680317362715101,12.720000267028809
2017-01-11,10-Year,2.58,0.3521154113283963,benign,0.028130560134314402,0.062493107675141026,11.260000228881836
2017-01-12,30-Year,2.32,0.19920833178208405,benign,0.03072676603189282,0.06359787137350545,11.539999961853027
2017-02-08,10-Year,2.29,-1.2924996640478608,other,0.041104013611106584,0.055787536444540715,11.449999809265137
2017-02-09,30-Year,2.25,-0.32545370503757304,benign,0.03908920228380795,0.059334000291734613,10.880000114440918
2017-03-08,10-Year,2.66,1.0527414901226273,other,0.06034637104888695,0.07071414019878118,11.859999656677246
2017-03-09,30-Year,2.34,0.2561112968340862,benign,0.06859414515733231,0.06748468809937788,12.300000190734863
2017-04-11,10-Year,2.48,-0.06928666836585114,benign,0.07683197522367027,0.0580193106966896,15.069999694824219
2017-04-12,30-Year,2.23,-0.6392811328952168,other,0.0849396033156528,0.07113367493857528,15.770000457763672
2017-05-10,10-Year,2.33,-0.8685468829566042,other,0.06365249507175509,0.13871435812867686,10.210000038146973
2017-05-11,30-Year,2.19,-0.8591457774027473,other,0.06339488551987163,0.13830964969779388,10.600000381469727
2017-06-12,10-Year,2.54,0.920349966172783,other,0.04204221217382983,0.01641380458027138,11.460000038146973
