date,actual,expanding_mean,rv_lag1,ar1_logrv,har_logrv,har_bpv
2026-04-30,0.00011866213897121442,0.00010771372895572421,0.00010732851436163616,9.453857804089046e-05,0.00012683162172319652,0.00014508159528433563
2026-05-04,9.133702480557556e-05,0.00010799445741765986,0.00011866213897121433,9.863513644375971e-05,0.00011009787351242015,0.0001093301774076054
2026-05-05,3.312866511110606e-05,0.00010757802160235778,9.133702480557552e-05,8.960840765869894e-05,9.06514572271535e-05,9.456916076802187e-05
2026-05-06,0.00020630588038390163,0.00010576218363915653,3.312866511110605e-05,6.089845516493052e-05,6.270538890417205e-05,4.8295539726484484e-05
2026-05-07,6.0663208518182964e-05,0.00010815608118069808,0.00020630588038390157,0.00011277077008145174,9.122952497216363e-05,0.00011146393846113956
2026-05-08,0.00010237139505336151,0.0001070515957699419,6.066320851818295e-05,7.991019865984134e-05,7.661321410969705e-05,7.870435079326546e-05
2026-05-11,2.6617838929886212e-05,0.0001069452275718378,0.00010237139505336144,9.141916799963956e-05,7.969356649684814e-05,8.971434755949383e-05
2026-05-12,0.00011872981138066933,0.00010516017449090553,2.661783892988622e-05,6.500244573629518e-05,6.909575301507517e-05,5.561077403880721e-05
2026-05-13,7.561342169250853e-05,0.00010545516659720474,0.0001187298113806693,9.197866632658457e-05,7.784168678272187e-05,7.500732214943817e-05
2026-05-14,8.10717001202362e-05,0.00010482023585455163,7.561342169250853e-05,8.404888942097565e-05,6.484995687461392e-05,6.280020853696083e-05
2026-05-15,0.00011520459468055964,0.00010432547469342008,8.107170012023621e-05,8.509355806170196e-05,6.580996628648456e-05,6.675775132131542e-05
2026-05-18,0.00010849957774285148,0.00010454749755030048,0.00011520459468055971,9.145644636882752e-05,6.699152197133239e-05,7.315818583258175e-05
2026-05-19,6.318559983975831e-05,0.00010462653915415151,0.00010849957774285154,9.079482194260244e-05,7.412140820903498e-05,8.936913237007741e-05
2026-05-20,8.202143663667542e-05,0.00010381397171661438,6.318559983975831e-05,8.146471989060034e-05,6.904851322211585e-05,7.53233122602065e-05
2026-05-21,5.584899911427493e-05,0.00010339488450353863,8.202143663667543e-05,8.552216920398296e-05,7.013391153267921e-05,7.78076760206788e-05
2026-05-22,5.9671675683690793e-05,0.0001024977923263827,5.584899911427495e-05,7.89435713520381e-05,6.630317158752834e-05,6.876440062985077e-05
2026-05-25,4.335258668886859e-05,0.00010170471609225879,5.967167568369082e-05,7.931651694739874e-05,6.189147876473807e-05,6.134680803317739e-05
2026-05-26,8.932377774426238e-05,0.00010064376828492441,4.335258668886859e-05,7.31385892317822e-05,5.427990602055937e-05,5.397920180400732e-05
2026-05-27,0.0001245388009578437,0.0001004416255966983,8.932377774426237e-05,8.514131563339798e-05,6.824170246138085e-05,7.1188851899109e-05
2026-05-28,0.00047991523502345217,0.00010086438305917454,0.00012453880095784363,9.15957691813238e-05,8.109397093663378e-05,7.938264430381639e-05
2026-05-29,0.00010307186749723357,0.00010739974257580001,0.000479915235023452,0.00013050813359452552,0.0001144197545507319,0.0001229132544745289
2026-06-01,0.00010893690573691676,0.00010732638876090905,0.00010307186749723365,9.068366509320703e-05,9.580037153218364e-05,0.00010612299177529545
2026-06-02,0.00013608036435960264,0.00010735323071050918,0.00010893690573691677,9.206988740228012e-05,9.938262667389422e-05,0.0001075058304407256
2026-06-03,5.535829719588452e-05,0.00010782416732770744,0.00013608036435960267,9.73604542488711e-05,0.00010496627387844013,0.00011363040998347346
2026-06-04,5.023306029351782e-05,0.00010697794361590384,5.5358297195884473e-05,7.963733284595693e-05,9.059726939308397e-05,9.523710083821118e-05
2026-06-05,0.00020433119205559818,0.00010607723118221517,5.0233060293517776e-05,7.705049558270689e-05,7.219714353247275e-05,7.77901750622324e-05
2026-06-08,0.00027764381926350995,0.0001076124493208618,0.00020433119205559824,0.00010408957380876637,9.223470009597967e-05,0.00010058799348464181
2026-06-09,9.961914245527869e-05,0.00011022831655074868,0.00027764381926350995,0.00011667185327766294,9.980388999186104e-05,0.00010808233623842609
2026-06-10,0.00012669046414012642,0.00011006757148869612,9.961914245527862e-05,9.200369552076395e-05,8.319610079120155e-05,8.08125457582124e-05
2026-06-11,0.0002971793766197419,0.00011031567436409059,0.0001266904641401265,9.754172646481951e-05,8.673956491502711e-05,8.714932680950855e-05
2026-06-12,8.89699801519129e-05,0.00011306366998549723,0.00029717937661974186,0.00012200948590109427,0.00010843398180238657,0.00010989236261273812
2026-06-15,5.5421303994615285e-05,0.00011271448607486557,8.896998015191286e-05,9.12459001926148e-05,8.482179141605028e-05,8.064300774053274e-05
2026-06-16,9.461990962440425e-05,0.00011189601204514772,5.542130399461525e-05,8.146904759779259e-05,7.175730588615718e-05,6.586754540206647e-05
2026-06-17,5.730306962717131e-05,0.00011165268665894006,9.461990962440429e-05,9.204172012448666e-05,8.027441582464433e-05,7.46639418674927e-05
