date,n_bars,n_returns,n_gaps,max_gap_min,zero_volume_bars,intraday_rv,bpv,jump_variation,rs_pos,rs_neg,intraday_return,intraday_return_sq,overnight_return,overnight_sq,full_return,full_return_sq,total_rv,open_price,close_price
2026-01-20,53,52,0,0.0,1,4.494445095742913e-05,4.4312964311045313e-05,6.314866463838159e-07,2.963931671204628e-05,1.5305134245382846e-05,0.009688614863895738,9.386925798090143e-05,,,,,,71.9000015258789,72.5999984741211
2026-01-21,54,53,0,0.0,1,5.625241627740752e-05,4.761503622669243e-05,8.637380050715086e-06,2.9314853623540527e-05,2.6937562653867e-05,0.0006960727302590303,4.845172458102608e-07,-0.011080382255366065,0.00012277487092503115,-0.01038430952510702,0.00010783388431322838,0.00017902728720243868,71.80000305175781,71.8499984741211
2026-01-22,53,52,0,0.0,1,3.340524416043958e-05,2.4332863985789088e-05,9.072380174650489e-06,1.984172404329564e-05,1.3563520117143936e-05,-0.0027855809065354164,7.759460986854671e-06,0.0006956946612113573,4.839910616379852e-07,-0.0020898862453240176,4.36762451839452e-06,3.388923522207756e-05,71.9000015258789,71.69999694824219
2026-01-23,53,52,0,0.0,1,2.9350550514933785e-05,2.4964723527989776e-05,4.385826986944009e-06,1.5385896561393295e-05,1.3964653953540491e-05,0.0020783038650074494,4.319346955304903e-06,0.005563318084830953,3.095050811300715e-05,0.007641621949838348,5.839438602425124e-05,6.030105862794093e-05,72.0999984741211,72.25
2026-01-26,53,52,0,0.0,1,3.2363190649471574e-05,3.2134947233375505e-05,2.282434160960685e-07,1.2849403008246883e-05,1.9513787641224687e-05,0.0013831049947104546,1.9129794263930066e-06,0.0,0.0,0.0013831049947104546,1.9129794263930066e-06,3.2363190649471574e-05,72.25,72.3499984741211
2026-01-27,53,52,0,0.0,1,2.7318559334312745e-05,2.443915588992975e-05,2.8794034443829945e-06,1.8860889661195163e-05,8.457669673117582e-06,0.008937859505649197,7.988533254272372e-05,0.0006908884800938757,4.773268919264258e-07,0.009628747985743091,9.271278777295164e-05,2.779588622623917e-05,72.4000015258789,73.05000305175781
2026-01-28,54,53,0,0.0,0,2.476853967480836e-05,1.8737183107367963e-05,6.031356567440396e-06,1.5587453455475587e-05,9.181086219332772e-06,0.008124600622479354,6.600913527479191e-05,0.006821308566738774,4.653025056266379e-05,0.014945909189218141,0.0002233802014923553,7.129879023747215e-05,73.55000305175781,74.1500015258789
2026-01-29,53,52,0,0.0,0,0.00010518006786630805,8.550416578001192e-05,1.9675902086296128e-05,2.7488432085437994e-05,7.769163578087006e-05,-0.00809718939001317,6.556447601774186e-05,0.003365873185957745,1.132910230394934e-05,-0.004731316204055609,2.238535302275918e-05,0.0001165091701702574,74.4000015258789,73.80000305175781
2026-01-30,53,52,0,0.0,0,6.908688904860915e-05,6.390045714099876e-05,5.186431907610399e-06,3.361896392849974e-05,3.546792512010943e-05,-0.006858737306279191,4.704227743654594e-05,-0.008846624632436099,7.826276738722515e-05,-0.015705361938715384,0.00024665839362604985,0.0001473496564358343,73.1500015258789,72.6500015258789
2026-02-03,54,53,0,0.0,0,6.629316003359809e-05,6.997024396125e-05,0.0,3.7420658106195486e-05,2.8872501927402606e-05,-0.0013707812026553916,1.8790411055533616e-06,0.004806030128948733,2.3097925600362973e-05,0.003435248926293399,1.180093518559995e-05,8.939108563396106e-05,73.0,72.9000015258789
2026-02-04,53,52,0,0.0,1,6.225236678884296e-05,5.925909435731337e-05,2.9932724315295957e-06,3.8234918878559166e-05,2.4017447910283798e-05,0.006196191228378166,3.839278573863053e-05,-0.0068823394783898515,4.736659669580349e-05,-0.0006861482500115896,4.7079942099396687e-07,0.00010961896348464646,72.4000015258789,72.8499984741211
2026-02-05,53,52,0,0.0,1,8.425795621249181e-05,6.729466912958973e-05,1.696328708290208e-05,5.198836943102057e-05,3.226958678147123e-05,-0.001388973883245512,1.9292484483381174e-06,-0.011042146894082772,0.00012192900803050182,-0.012431120777328272,0.00015453276378052264,0.00020618696424299363,72.05000305175781,71.94999694824219
2026-02-06,54,53,0,0.0,1,8.641278509105117e-05,7.742933137850555e-05,8.98345371254562e-06,5.809112842107664e-05,2.8321656669974513e-05,0.007673500202004368,5.8882605350161074e-05,-0.007673500202004399,5.8882605350161555e-05,0.0,0.0,0.0001452953904412127,71.4000015258789,71.94999694824219
2026-02-09,53,52,0,0.0,1,2.785010185387336e-05,2.4375352740787046e-05,3.474749113086315e-06,1.3240992670644415e-05,1.4609109183228947e-05,-0.0013514340369774735,1.8263739563012311e-06,0.02876919100753548,0.0008276663512280602,0.02741775697055782,0.0007517333972965719,0.0008555164530819336,74.05000305175781,73.94999694824219
2026-02-10,53,52,0,0.0,1,8.575182076252607e-05,6.509195702316222e-05,2.0659863739363852e-05,6.6825788457723e-05,1.892603230480307e-05,0.01132211182933904,0.00012819021627605902,0.009421396536686118,8.876271270148118e-05,0.0207435083660251,0.0004302931393313533,0.00017451453346400725,74.6500015258789,75.5
2026-02-11,53,52,0,0.0,1,4.184466541795324e-05,3.389038630928806e-05,7.954279108665181e-06,3.0449985238509523e-05,1.1394680179443718e-05,0.016982712994797616,0.0002884125406636678,0.0052840482504115235,2.7921165912677083e-05,0.02226676124520905,0.0004958086563511437,6.976583133063032e-05,75.9000015258789,77.19999694824219
2026-02-23,53,52,0,0.0,1,6.755546747428271e-05,4.9795693664131736e-05,1.7759773810150976e-05,2.4681930379048755e-05,4.2873537095233964e-05,-0.014767445205589615,0.0002180774379000917,0.01606202277817963,0.0002579885757267613,0.0012945775725897897,1.6759310914524722e-06,0.000325544043201044,78.44999694824219,77.30000305175781
2026-02-24,53,52,0,0.0,1,0.00011368827543845663,0.00012178221938029988,0.0,8.712068282982989e-05,2.656759260862674e-05,0.0196894653066978,0.00038767504406365624,0.008373561280810403,7.011652852348715e-05,0.028063026587508227,0.0007875334612511937,0.00018380480396194376,77.94999694824219,79.5
2026-02-25,53,52,0,0.0,1,7.439779783510076e-05,5.4663362404932535e-05,1.9734435430168224e-05,3.308325379353863e-05,4.131454404156212e-05,0.008674212641346128,7.524196494728896e-05,0.010635051532831855,0.00011310432110598918,0.019309264174178043,0.00037284768294819565,0.00018750211894108992,80.3499984741211,81.05000305175781
2026-02-26,53,52,0,0.0,1,3.82914897815932e-05,3.754767538433309e-05,7.438143972601086e-07,1.7821351554014538e-05,2.0470138227578667e-05,0.0006152328809138596,3.7851149775756737e-07,0.0024645353753825158,6.073934616511838e-06,0.0030797682562962443,9.484972512490009e-06,4.436542439810504e-05,81.25,81.30000305175781
2026-03-02,53,52,0,0.0,1,0.00011689695202979129,8.36446762704005e-05,3.3252275759390785e-05,9.069529649982389e-05,2.6201655529967394e-05,0.011257173503227566,0.00012672395528176878,-0.022389032430474447,0.0005012687731728365,-0.011131858927246855,0.00012391828317612552,0.0006181657252026278,79.5,80.4000015258789
2026-03-03,53,52,0,0.0,1,0.00013745959435211626,0.00010868885843794145,2.877073591417481e-05,3.556055457415866e-05,0.00010189903977795759,-0.01637319986012623,0.00026808167365963755,-0.004362717597645155,1.9033304836802714e-05,-0.020735917457771424,0.00042997827281550973,0.00015649289918891898,80.05000305175781,78.75
2026-03-04,53,52,0,0.0,1,0.00020642903739008658,0.000203661457788995,2.7675796010915774e-06,0.00010860962389765148,9.781941349243511e-05,-0.022869339905270916,0.0005230067077028167,-0.017291477395863456,0.00029899519053165684,-0.04016081730113445,0.0016128912462951004,0.0005054242279217434,77.4000015258789,75.6500015258789
2026-03-05,53,52,0,0.0,1,0.0002541647921109864,0.00024935854645001185,4.806245660974576e-06,0.00011411557378270092,0.00014004921832828546,-0.014148224471764158,0.0002001722557034262,0.03443018156734416,0.0011854374027602857,0.020281957095580082,0.00041135778362695125,0.0014396021948712722,78.30000305175781,77.19999694824219
2026-03-06,53,52,0,0.0,1,6.650553454240387e-05,4.4581715271717105e-05,2.1923819270686767e-05,3.9004068463089826e-05,2.7501466079314032e-05,0.0006507702392608458,4.2350190430761846e-07,-0.0051947376101326,2.698529883812616e-05,-0.004543967370871768,2.0647639467547285e-05,9.349083338053003e-05,76.80000305175781,76.8499984741211
2026-03-09,53,52,0,0.0,1,0.00015511897940825726,0.0001248170732241404,3.030190618411686e-05,9.250326604798928e-05,6.261571336026797e-05,0.004092712745384786,1.6750297616235073e-05,-0.049343301803594655,0.0024347614328806277,-0.04525058905820989,0.0020476158101149847,0.002589880412288885,73.1500015258789,73.44999694824219
2026-03-10,53,52,0,0.0,1,0.00016625666357431186,0.00015487891161915273,1.1377751955159133e-05,8.606381276538781e-05,8.019285080892405e-05,-0.009265514131482938,8.584975212071003e-05,0.032811843434283956,0.0010766170695559632,0.023546329302800897,0.0005544296236359401,0.001242873733130275,75.9000015258789,75.19999694824219
2026-03-11,53,52,0,0.0,1,0.00011160804795957101,7.828985707237425e-05,3.3318190887196764e-05,9.200124030935137e-05,1.9606807650219637e-05,0.02459663023899222,0.0006049942191137064,0.014521787913328794,0.00021088232419970226,0.03911841815232106,0.0015302506387398418,0.00032249037215927327,76.30000305175781,78.19999694824219
2026-03-12,53,52,0,0.0,1,0.00010409115775006966,9.231580825201302e-05,1.1775349498056636e-05,3.3429031555896007e-05,7.066212619417368e-05,-0.005853635553458028,3.4265049192707875e-05,-0.014166347747851768,0.00020068540851306485,-0.020019983301309757,0.00040079973138472147,0.0003047765662631345,77.0999984741211,76.6500015258789
2026-03-13,53,52,0,0.0,1,0.00012994670053310766,0.00013716742874171628,0.0,7.851366110905999e-05,5.143303942404767e-05,0.010589052357211571,0.00011212802982376792,-0.019763488721492382,0.0003905954864445566,-0.00917443636428089,8.417028260223954e-05,0.0005205421869776643,75.1500015258789,75.94999694824219
2026-03-16,53,52,0,0.0,1,0.00011545311804017945,0.00011938093440284457,0.0,4.7771107814656895e-05,6.768201022552256e-05,-0.00921671528533267,8.494784065088487e-05,0.004597789426598409,2.1139667611340128e-05,-0.0046189258587343044,2.133447608848443e-05,0.00013659278565151959,76.30000305175781,75.5999984741211
2026-03-17,53,52,0,0.0,1,8.94309944586483e-05,8.563546529287525e-05,3.795529165773049e-06,4.602766888649781e-05,4.3403325572150495e-05,0.0032647761282511133,1.065876316759833e-05,0.011180629454817327,0.0001250064750059288,0.014445405583068503,0.00020866974245934667,0.00021443746946457712,76.44999694824219,76.69999694824219
