date,actual,expanding_mean,rv_lag1,ar1_logrv,har_logrv,har_bpv
2026-05-04,0.0004775114435804228,0.0004817041702773052,0.00015521225248650588,0.0003219722304465282,0.0003902663537328579,0.0005541822003276741
2026-05-05,3.7607689681016616e-05,0.0004815966644645646,0.00047751144358042295,0.0002761972012181348,0.00030593606913322804,0.00047249068653703853
2026-05-06,0.0004218971684497,0.0004704969400949759,3.7607689681016643e-05,0.00040361158777701007,0.0004617350468049515,0.0006512988137789114
2026-05-07,0.0005767019071565824,0.0004693115798109448,0.00042189716844970006,0.0002655729638951224,0.00026587381208357966,0.0006452811955620393
2026-05-08,0.00012861613577206705,0.0004718684923667933,0.0005767019071565823,0.0002573185815248851,0.0002945848995835156,0.00035096017625507107
2026-05-11,4.367572699064656e-05,0.00046388587942272993,0.00012861613577206705,0.0003289405857631847,0.00040135467215095033,0.000738261880403778
2026-05-12,0.00012112489077644368,0.00045433564868563715,4.3675726990646574e-05,0.00035572175184315347,0.00041340879157679807,0.00027796283220600813
2026-05-13,0.0005110323320104142,0.00044693096517654394,0.00012112489077644367,0.000290202439889885,0.0003526901608519303,0.00037309662103423403
2026-05-14,0.00023635490212118367,0.0004483244731511933,0.0005110323320104143,0.0002526412075769347,0.00028386952056682935,0.0002085853235892617
2026-05-15,0.0004236453792425648,0.0004438144822782144,0.0002363549021211835,0.0002746739437551466,0.0002908530399377073,0.00023735479898977498
2026-05-18,0.00028300980028298016,0.00044339429263163827,0.0004236453792425647,0.0002596380437961082,0.00028100220887231206,0.00029363927373377057
2026-05-19,0.0001033704159136346,0.0004401211397265636,0.00028300980028298027,0.00027215090133135897,0.0003120505875175368,0.00027411071598313556
2026-05-20,8.663618180649286e-05,0.00043338612525030504,0.00010337041591363465,0.0002988004350946123,0.000350850653327529,0.0002774163693764477
2026-05-21,0.0005821142662528038,0.0004265871067514068,8.663618180649288e-05,0.00028943335448622056,0.0003043627465993792,0.00025969930257761385
2026-05-22,7.699685563005211e-05,0.0004295780136648952,0.0005821142662528037,0.0002451015043774614,0.0002496608474070734,0.0001376779830032322
2026-05-25,0.0005897468893855853,0.0004229255389849925,7.699685563005214e-05,0.00030201750604065726,0.00031064539217482,0.00026160467189064335
2026-05-26,0.00015990594370962461,0.0004260148232516701,0.0005897468893855851,0.0002362305626883626,0.00023000369317657175,0.00011761998416688758
2026-05-27,0.00045692934442964845,0.0004211764799872693,0.00015990594370962467,0.0002809731643192056,0.00030002152185858475,0.00024615167731205525
2026-05-28,0.0006261328058070025,0.00042181492399516896,0.00045692934442964834,0.00024360588745168374,0.0002641765748982398,0.00033613413896007693
2026-05-29,0.0007797832537114993,0.0004253994482374818,0.0006261328058070026,0.00023840330869073255,0.0002697013280069513,0.0006040205799088596
2026-06-01,0.0001826881362565453,0.0004315095138491028,0.0007797832537114995,0.00024066016708940846,0.00028403874587504637,0.00017710189470222676
2026-06-02,0.00018621399825058822,0.0004272922023644832,0.0001826881362565454,0.0002852893170996507,0.0003441770723264118,0.0002959738082261295
2026-06-03,0.0002810732865170056,0.00042327423229591825,0.00018621399825058822,0.0002822627051654186,0.0003339863008245537,0.00041232819161781574
2026-06-04,0.00013717146986672672,0.0004209430692503623,0.0002810732865170056,0.00026852410326323723,0.0003088153398886096,0.00019077234808981462
2026-06-05,0.00031294262860753373,0.0004163661079699811,0.0001371714698667268,0.0002897931356499459,0.0003151423840797284,0.0002318930645705578
2026-06-08,0.003978482188448216,0.0004147244654404184,0.00031294262860753384,0.00026247133286794785,0.0002574618866191862,0.00037907637757125475
2026-06-09,0.00021695555597264448,0.0004704081798624153,0.003978482188448217,0.0002045137612225576,0.00019721168966991285,0.0002451999267469896
2026-06-10,0.00018701766913423352,0.00046650890872564955,0.00021695555597264456,0.0002860448706280615,0.0002851291503515478,0.00035769847757685034
2026-06-11,0.00030341378734583853,0.00046227419297426454,0.00018701766913423347,0.0002888113395510759,0.00027599801911688956,0.00036870637375381154
2026-06-12,0.001243951424873128,0.0004599031421439895,0.00030341378734583874,0.00027388816148361545,0.0002612442682858705,0.0004960219445817211
2026-06-15,0.0010114867608026444,0.00047143326394882975,0.001243951424873128,0.00024002219366658947,0.00024023585244473163,0.00018168527908182084
2026-06-16,0.00016725791231220755,0.00047926012622207344,0.0010114867608026444,0.00026100848385068653,0.0002283474622458848,0.00013284863316933993
2026-06-17,0.00013842742087113042,0.0004748029517376468,0.00016725791231220755,0.0002995614102396272,0.0002826730791384826,0.0003406612286737015
