market,n_common_valid,oos_start,oos_end,qlike_prg_extended,qlike_fair_info_gjr_x_current_on,prg_advantage_pct,dm_t_fair_minus_prg,dm_p_value,harvey_pass_abs_t_gt_3,winner
SPY,1823,2019-01-02,2026-04-02,0.7490117483816979,0.7294141219166189,-2.6867626875092587,-1.7191260880381753,0.08576126706477716,False,FairInfo_GJR_X_CurrentON
QQQ,1981,2018-05-16,2026-04-02,0.7648771878495073,0.7414264976279146,-3.162915042370321,-1.9976330058883396,0.045893060856625034,False,FairInfo_GJR_X_CurrentON
GLD,1613,2019-10-31,2026-04-02,0.820410372877124,0.5860321649464217,-39.99408598197514,-11.27044964999816,0.0,True,FairInfo_GJR_X_CurrentON
EEM,1734,2019-05-10,2026-04-02,0.6662672466384173,0.533529435049281,-24.879191825072525,-7.79305945088368,1.1102230246251565e-14,True,FairInfo_GJR_X_CurrentON
0050.TW,1251,2021-01-08,2026-04-02,0.7866856001535918,0.6133039432977504,-28.27010306236806,-7.251891446951652,7.185363415374013e-13,True,FairInfo_GJR_X_CurrentON
TAIFEX,843,2022-07-14,2025-12-31,0.12093172883376502,0.05820674059564027,-107.7624130749264,-6.298591267441017,4.834230793449024e-10,True,FairInfo_GJR_X_CurrentON
