Date,vix,vix9d,move,us10y_yield,us3m_yield,us5y_yield
2026-02-17,20.290000915527344,20.309999465942383,68.83999633789062,4.052000045776367,3.5929999351501465,3.621000051498413
2026-02-18,19.6200008392334,19.079999923706055,64.19000244140625,4.078999996185303,3.6029999256134033,3.6449999809265137
2026-02-19,20.229999542236328,19.8700008392334,68.02999877929688,4.074999809265137,3.5950000286102295,3.6470000743865967
2026-02-20,19.09000015258789,18.020000457763672,64.2699966430664,4.085999965667725,3.5950000286102295,3.6500000953674316
2026-02-23,21.010000228881836,21.110000610351562,68.02999877929688,4.0289998054504395,3.5880000591278076,3.5820000171661377
2026-02-24,19.549999237060547,18.600000381469727,65.2699966430664,4.0329999923706055,3.5880000591278076,3.5980000495910645
2026-02-25,17.93000030517578,16.280000686645508,62.43000030517578,4.047999858856201,3.5880000591278076,3.61899995803833
2026-02-26,18.6299991607666,16.649999618530273,63.93000030517578,4.017000198364258,3.5880000591278076,3.5829999446868896
2026-02-27,19.860000610351562,18.59000015258789,73.37999725341797,3.9619998931884766,3.578000068664551,3.51200008392334
2026-03-02,21.440000534057617,21.18000030517578,73.20999908447266,4.047999858856201,3.5899999141693115,3.621000051498413
2026-03-03,23.56999969482422,24.549999237060547,77.75,4.056000232696533,3.5950000286102295,3.63100004196167
2026-03-04,21.149999618530273,20.600000381469727,70.02999877929688,4.079999923706055,3.5950000286102295,3.6679999828338623
2026-03-05,23.75,23.549999237060547,74.52999877929688,4.145999908447266,3.5880000591278076,3.743000030517578
2026-03-06,29.489999771118164,30.440000534057617,81.26000213623047,4.132999897003174,3.569999933242798,3.7149999141693115
2026-03-09,25.5,27.850000381469727,79.73999786376953,4.136000156402588,3.5929999351501465,3.7360000610351562
2026-03-10,24.93000030517578,25.540000915527344,76.33000183105469,4.136000156402588,3.5950000286102295,3.7149999141693115
2026-03-11,24.229999542236328,24.440000534057617,78.58999633789062,4.208000183105469,3.5999999046325684,3.7820000648498535
