Date,SPY,QQQ,IWM,GLD,TLT,HYG,EEM,USO
2010-01-04,84.57847595214844,40.24656295776367,51.24470138549805,109.80000305175781,55.709537506103516,34.39796829223633,30.194564819335938,322.1600036621094
2010-01-05,84.80237579345703,40.24656295776367,51.068504333496094,109.69999694824219,56.069332122802734,34.56113815307617,30.413719177246094,323.2799987792969
2010-01-06,84.86209106445312,40.00380325317383,51.02043533325195,111.51000213623047,55.318702697753906,34.650516510009766,30.47735023498535,327.760009765625
2010-01-07,85.22030639648438,40.029815673828125,51.3968620300293,110.81999969482422,55.41175079345703,34.79039764404297,30.300615310668945,325.760009765625
2010-01-08,85.50390625,40.35926818847656,51.67720031738281,111.37000274658203,55.386993408203125,34.84477233886719,30.540977478027344,327.44000244140625
2010-01-11,85.6232681274414,40.19452667236328,51.468971252441406,112.8499984741211,55.083011627197266,34.81371307373047,30.47735023498535,324.32000732421875
2010-01-12,84.82474517822266,39.69167709350586,50.90831756591797,110.48999786376953,56.02588653564453,34.63499450683594,29.989540100097656,317.0400085449219
2010-01-13,85.54120635986328,40.18587875366211,51.56507873535156,111.54000091552734,55.37454605102539,34.71269607543945,30.081453323364258,313.67999267578125
2010-01-14,85.77255249023438,40.220550537109375,51.75730514526367,112.02999877929688,56.14995193481445,34.75156021118164,30.003681182861328,312.4800109863281
2010-01-15,84.8098373413086,39.75237274169922,51.004425048828125,110.86000061035156,56.49729919433594,34.61167907714844,29.65726661682129,307.20001220703125
2010-01-19,85.86959075927734,40.39394760131836,51.94152069091797,111.5199966430664,56.336029052734375,34.627193450927734,30.258195877075195,311.44000244140625
2010-01-20,84.99640655517578,39.81306076049805,51.18864059448242,108.94000244140625,56.906673431396484,34.576698303222656,29.530017852783203,303.1199951171875
2010-01-21,83.36202239990234,39.44024658203125,50.34764099121094,107.37000274658203,57.167198181152344,34.036624908447266,28.639236450195312,297.9200134277344
2010-01-22,81.50369262695312,38.287132263183594,49.44255447387695,107.16999816894531,57.067989349365234,33.714111328125,28.002971649169922,290.7200012207031
2010-01-25,81.92162322998047,38.417171478271484,49.49863052368164,107.4800033569336,56.8074951171875,33.7646369934082,28.207983016967773,294.4800109863281
2010-01-26,81.57836151123047,38.45186233520508,49.01005554199219,107.55999755859375,56.8260498046875,33.807369232177734,27.621204376220703,292.0
2010-01-27,81.96640014648438,38.75531768798828,49.530662536621094,106.52999877929688,56.79502868652344,33.81903839111328,27.55051040649414,288.6400146484375
2010-01-28,81.02609252929688,37.75825119018555,48.681663513183594,106.4800033569336,56.76408004760742,33.67526626586914,27.359628677368164,289.2799987792969
2010-01-29,80.14544677734375,37.09933090209961,48.145023345947266,105.95999908447266,57.26028823852539,33.50431442260742,27.06269645690918,285.1199951171875
2010-02-01,81.3917465209961,37.506813049316406,48.71370315551758,108.3499984741211,56.74053955078125,33.6660041809082,27.79088020324707,293.760009765625
2010-02-02,82.37686920166016,37.844940185546875,49.250343322753906,109.12999725341797,56.9023551940918,33.7678337097168,28.01710319519043,300.239990234375
2010-02-03,81.96640014648438,38.053009033203125,48.92194366455078,108.69999694824219,56.24252700805664,33.94010925292969,27.854501724243164,301.20001220703125
2010-02-04,79.43644714355469,36.95193099975586,47.288002014160156,104.37000274658203,57.13263702392578,33.45850372314453,26.596107482910156,286.3999938964844
2010-02-05,79.60061645507812,37.2640495300293,47.47224044799805,104.68000030517578,57.257179260253906,33.262718200683594,26.299169540405273,281.67999267578125
2010-02-08,79.0260009765625,36.99528503417969,46.999671936035156,104.04000091552734,57.33184814453125,33.117835998535156,26.037595748901367,280.7200012207031
2010-02-09,80.01856994628906,37.37675476074219,47.648441314697266,105.41000366210938,56.7591552734375,33.18442153930664,26.885957717895508,289.67999267578125
2010-02-10,79.8618392944336,37.29873275756836,47.76057434082031,105.12000274658203,56.21761703491211,32.738033294677734,26.81526756286621,292.0799865722656
2010-02-11,80.69770812988281,37.86227035522461,48.52146911621094,107.12999725341797,55.91258239746094,32.87114715576172,27.52223014831543,294.239990234375
2010-02-12,80.63054656982422,37.94032669067383,48.87387466430664,107.04000091552734,56.14292526245117,32.85158920288086,27.175811767578125,290.4800109863281
2010-02-16,81.89924621582031,38.425838470458984,49.69886779785156,109.62000274658203,56.24872589111328,33.17660140991211,27.87570571899414,302.32000732421875
2010-02-17,82.287353515625,38.6425895690918,50.035282135009766,109.25,55.60752868652344,33.43107604980469,27.974687576293945,303.760009765625
2010-02-18,82.77241516113281,38.885345458984375,50.44375991821289,109.9800033569336,55.38346862792969,33.74825668334961,28.080734252929688,309.8399963378906
2010-02-19,82.94407653808594,38.86799621582031,50.507816314697266,109.47000122070312,55.68225860595703,33.975341796875,27.840356826782227,312.7200012207031
2010-02-22,82.95902252197266,38.78998947143555,50.66001510620117,109.06999969482422,55.45194625854492,34.01841354370117,27.87570571899414,312.239990234375
2010-02-23,81.95148468017578,38.287132263183594,50.06731414794922,107.88999938964844,56.317195892333984,33.771751403808594,27.232370376586914,306.6400146484375
2010-02-24,82.70526123046875,38.67726516723633,50.491798400878906,107.36000061035156,56.45415496826172,33.90095138549805,27.493947982788086,311.9200134277344
2010-02-25,82.59329223632812,38.668609619140625,50.507816314697266,108.30999755859375,56.771629333496094,33.90486145019531,27.26771354675293,304.8800048828125
2010-02-26,82.64552307128906,38.807315826416016,50.299591064453125,109.43000030517578,57.06416702270508,34.131980895996094,27.543434143066406,310.55999755859375
2010-03-01,83.50384521484375,39.370880126953125,51.468971252441406,109.43000030517578,57.03924560546875,34.15800857543945,28.010040283203125,306.79998779296875
2010-03-02,83.73515319824219,39.492271423339844,51.861419677734375,111.0199966430664,56.9642448425293,34.37891387939453,28.328168869018555,310.3999938964844
2010-03-03,83.8097915649414,39.535606384277344,52.157779693603516,111.62999725341797,56.82063674926758,34.414424896240234,28.363515853881836,315.20001220703125
2010-03-04,84.06354522705078,39.6656608581543,52.29393768310547,110.83000183105469,57.12042236328125,34.44202423095703,28.215059280395508,313.20001220703125
2010-03-05,85.26506042480469,40.26388931274414,53.359222412109375,110.80999755859375,56.371028900146484,34.64718246459961,28.950294494628906,318.79998779296875
2010-03-08,85.28001403808594,40.34193420410156,53.4553108215332,109.87999725341797,56.07758331298828,34.65507125854492,28.971500396728516,318.32000732421875
2010-03-09,85.42179107666016,40.56735610961914,53.64755630493164,109.72000122070312,56.09001541137695,34.804962158203125,29.13411521911621,316.3999938964844
2010-03-10,85.80241394042969,40.896812438964844,54.10409164428711,108.47000122070312,55.9464111328125,34.816795349121094,29.339134216308594,319.20001220703125
2010-03-11,86.16065216064453,41.05287551879883,54.26429748535156,108.5999984741211,56.152442932128906,34.785213470458984,29.346208572387695,320.3999938964844
2010-03-12,86.16809844970703,41.06155014038086,54.240272521972656,107.94999694824219,56.502197265625,34.79313278198242,29.247224807739258,316.0799865722656
2010-03-15,86.19051361083984,40.957515716552734,54.0560302734375,108.36000061035156,56.4272346496582,34.753692626953125,29.03512954711914,310.6400146484375
2010-03-16,86.87710571289062,41.21760559082031,54.520572662353516,110.4000015258789,56.87684631347656,34.87200927734375,29.40983009338379,318.32000732421875
2010-03-17,87.39207458496094,41.330318450927734,54.84096145629883,109.58999633789062,57.12042236328125,34.87200927734375,29.72796630859375,321.8399963378906
2010-03-18,87.34724426269531,41.46903610229492,54.67277526855469,110.33999633789062,56.933074951171875,34.923301696777344,29.501728057861328,319.3599853515625
2010-03-19,86.90513610839844,41.218196868896484,53.99196243286133,108.27999877929688,56.9892578125,34.74971008300781,29.119970321655273,313.6000061035156
2010-03-22,87.36975860595703,41.59139633178711,54.752838134765625,107.75,57.051700592041016,34.915409088134766,29.226028442382812,316.4800109863281
2010-03-23,87.98424530029297,41.87785720825195,55.449668884277344,108.31999969482422,56.783172607421875,34.91144943237305,29.431039810180664,317.6000061035156
2010-03-24,87.55708312988281,41.67820358276367,54.81696701049805,106.30000305175781,55.74655532836914,34.89174270629883,28.992717742919922,311.5199890136719
2010-03-25,87.4146957397461,41.61745834350586,54.4716911315918,106.77999877929688,55.39059066772461,34.974605560302734,28.91495132446289,311.20001220703125
2010-03-26,87.36225891113281,41.660858154296875,54.44759750366211,108.58999633789062,55.546730041503906,34.96276092529297,29.05634307861328,310.6400146484375
2010-03-29,87.91678619384766,41.86048889160156,54.74470138549805,108.75,55.33440017700195,35.00613784790039,29.57950782775879,319.67999267578125
2010-03-30,87.97674560546875,41.99936294555664,54.913330078125,107.97000122070312,55.50931167602539,34.97062683105469,29.692615509033203,319.6000061035156
2010-03-31,87.6769790649414,41.799720764160156,54.439598083496094,108.94999694824219,55.89020538330078,34.860191345214844,29.777454376220703,322.32000732421875
2010-04-01,88.2765121459961,41.799720764160156,54.94545364379883,110.26000213623047,55.75356674194336,34.77594757080078,30.555112838745117,329.9200134277344
2010-04-05,88.99592590332031,42.19029235839844,55.97321319580078,110.88999938964844,54.82588577270508,34.760040283203125,30.830839157104492,336.55999755859375
2010-04-06,89.20572662353516,42.31181335449219,56.302406311035156,111.02999877929688,54.913631439208984,34.986568450927734,30.922748565673828,336.1600036621094
2010-04-07,88.69613647460938,42.2076530456543,56.12577819824219,112.48999786376953,55.61565017700195,35.03823471069336,30.654098510742188,332.1600036621094
2010-04-08,89.00341796875,42.303131103515625,56.06956481933594,112.6500015258789,55.64070510864258,35.097862243652344,30.760141372680664,331.5199890136719
2010-04-09,89.58792877197266,42.55483627319336,56.40677261352539,113.63999938964844,55.772369384765625,35.14954376220703,30.951019287109375,329.3599853515625
2010-04-12,89.73027801513672,42.58955383300781,56.639652252197266,113.01000213623047,56.06696319580078,35.157493591308594,30.703584671020508,327.44000244140625
2010-04-13,89.79772186279297,42.806549072265625,56.76811981201172,112.69000244140625,56.24870300292969,35.252864837646484,30.63995361328125,327.1199951171875
2010-04-14,90.81685638427734,43.318603515625,57.98058319091797,113.02999877929688,55.853843688964844,35.348236083984375,31.092411041259766,334.0799865722656
2010-04-15,90.8918228149414,43.50955581665039,58.15721130371094,113.6500015258789,55.91650390625,35.44363021850586,30.922748565673828,333.67999267578125
2010-04-16,89.44551086425781,42.98879623413086,57.37834548950195,111.23999786376953,56.323951721191406,35.157493591308594,30.017824172973633,324.79998779296875
2010-04-19,89.7827377319336,42.9627799987793,57.09732437133789,111.1500015258789,56.1860466003418,35.08992385864258,29.89763641357422,320.8800048828125
2010-04-20,90.58457946777344,43.17975616455078,57.87617874145508,111.45999908447266,56.38660430908203,35.46747970581055,30.25111198425293,322.3999938964844
2010-04-21,90.4197006225586,43.42275619506836,58.27764892578125,112.30999755859375,56.85042953491211,35.471435546875,30.152151107788086,322.1600036621094
2010-04-22,90.68948364257812,43.66579818725586,58.89591979980469,111.83999633789062,56.681217193603516,35.36812210083008,30.279399871826172,322.3999938964844
2010-04-23,91.28148651123047,43.848026275634766,59.522212982177734,113.19000244140625,56.48065948486328,35.59861755371094,30.442001342773438,327.6000061035156
2010-04-26,90.9367446899414,43.7525634765625,59.29737854003906,112.75,56.543277740478516,35.59861755371094,30.442001342773438,322.79998779296875
2010-04-27,88.78604888916016,42.82389450073242,57.94041442871094,114.62999725341797,57.33938217163086,35.14954376220703,29.353269577026367,314.9599914550781
2010-04-28,89.46050262451172,42.84992980957031,58.03675079345703,114.30999755859375,56.85042953491211,35.17338562011719,29.600706100463867,319.760009765625
2010-04-29,90.5695571899414,43.59635543823242,59.26530075073242,114.27999877929688,57.088626861572266,35.415802001953125,30.088523864746094,328.32000732421875
2010-04-30,89.0333251953125,42.73710250854492,57.53091049194336,115.36000061035156,57.74674606323242,35.53105926513672,29.72796630859375,330.6400146484375
2010-05-03,90.1874008178711,43.33597946166992,58.82365798950195,115.7300033569336,57.67128372192383,35.527061462402344,29.890562057495117,331.67999267578125
