proxy,anchor_date,year,horizon,underlying_log_rv_ratio
AAXJ,2020-06-19,2020,22,-0.5917575363332193
AAXJ,2020-06-22,2020,5,-2.06059176011692
AAXJ,2020-06-22,2020,22,-0.6112844874707165
AAXJ,2020-06-23,2020,5,-2.323523044324827
AAXJ,2020-06-23,2020,22,-0.5760646198425756
AAXJ,2020-06-24,2020,5,-2.2127502082477246
AAXJ,2020-06-24,2020,22,-0.4298105529655617
AAXJ,2020-06-25,2020,5,-0.7318697649149151
AAXJ,2020-06-25,2020,22,-0.40620304764020726
AAXJ,2020-06-26,2020,5,0.4283690040207977
AAXJ,2020-06-26,2020,22,-0.5016887270835528
AAXJ,2020-06-29,2020,5,0.6240268975751667
AAXJ,2020-06-29,2020,22,-0.4027324724567382
AAXJ,2020-06-30,2020,5,0.8530101073497253
AAXJ,2020-06-30,2020,22,-0.34231766931331215
AAXJ,2020-07-01,2020,5,0.8366811325177681
AAXJ,2020-07-01,2020,22,-0.34255984684086027
AAXJ,2020-07-02,2020,5,0.8149789658409126
AAXJ,2020-07-02,2020,22,-0.28195657410167774
AAXJ,2020-07-06,2020,5,-0.3168464152085529
AAXJ,2020-07-06,2020,22,-0.8716553377464354
AAXJ,2020-07-07,2020,5,-0.7182745047044664
AAXJ,2020-07-07,2020,22,-1.0056380472945843
AAXJ,2020-07-08,2020,5,-2.934895371704677
AAXJ,2020-07-08,2020,22,-1.1189683008881781
AAXJ,2020-07-09,2020,5,-1.2837397959039705
AAXJ,2020-07-09,2020,22,-1.118986224949689
AAXJ,2020-07-10,2020,5,-1.2829221729696207
AAXJ,2020-07-10,2020,22,-1.1134419094241226
AAXJ,2020-07-13,2020,5,-1.0009063160543414
AAXJ,2020-07-13,2020,22,-0.9888036048793444
AAXJ,2020-07-14,2020,5,-0.8973449291937152
AAXJ,2020-07-14,2020,22,-0.9786133862427292
AAXJ,2020-07-15,2020,5,-0.7552558575113887
AAXJ,2020-07-15,2020,22,-0.9452242190653357
AAXJ,2020-07-16,2020,5,-1.4300638071758867
AAXJ,2020-07-16,2020,22,-1.00131018287728
AAXJ,2020-07-17,2020,5,-1.4805744508139567
AAXJ,2020-07-17,2020,22,-0.962784800186991
AAXJ,2020-07-20,2020,5,-1.363324681426379
AAXJ,2020-07-20,2020,22,-0.9643496085328033
AAXJ,2020-07-21,2020,5,-1.5141640016526126
AAXJ,2020-07-21,2020,22,-1.1430274709301496
AAXJ,2020-07-22,2020,5,-1.0716378592116713
AAXJ,2020-07-22,2020,22,-1.172555805605711
AAXJ,2020-07-23,2020,5,-0.9995860559661919
AAXJ,2020-07-23,2020,22,-1.1331971045206775
AAXJ,2020-07-24,2020,5,-0.9844686771382117
AAXJ,2020-07-24,2020,22,-1.0737806363304805
AAXJ,2020-07-27,2020,5,-1.176512444594481
AAXJ,2020-07-27,2020,22,-1.116239289015031
AAXJ,2020-07-28,2020,5,-0.8461098138579729
AAXJ,2020-07-28,2020,22,-1.0913889865113278
AAXJ,2020-07-29,2020,5,-1.0662796699619108
AAXJ,2020-07-29,2020,22,-1.074922932545672
AAXJ,2020-07-30,2020,5,-1.1975982799724358
AAXJ,2020-07-30,2020,22,-0.9312379452123255
AAXJ,2020-07-31,2020,5,-0.5501964182705743
AAXJ,2020-07-31,2020,22,-0.8529830405329902
AAXJ,2020-08-03,2020,5,-0.6100167779480142
