metric,family,alternative,n,mean,median,t_stat,p_t_upper,p_t_lower,p_t_two_sided,p_primary,sign_positive,p_sign_upper,p_sign_two_sided,boot_ci_low,boot_ci_high,boot_prob_mean_le_0,n_placebo,placebo_mean,placebo_ci_low,placebo_ci_high,p_placebo_two_sided,p_placebo_upper,p_placebo_lower,p_primary_holm,p_sign_upper_holm,p_sign_two_sided_holm,p_placebo_two_sided_holm
wrapper_adjusted_volume_ramp,wrapper,upper,10,0.05587666932926501,0.12303842081267308,0.28647933936005315,0.39049819489690135,0.6095018051030987,0.7809963897938027,0.39049819489690135,5,0.623046875,1.0,-0.3134617589545324,0.4135373269390137,0.3796,,,,,,,,1.0,1.0,1.0,
wrapper_adjusted_amihud_improvement,wrapper,upper,10,-0.043550330706962695,0.05608230575839622,-0.32680427980107746,0.6243559281464396,0.3756440718535604,0.7512881437071208,0.6243559281464396,6,0.376953125,0.75390625,-0.2935398018157454,0.1971511593714483,0.6249,,,,,,,,1.0,1.0,1.0,
wrapper_tracking_noise_improvement,wrapper,upper,10,0.24841048238399321,0.20467423178840813,2.602503805648321,0.01431022831533659,0.9856897716846634,0.02862045663067318,0.01431022831533659,7,0.171875,0.34375,0.08185805994379342,0.43627385326007834,0.0013,,,,,,,,0.07155114157668295,0.859375,1.0,
underlying_log_rv_ratio_5d,underlying,two-sided,6,-0.40213160944839416,0.06809467545120189,-1.0519286888915076,0.8295045809397211,0.17049541906027887,0.34099083812055775,0.34099083812055775,3,0.65625,1.0,-1.1355058392421344,0.21741568005202974,0.8859,3000.0,-0.15487382085669676,-0.8301676238877044,0.474295693557852,0.26824391869376873,0.773075641452849,0.22725758080639788,1.0,1.0,1.0,0.5364878373875375
underlying_log_rv_ratio_22d,underlying,two-sided,6,-0.15513816669531325,-0.028051558210747965,-0.594938971987441,0.7111076989533469,0.28889230104665314,0.5777846020933063,0.5777846020933063,2,0.890625,0.6875,-0.6610205644854933,0.2718609932530911,0.7206,3000.0,0.07575519949101137,-0.37855432769060043,0.5240235277289245,0.5541486171276241,0.8247250916361213,0.17560813062312564,1.0,1.0,1.0,0.5541486171276241
