Date,EEM,INDA,EWZ,EWY,EWT,EWW,FXI,SMH,SOXX,NVDA,MSFT,QQQ,SPY,^VIX
2012-01-03,28.759416580200195,,31.609472274780273,42.48838424682617,12.964804649353027,39.87791442871094,25.280521392822266,13.098410606384277,14.239681243896484,0.32141685485839844,20.87248420715332,50.31256866455078,99.31220245361328,22.969999313354492
2012-01-04,28.597606658935547,,31.725967407226562,42.292659759521484,12.910057067871094,39.841861724853516,24.90812110900879,13.106904029846191,14.239681243896484,0.3250797390937805,21.363691329956055,50.524776458740234,99.46798706054688,22.219999313354492
2012-01-05,28.47256088256836,,31.297090530395508,41.791595458984375,13.03050422668457,39.373226165771484,25.07675552368164,13.268245697021484,14.433274269104004,0.3367551267147064,21.582014083862305,50.940364837646484,99.73281860351562,21.479999542236328
2012-01-06,28.112154006958008,,30.984704971313477,40.85993576049805,12.953855514526367,39.149715423583984,24.711389541625977,13.251260757446289,14.470276832580566,0.3328634202480316,21.917272567749023,51.11720657348633,99.47579956054688,20.6299991607666
2012-01-09,28.40636444091797,,31.635948181152344,40.7659912109375,13.03050422668457,39.24344253540039,25.238361358642578,13.467799186706543,14.76349925994873,0.3328634202480316,21.6287899017334,50.94920349121094,99.71725463867188,21.06999969482422
2012-01-10,29.02421760559082,,32.28720474243164,41.61152267456055,13.326155662536621,39.74092102050781,25.8074893951416,13.565454483032227,14.911531448364258,0.3314896821975708,21.70676040649414,51.32057571411133,100.58182525634766,20.690000534057617
2012-01-11,29.046281814575195,,32.47251892089844,41.16526412963867,13.348052978515625,39.950008392333984,25.81451416015625,13.548469543457031,14.962777137756348,0.32485079765319824,21.613201141357422,51.42668533325195,100.63633728027344,21.049999237060547
2012-01-12,29.163970947265625,,32.89609909057617,41.64284133911133,13.391854286193848,40.24560546875,25.88477325439453,13.667351722717285,15.122188568115234,0.32279035449028015,21.831514358520508,51.63006591796875,100.8778076171875,20.469999313354492
2012-01-13,28.8991756439209,,32.483097076416016,41.72113800048828,13.227604866027832,39.25786590576172,25.81451416015625,13.412602424621582,14.814742088317871,0.3143201172351837,22.02643585205078,51.44438171386719,100.35597229003906,20.90999984741211
2012-01-17,29.450830459594727,,33.25613021850586,42.52752685546875,13.304255485534668,39.74814224243164,26.43282127380371,13.429587364196777,14.857438087463379,0.30951249599456787,22.034238815307617,51.91300582885742,100.74542236328125,22.200000762939453
2012-01-18,30.19371223449707,,34.209190368652344,43.22431182861328,13.50135326385498,41.1468620300293,26.92466163635254,13.964561462402344,15.611841201782227,0.32004329562187195,22.01084327697754,52.60271453857422,101.8592758178711,20.889999389648438
2012-01-19,30.45850372314453,,34.30978012084961,43.97590637207031,13.698453903198242,41.536190032958984,27.12139892578125,14.193836212158203,15.922147750854492,0.3285136818885803,21.925079345703125,52.929874420166016,102.3967056274414,19.8700008392334
2012-01-20,30.436445236206055,,34.44215393066406,44.43782424926758,13.643706321716309,41.27663040161133,27.17057991027832,14.29573917388916,15.999003410339355,0.32553765177726746,23.164791107177734,52.850303649902344,102.77837371826172,18.280000686645508
2012-01-23,30.730655670166016,,34.68571090698242,45.04848861694336,13.764155387878418,41.182899475097656,27.283008575439453,14.29573917388916,15.947763442993164,0.33446580171585083,23.18038558959961,52.867977142333984,102.5135726928711,18.670000076293945
2012-01-24,30.774784088134766,,34.71218490600586,45.0406608581543,13.753204345703125,41.060340881347656,27.38136863708496,14.350933074951172,16.00469970703125,0.3420204818248749,22.87630271911621,52.770721435546875,102.3967056274414,18.90999984741211
2012-01-25,31.120487213134766,,35.39519500732422,45.45560073852539,13.862704277038574,41.795745849609375,27.69052505493164,14.393389701843262,16.073030471801758,0.3399602472782135,23.047842025756836,53.43387985229492,103.25350952148438,18.309999465942383
2012-01-26,30.995450973510742,,34.89750289916992,45.0328369140625,13.840804100036621,41.8101692199707,27.52891731262207,14.321212768554688,15.905059814453125,0.3367551267147064,23.001060485839844,53.248199462890625,102.72384643554688,18.56999969482422
2012-01-27,31.157262802124023,,34.98221206665039,45.36164855957031,13.818903923034668,42.06251525878906,27.82402229309082,14.333949089050293,15.956308364868164,0.3413337171077728,22.790546417236328,53.4073600769043,102.67711639404297,18.530000686645508
2012-01-30,30.70859718322754,,34.63277053833008,44.633548736572266,13.709404945373535,41.94715881347656,27.030057907104492,14.236296653747559,15.791192054748535,0.33881551027297974,23.08682632446289,53.45156478881836,102.3266372680664,19.399999618530273
2012-01-31,30.973384857177734,,34.73335647583008,44.907562255859375,13.96125316619873,41.939945220947266,27.283008575439453,14.232048034667969,15.802576065063477,0.3381286561489105,23.024442672729492,53.52231979370117,102.28767395019531,19.440000534057617
2012-02-01,31.65743064880371,,35.6546516418457,45.573036193847656,14.158356666564941,42.70418930053711,27.69754981994629,14.465571403503418,16.15557861328125,0.3417915999889374,23.30514144897461,53.95560073852539,103.18343353271484,18.549999237060547
2012-02-02,31.74569320678711,,35.892906188964844,45.77659225463867,14.235003471374512,42.97095489501953,28.05589485168457,14.469820022583008,16.243831634521484,0.3546116054058075,23.351919174194336,54.12358093261719,103.34697723388672,17.979999542236328
