date,BDRY,DBA,IYT,USO,XRT,^VIX
2018-01-02,,16.30648422241211,44.11400604248047,96.55999755859375,40.558345794677734,9.770000457763672
2018-01-03,,16.297887802124023,44.161495208740234,98.72000122070312,40.53190231323242,9.149999618530273
2018-01-04,,16.2721004486084,44.315284729003906,98.95999908447266,40.29389572143555,9.220000267028809
2018-01-05,,16.186140060424805,44.527870178222656,98.4800033569336,40.646507263183594,9.220000267028809
2018-01-08,,16.07439422607422,44.88745880126953,99.04000091552734,40.813995361328125,9.520000457763672
2018-01-09,,16.108779907226562,44.97340774536133,100.55999755859375,40.382057189941406,10.079999923706055
2018-01-10,,16.048606872558594,45.01637268066406,101.44000244140625,40.672950744628906,9.819999694824219
2018-01-11,,15.988434791564941,46.08382797241211,101.5999984741211,41.67788314819336,9.880000114440918
2018-01-12,,15.95405101776123,46.4366340637207,102.95999908447266,42.153892517089844,10.15999984741211
2018-01-16,,15.936858177185059,45.79886245727539,102.08000183105469,41.25475311279297,11.65999984741211
2018-01-17,,16.065797805786133,45.9436149597168,102.23999786376953,41.68669891357422,11.90999984741211
2018-01-18,,16.05720329284668,45.97074890136719,102.08000183105469,41.80128479003906,12.220000267028809
2018-01-19,,16.014223098754883,46.13809585571289,101.76000213623047,42.577022552490234,11.270000457763672
2018-01-22,,16.065797805786133,46.34614944458008,102.23999786376953,43.114742279052734,11.029999732971191
2018-01-23,,16.00562858581543,46.26926803588867,103.76000213623047,43.06183624267578,11.100000381469727
2018-01-24,,16.16035270690918,45.60210037231445,105.76000213623047,42.76213836669922,11.470000267028809
2018-01-25,,16.108779907226562,44.88294219970703,104.4800033569336,42.621089935302734,11.579999923706055
2018-01-26,,16.237716674804688,45.34428787231445,105.91999816894531,43.05303192138672,11.079999923706055
2018-01-29,,16.25490951538086,45.29001235961914,104.87999725341797,42.98250961303711,13.84000015258789
2018-01-30,,16.28069496154785,44.677127838134766,103.19999694824219,42.021663665771484,14.789999961853027
2018-01-31,,16.186140060424805,44.70200729370117,103.83999633789062,41.62498092651367,13.539999961853027
2018-02-01,,16.332271575927734,44.45098114013672,105.91999816894531,41.19304656982422,13.470000267028809
2018-02-02,,16.30648422241211,43.49660110473633,104.31999969482422,40.099979400634766,17.309999465942383
2018-02-05,,16.19473648071289,42.18715286254883,102.16000366210938,38.80414962768555,37.31999969482422
2018-02-06,,16.315078735351562,42.88145065307617,101.5999984741211,39.93247604370117,29.979999542236328
2018-02-07,,16.297887802124023,43.001319885253906,98.95999908447266,40.329166412353516,27.729999542236328
2018-02-08,,16.21192741394043,41.36846923828125,96.72000122070312,39.165565490722656,33.459999084472656
2018-02-09,,16.17754554748535,41.30288314819336,94.87999725341797,39.4388313293457,29.059999465942383
2018-02-12,,16.28069496154785,41.960994720458984,95.12000274658203,39.43001937866211,25.610000610351562
2018-02-13,,16.28069496154785,42.27534866333008,94.95999908447266,39.623958587646484,24.969999313354492
2018-02-14,,16.340866088867188,42.664337158203125,97.44000244140625,40.346805572509766,19.260000228881836
2018-02-15,,16.4354248046875,42.978702545166016,98.63999938964844,40.813995361328125,19.1299991607666
2018-02-16,,16.30648422241211,42.82038879394531,99.04000091552734,40.734657287597656,19.459999084472656
2018-02-20,,16.315078735351562,42.157745361328125,99.12000274658203,39.93247604370117,20.600000381469727
2018-02-21,,16.2721004486084,42.297969818115234,98.31999969482422,39.96774673461914,20.020000457763672
2018-02-22,,16.366657257080078,42.56483840942383,100.72000122070312,39.897216796875,18.719999313354492
2018-02-23,,16.418231964111328,43.189022064208984,102.16000366210938,40.5142707824707,16.489999771118164
2018-02-26,,16.452613830566406,43.964744567871094,102.87999725341797,40.646507263183594,15.800000190734863
2018-02-27,,16.418231964111328,42.97643280029297,101.19999694824219,39.817874908447266,18.59000015258789
2018-02-28,,16.478403091430664,42.37033462524414,98.95999908447266,39.914852142333984,19.850000381469727
2018-03-01,,16.72768211364746,42.218807220458984,98.80000305175781,39.53579330444336,22.469999313354492
2018-03-02,,16.667510986328125,42.22785568237305,98.95999908447266,39.94130325317383,19.59000015258789
2018-03-05,,16.87381362915039,42.30475616455078,100.72000122070312,40.13522720336914,18.729999542236328
2018-03-06,,16.839431762695312,42.65077209472656,100.55999755859375,40.69940948486328,18.360000610351562
2018-03-07,,16.693302154541016,42.51054382324219,98.80000305175781,40.144046783447266,17.760000228881836
2018-03-08,,16.744876861572266,42.743492126464844,97.19999694824219,39.46528244018555,16.540000915527344
2018-03-09,,16.63313102722168,43.88105010986328,99.76000213623047,40.06471633911133,14.640000343322754
2018-03-12,,16.658916473388672,43.767974853515625,98.95999908447266,39.93247604370117,15.779999732971191
2018-03-13,,16.667510986328125,43.95794677734375,97.91999816894531,39.835514068603516,16.350000381469727
2018-03-14,,16.676109313964844,43.20711898803711,98.23999786376953,39.60631561279297,17.229999542236328
2018-03-15,,16.57295799255371,43.31565856933594,98.72000122070312,39.35950469970703,16.59000015258789
2018-03-16,,16.495594024658203,43.700130462646484,100.4000015258789,39.550445556640625,15.800000190734863
2018-03-19,,16.19473648071289,43.53504180908203,100.4000015258789,39.24988555908203,19.020000457763672
2018-03-20,,16.16035270690918,43.711448669433594,102.4800033569336,38.94047927856445,18.200000762939453
2018-03-21,,16.203330993652344,43.528263092041016,105.44000244140625,38.94932174682617,17.860000610351562
2018-03-22,25.51300048828125,16.203330993652344,42.286705017089844,103.5999984741211,38.339359283447266,23.34000015258789
2018-03-23,24.10099983215332,16.22052574157715,41.4765625,106.23999786376953,37.976905822753906,24.8700008392334
2018-03-26,24.84000015258789,16.168949127197266,42.361595153808594,105.68000030517578,39.17915344238281,21.030000686645508
2018-03-27,24.079999923706055,16.07439422607422,41.56052017211914,104.63999938964844,38.38355255126953,22.5
2018-03-28,23.3799991607666,16.065797805786133,41.599098205566406,104.31999969482422,38.781349182128906,22.8700008392334
2018-03-29,22.780000686645508,16.168949127197266,42.44329833984375,104.72000122070312,39.16148376464844,19.969999313354492
2018-04-02,23.0,16.082988739013672,41.599098205566406,101.91999816894531,38.127193450927734,23.6200008392334
2018-04-03,21.25,15.988434791564941,42.42059326171875,102.4800033569336,38.622230529785156,21.100000381469727
2018-04-04,19.25,15.945453643798828,42.37749099731445,102.55999755859375,39.69187545776367,20.059999465942383
2018-04-05,20.25,16.17754554748535,42.658870697021484,102.63999938964844,40.010128021240234,18.940000534057617
2018-04-06,20.450000762939453,16.091583251953125,41.40393829345703,100.08000183105469,39.32945251464844,21.489999771118164
2018-04-09,21.459999084472656,16.32367515563965,41.288211822509766,102.16000366210938,39.099605560302734,21.770000457763672
2018-04-10,21.5,16.237716674804688,41.71255874633789,106.0,39.91288757324219,20.469999313354492
2018-04-11,20.450000762939453,16.246313095092773,41.5877571105957,107.5999984741211,39.806800842285156,20.239999771118164
2018-04-12,22.25,16.30648422241211,42.26401901245117,108.16000366210938,39.859840393066406,18.489999771118164
2018-04-13,21.582000732421875,16.25490951538086,42.311676025390625,108.4000015258789,39.32945251464844,17.40999984741211
2018-04-16,20.25,16.203330993652344,43.30337142944336,107.04000091552734,39.61233139038086,16.559999465942383
2018-04-17,21.399999618530273,16.19473648071289,43.212608337402344,107.27999877929688,39.86867904663086,15.25
2018-04-18,22.270000457763672,16.3752498626709,43.977359771728516,111.04000091552734,39.88636779785156,15.600000381469727
2018-04-19,21.809999465942383,16.332271575927734,43.5870361328125,110.16000366210938,39.40016174316406,15.960000038146973
2018-04-20,22.5,16.203330993652344,43.160396575927734,110.0,38.878597259521484,16.8799991607666
2018-04-23,22.700000762939453,16.151756286621094,43.34648132324219,111.36000061035156,39.2940788269043,16.34000015258789
2018-04-24,22.790000915527344,16.2721004486084,42.46598815917969,109.44000244140625,39.21452713012695,18.020000457763672
2018-04-25,22.75,16.383846282958984,42.908504486083984,109.76000213623047,39.43552017211914,17.84000015258789
2018-04-26,22.0,16.30648422241211,42.57719039916992,110.16000366210938,40.010128021240234,16.239999771118164
2018-04-27,21.75,16.521381378173828,43.11955642700195,109.83999633789062,40.416778564453125,15.40999984741211
2018-04-30,21.5,16.547170639038086,42.595333099365234,110.4000015258789,39.93940734863281,15.930000305175781
2018-05-01,21.760000228881836,16.744876861572266,42.45008850097656,108.87999725341797,39.83333206176758,15.489999771118164
2018-05-02,22.5,16.607341766357422,42.02573776245117,109.36000061035156,39.99245071411133,15.970000267028809
2018-05-03,22.25,16.79645347595215,41.9304313659668,110.55999755859375,39.523921966552734,15.899999618530273
2018-05-04,23.0,16.607341766357422,42.42059326171875,112.72000122070312,39.77145767211914,14.770000457763672
2018-05-07,23.0,16.461210250854492,42.35932540893555,112.80000305175781,39.585811614990234,14.75
2018-05-08,23.5,16.495594024658203,42.67930603027344,112.4800033569336,39.559295654296875,14.710000038146973
2018-05-09,23.25,16.366657257080078,42.94934844970703,114.95999908447266,39.95709228515625,13.420000076293945
2018-05-10,22.75,16.3752498626709,43.38051986694336,115.27999877929688,39.90403747558594,13.229999542236328
2018-05-11,23.75,16.289291381835938,43.836666107177734,114.0,40.266483306884766,12.649999618530273
2018-05-14,23.010000228881836,16.203330993652344,43.60065841674805,115.04000091552734,40.71733093261719,12.930000305175781
2018-05-15,21.399999618530273,16.117374420166016,43.419105529785156,115.19999694824219,40.84109878540039,14.630000114440918
2018-05-16,21.0,16.134567260742188,43.79353713989258,115.68000030517578,41.504093170166016,13.420000076293945
2018-05-17,21.0,16.040008544921875,43.96373748779297,115.91999816894531,41.54829406738281,13.430000305175781
2018-05-18,21.0,16.22052574157715,43.934242248535156,115.44000244140625,41.11512756347656,13.420000076293945
2018-05-21,22.5,16.32367515563965,44.49022674560547,117.36000061035156,41.344966888427734,13.079999923706055
2018-05-22,21.0,16.418231964111328,43.95466232299805,116.4800033569336,40.62008285522461,13.220000267028809
2018-05-23,20.0,16.581554412841797,43.92290115356445,116.08000183105469,40.91180419921875,12.579999923706055
2018-05-24,19.5,16.529979705810547,44.428958892822266,114.31999969482422,41.247737884521484,12.529999732971191
2018-05-25,19.5,16.641727447509766,44.61958312988281,109.44000244140625,41.247737884521484,13.220000267028809
2018-05-29,18.73200035095215,16.521381378173828,43.995513916015625,108.08000183105469,41.22121810913086,17.020000457763672
2018-05-30,19.496000289916992,16.529979705810547,44.687660217285156,110.63999938964844,41.77814865112305,14.9399995803833
2018-05-31,20.23699951171875,16.512786865234375,44.04771041870117,108.4000015258789,40.991363525390625,15.430000305175781
2018-06-01,21.0,16.452613830566406,44.63092041015625,106.0,41.212371826171875,13.460000038146973
2018-06-04,21.246000289916992,16.05720329284668,44.308685302734375,104.95999908447266,42.11405944824219,12.739999771118164
