date,btc_usd_adj_close,spy_adj_close,vix_adj_close,btc_usd_close,spy_close,vix_close,btc_usd_high,spy_high,vix_high,btc_usd_low,spy_low,vix_low,btc_usd_open,spy_open,vix_open,btc_usd_volume,spy_volume,vix_volume
2015-01-01,314.2489929199219,,,314.2489929199219,,,320.43499755859375,,,314.00299072265625,,,320.43499755859375,,,8036550,,
2015-01-02,315.0320129394531,170.12501525878906,17.790000915527344,315.0320129394531,205.42999267578125,17.790000915527344,315.8389892578125,206.8800048828125,20.139999389648438,313.56500244140625,204.17999267578125,17.049999237060547,314.0790100097656,206.3800048828125,17.760000228881836,7860650,121465900.0,0.0
2015-01-03,281.0820007324219,,,281.0820007324219,,,315.1499938964844,,,281.0820007324219,,,314.84600830078125,,,33054400,,
2015-01-04,264.19500732421875,,,264.19500732421875,,,287.2300109863281,,,257.61199951171875,,,281.14599609375,,,55629100,,
2015-01-05,274.4739990234375,167.05259704589844,19.920000076293945,274.4739990234375,201.72000122070312,19.920000076293945,278.34100341796875,204.3699951171875,21.290000915527344,265.0840148925781,201.35000610351562,19.190000534057617,265.0840148925781,204.1699981689453,19.190000534057617,43962800,169632600.0,0.0
2015-01-06,286.1889953613281,165.47915649414062,21.1200008392334,286.1889953613281,199.82000732421875,21.1200008392334,287.5530090332031,202.72000122070312,22.899999618530273,272.6960144042969,198.86000061035156,19.520000457763672,274.6109924316406,202.08999633789062,20.329999923706055,23245700,209151400.0,0.0
2015-01-07,294.3370056152344,167.5411834716797,19.309999465942383,294.3370056152344,202.30999755859375,19.309999465942383,298.7539978027344,202.72000122070312,20.719999313354492,283.0790100097656,200.8800048828125,19.040000915527344,286.0769958496094,201.4199981689453,20.149999618530273,24866800,125346700.0,0.0
2015-01-08,283.3489990234375,170.5142364501953,17.010000228881836,283.3489990234375,205.89999389648438,17.010000228881836,294.135009765625,206.16000366210938,18.09000015258789,282.17498779296875,203.99000549316406,16.989999771118164,294.135009765625,204.00999450683594,17.93000030517578,19982500,147217800.0,0.0
2015-01-09,290.4079895019531,169.14781188964844,17.549999237060547,290.4079895019531,204.25,17.549999237060547,291.114013671875,206.4199981689453,18.420000076293945,280.5329895019531,203.50999450683594,16.440000534057617,282.38299560546875,206.39999389648438,16.440000534057617,18718600,158567300.0,0.0
2015-01-10,274.7959899902344,,,274.7959899902344,,,288.12701416015625,,,273.96600341796875,,,287.3030090332031,,,15264300,,
2015-01-11,265.6600036621094,,,265.6600036621094,,,279.63800048828125,,,265.03900146484375,,,274.6080017089844,,,18200800,,
