observation_date,POPTTLTWA148NRUG
1951-01-01,7.758202
1952-01-01,8.046915
1953-01-01,8.333009
1954-01-01,8.645264
1955-01-01,8.967001
1956-01-01,9.289545
1957-01-01,9.597690
1958-01-01,9.920227
1959-01-01,10.288327
1960-01-01,10.667705
1961-01-01,11.030385
1962-01-01,11.392513
1963-01-01,11.762101
1964-01-01,12.137143
1965-01-01,12.511863
1966-01-01,12.874153
1967-01-01,13.210344
1968-01-01,13.548537
1969-01-01,14.068984
1970-01-01,14.582944
1971-01-01,14.913564
1972-01-01,15.220495
1973-01-01,15.505121
1974-01-01,15.784817
1975-01-01,16.075128
1976-01-01,16.401413
1977-01-01,16.730895
1978-01-01,17.042272
1979-01-01,17.372779
1980-01-01,17.704538
1981-01-01,18.029982
1982-01-01,18.354855
1983-01-01,18.653146
1984-01-01,18.929866
1985-01-01,19.191510
1986-01-01,19.411454
1987-01-01,19.617046
1988-01-01,19.839704
1989-01-01,20.055492
1990-01-01,20.278946
1991-01-01,20.503568
1992-01-01,20.704227
1993-01-01,20.899019
1994-01-01,21.086645
1995-01-01,21.267653
1996-01-01,21.441432
1997-01-01,21.634124
1998-01-01,21.835703
1999-01-01,22.010489
2000-01-01,22.184530
2001-01-01,22.341120
2002-01-01,22.463172
2003-01-01,22.562663
2004-01-01,22.646836
2005-01-01,22.729753
2006-01-01,22.823455
2007-01-01,22.917444
2008-01-01,22.997696
2009-01-01,23.078402
2010-01-01,23.140948
2011-01-01,23.193518
2012-01-01,23.270367
2013-01-01,23.344670
2014-01-01,23.403635
2015-01-01,23.462914
2016-01-01,23.515945
2017-01-01,23.555522
2018-01-01,23.580080
2019-01-01,23.596027
2020-01-01,23.582179
2021-01-01,23.468275
2022-01-01,23.319977
2023-01-01,23.342541
