observation_date,RGDPNATWA666NRUG
1951-01-01,10274.6591796875
1952-01-01,11507.9990234375
1953-01-01,12600.5634765625
1954-01-01,13815.3750000000
1955-01-01,14881.4208984375
1956-01-01,15799.8134765625
1957-01-01,17034.0703125000
1958-01-01,18341.7304687500
1959-01-01,19957.1328125000
1960-01-01,21393.8496093750
1961-01-01,22901.6093750000
1962-01-01,24946.0898437500
1963-01-01,27625.1835937500
1964-01-01,31114.1718750000
1965-01-01,34812.4921875000
1966-01-01,38164.7617187500
1967-01-01,42421.3515625000
1968-01-01,46541.3515625000
1969-01-01,51005.0390625000
1970-01-01,56875.0000000000
1971-01-01,64510.9062500000
1972-01-01,73460.3515625000
1973-01-01,82886.6796875000
1974-01-01,85096.4921875000
1975-01-01,90361.1093750000
1976-01-01,103266.8671875000
1977-01-01,115047.0625000000
1978-01-01,130642.6484375000
1979-01-01,142183.1093750000
1980-01-01,153612.8750000000
1981-01-01,164519.3906250000
1982-01-01,172433.0468750000
1983-01-01,187992.1718750000
1984-01-01,206883.3125000000
1985-01-01,216828.8906250000
1986-01-01,241790.2343750000
1987-01-01,272620.5000000000
1988-01-01,294495.0625000000
1989-01-01,320180.7500000000
1990-01-01,337922.0937500000
1991-01-01,366212.2187500000
1992-01-01,396645.2187500000
1993-01-01,423672.4687500000
1994-01-01,455460.2187500000
1995-01-01,485058.4375000000
1996-01-01,515018.7812500000
1997-01-01,546184.2500000000
1998-01-01,569150.3750000000
1999-01-01,607465.7500000000
2000-01-01,645823.3125000000
2001-01-01,636771.9375000000
2002-01-01,671675.8125000000
2003-01-01,700051.6875000000
2004-01-01,748716.6875000000
2005-01-01,789023.1875000000
2006-01-01,834554.5000000000
2007-01-01,891726.1875000000
2008-01-01,898852.0625000000
2009-01-01,884353.9375000000
2010-01-01,974959.9375000000
2011-01-01,1010780.3750000000
2012-01-01,1033235.0000000000
2013-01-01,1058896.5000000000
2014-01-01,1108868.3750000000
2015-01-01,1125121.7500000000
2016-01-01,1149481.7500000000
2017-01-01,1187545.3750000000
2018-01-01,1220639.6250000000
2019-01-01,1258039.2500000000
2020-01-01,1300644.5000000000
2021-01-01,1386752.8750000000
2022-01-01,1422647.7500000000
2023-01-01,1440848.5000000000
