item,unit,freq,period,value
當期價格(新臺幣百萬元)_1.民間消費,,Q,1981Q1,237413
當期價格(新臺幣百萬元)_1.民間消費,,Q,1981Q2,217199
當期價格(新臺幣百萬元)_1.民間消費,,Q,1981Q3,240502
當期價格(新臺幣百萬元)_1.民間消費,,Q,1981Q4,231287
當期價格(新臺幣百萬元)_1.民間消費,,Q,1982Q1,257328
當期價格(新臺幣百萬元)_1.民間消費,,Q,1982Q2,236334
當期價格(新臺幣百萬元)_1.民間消費,,Q,1982Q3,259036
當期價格(新臺幣百萬元)_1.民間消費,,Q,1982Q4,251389
當期價格(新臺幣百萬元)_1.民間消費,,Q,1983Q1,274822
當期價格(新臺幣百萬元)_1.民間消費,,Q,1983Q2,257971
當期價格(新臺幣百萬元)_1.民間消費,,Q,1983Q3,277910
當期價格(新臺幣百萬元)_1.民間消費,,Q,1983Q4,275036
當期價格(新臺幣百萬元)_1.民間消費,,Q,1984Q1,297903
當期價格(新臺幣百萬元)_1.民間消費,,Q,1984Q2,283859
當期價格(新臺幣百萬元)_1.民間消費,,Q,1984Q3,304074
當期價格(新臺幣百萬元)_1.民間消費,,Q,1984Q4,301891
當期價格(新臺幣百萬元)_1.民間消費,,Q,1985Q1,319891
當期價格(新臺幣百萬元)_1.民間消費,,Q,1985Q2,299905
當期價格(新臺幣百萬元)_1.民間消費,,Q,1985Q3,319657
當期價格(新臺幣百萬元)_1.民間消費,,Q,1985Q4,319350
當期價格(新臺幣百萬元)_1.民間消費,,Q,1986Q1,341827
當期價格(新臺幣百萬元)_1.民間消費,,Q,1986Q2,320425
當期價格(新臺幣百萬元)_1.民間消費,,Q,1986Q3,348214
當期價格(新臺幣百萬元)_1.民間消費,,Q,1986Q4,351623
當期價格(新臺幣百萬元)_1.民間消費,,Q,1987Q1,381061
當期價格(新臺幣百萬元)_1.民間消費,,Q,1987Q2,362318
當期價格(新臺幣百萬元)_1.民間消費,,Q,1987Q3,391404
當期價格(新臺幣百萬元)_1.民間消費,,Q,1987Q4,400486
當期價格(新臺幣百萬元)_1.民間消費,,Q,1988Q1,427694
當期價格(新臺幣百萬元)_1.民間消費,,Q,1988Q2,416600
當期價格(新臺幣百萬元)_1.民間消費,,Q,1988Q3,455713
當期價格(新臺幣百萬元)_1.民間消費,,Q,1988Q4,468764
當期價格(新臺幣百萬元)_1.民間消費,,Q,1989Q1,498023
當期價格(新臺幣百萬元)_1.民間消費,,Q,1989Q2,497936
當期價格(新臺幣百萬元)_1.民間消費,,Q,1989Q3,541150
當期價格(新臺幣百萬元)_1.民間消費,,Q,1989Q4,548166
當期價格(新臺幣百萬元)_1.民間消費,,Q,1990Q1,577940
當期價格(新臺幣百萬元)_1.民間消費,,Q,1990Q2,558045
當期價格(新臺幣百萬元)_1.民間消費,,Q,1990Q3,600737
當期價格(新臺幣百萬元)_1.民間消費,,Q,1990Q4,604759
當期價格(新臺幣百萬元)_1.民間消費,,Q,1991Q1,636504
當期價格(新臺幣百萬元)_1.民間消費,,Q,1991Q2,633706
當期價格(新臺幣百萬元)_1.民間消費,,Q,1991Q3,675615
當期價格(新臺幣百萬元)_1.民間消費,,Q,1991Q4,675864
當期價格(新臺幣百萬元)_1.民間消費,,Q,1992Q1,721125
當期價格(新臺幣百萬元)_1.民間消費,,Q,1992Q2,722818
當期價格(新臺幣百萬元)_1.民間消費,,Q,1992Q3,759453
當期價格(新臺幣百萬元)_1.民間消費,,Q,1992Q4,766356
當期價格(新臺幣百萬元)_1.民間消費,,Q,1993Q1,802529
