observation_date,TWNNGDPDUSD
2016-01-01,531357243029.2
2017-01-01,574894601556.5
2018-01-01,589906031739.0
2019-01-01,586103507677.2
2020-01-01,603031400070.0
2021-01-01,635052829781.3
2022-01-01,670152629265.8
2023-01-01,707256832084.7
2024-01-01,746022524856.7
