Price,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII
Date,,,,,
1997-07-02,8996.6787109375,9124.258207430883,8988.088906348197,9094.228070899997,0
1997-07-03,9027.5888671875,9061.558439413859,8997.468886846043,9061.558439413859,0
1997-07-04,9192.5283203125,9218.167851626618,9119.208342743885,9144.918186236811,0
1997-07-07,9322.7978515625,9370.36794979501,9304.77840147656,9365.148246743345,0
1997-07-08,9305.2275390625,9371.457708932145,9282.057721747147,9345.50763072592,0
1997-07-09,9362.6376953125,9415.537848676033,9343.257899419952,9391.238152974633,0
1997-07-10,9429.6982421875,9511.757447075208,9420.668008963296,9470.887511889077,0
1997-07-11,9394.587890625,9526.697651679655,9333.748318817392,9498.027857953688,0
1997-07-14,9593.49609375,9626.295748190807,9561.036281502465,9626.295748190807,0
1997-07-15,9555.9375,9714.73659063946,9451.407696585979,9714.73659063946,0
1997-07-16,9544.5166015625,9648.38625113606,9482.407506173327,9634.746664103033,0
1997-07-17,9571.755859375,9889.40479162791,9571.755859375,9742.535348739219,0
1997-07-18,9677.3564453125,9677.3564453125,9555.937074808344,9669.696323847458,0
1997-07-21,9833.724609375,9896.685259261654,9750.655652908497,9814.205167292632,0
1997-07-22,9550.357421875,9877.345208511519,9543.716826752214,9877.345208511519,0
1997-07-23,9381.017578125,9694.236879188495,9345.858555819601,9694.236879188495,0
1997-07-24,9632.3759765625,9632.3759765625,9475.496809472064,9500.817006454983,0
1997-07-25,9808.865234375,9819.72455964231,9710.225061119563,9719.015059926312,0
1997-07-28,9923.00390625,9995.323884236981,9899.534288245231,9929.934538255153,0
1997-07-29,9892.294921875,10057.904521388175,9892.294921875,9980.065031114884,0
1997-07-30,9942.744140625,10000.564186211792,9898.254111628192,9953.894479776973,0
1997-07-31,10066.302734375,10113.523217611903,10050.882884304463,10111.782991340484,0
1997-08-01,10001.513671875,10102.723168347029,9942.294217079407,9953.263893300427,0
1997-08-04,10065.712890625,10167.262222407602,10059.042999811003,10167.262222407602,0
1997-08-05,9919.6337890625,10077.033451394629,9914.053736756567,10077.033451394629,0
1997-08-06,9861.4248046875,9991.274799117653,9833.395635494133,9991.274799117653,0
1997-08-07,9840.8349609375,9962.164485212166,9822.094812108353,9935.164608462388,0
1997-08-08,9923.7939453125,9934.494091135866,9851.744473860272,9921.864266737437,0
