item,unit,freq,period,value
期中人口(人),,Q,1961Q1,10895610
期中人口(人),,Q,1961Q2,10985460
期中人口(人),,Q,1961Q3,11075310
期中人口(人),,Q,1961Q4,11165159
期中人口(人),,Q,1962Q1,11255692
期中人口(人),,Q,1962Q2,11346906
期中人口(人),,Q,1962Q3,11438121
期中人口(人),,Q,1962Q4,11529335
期中人口(人),,Q,1963Q1,11621732
期中人口(人),,Q,1963Q2,11715312
期中人口(人),,Q,1963Q3,11808891
期中人口(人),,Q,1963Q4,11902471
期中人口(人),,Q,1964Q1,11996231
期中人口(人),,Q,1964Q2,12090172
期中人口(人),,Q,1964Q3,12184114
期中人口(人),,Q,1964Q4,12278055
期中人口(人),,Q,1965Q1,12371735
期中人口(人),,Q,1965Q2,12465154
期中人口(人),,Q,1965Q3,12558572
期中人口(人),,Q,1965Q4,12651991
期中人口(人),,Q,1966Q1,12742563
期中人口(人),,Q,1966Q2,12830290
期中人口(人),,Q,1966Q3,12918016
期中人口(人),,Q,1966Q4,13005742
期中人口(人),,Q,1967Q1,13089790
期中人口(人),,Q,1967Q2,13170160
期中人口(人),,Q,1967Q3,13250529
期中人口(人),,Q,1967Q4,13330899
期中人口(人),,Q,1968Q1,13415447
期中人口(人),,Q,1968Q2,13504174
期中人口(人),,Q,1968Q3,13592901
期中人口(人),,Q,1968Q4,13681628
期中人口(人),,Q,1969Q1,13811739
期中人口(人),,Q,1969Q2,13983236
期中人口(人),,Q,1969Q3,14154732
期中人口(人),,Q,1969Q4,14326228
期中人口(人),,Q,1970Q1,14456789
期中人口(人),,Q,1970Q2,14539891
期中人口(人),,Q,1970Q3,14615985
期中人口(人),,Q,1970Q4,14704093
期中人口(人),,Q,1971Q1,14795178
期中人口(人),,Q,1971Q2,14874437
期中人口(人),,Q,1971Q3,14947675
期中人口(人),,Q,1971Q4,15028940
期中人口(人),,Q,1972Q1,15109925
期中人口(人),,Q,1972Q2,15177272
期中人口(人),,Q,1972Q3,15243614
期中人口(人),,Q,1972Q4,15323024
期中人口(人),,Q,1973Q1,15398584
期中人口(人),,Q,1973Q2,15466929
期中人口(人),,Q,1973Q3,15537283
期中人口(人),,Q,1973Q4,15608643
期中人口(人),,Q,1974Q1,15676296
期中人口(人),,Q,1974Q2,15744624
期中人口(人),,Q,1974Q3,15812952
期中人口(人),,Q,1974Q4,15889319
期中人口(人),,Q,1975Q1,15967632
期中人口(人),,Q,1975Q2,16036952
期中人口(人),,Q,1975Q3,16101248
期中人口(人),,Q,1975Q4,16180614
期中人口(人),,Q,1976Q1,16256774
期中人口(人),,Q,1976Q2,16328089
期中人口(人),,Q,1976Q3,16414471
期中人口(人),,Q,1976Q4,16521945
期中人口(人),,Q,1977Q1,16615413
期中人口(人),,Q,1977Q2,16688719
期中人口(人),,Q,1977Q3,16765038
期中人口(人),,Q,1977Q4,16844369
期中人口(人),,Q,1978Q1,16916769
期中人口(人),,Q,1978Q2,16985043
期中人口(人),,Q,1978Q3,17063356
期中人口(人),,Q,1978Q4,17156731
期中人口(人),,Q,1979Q1,17238277
期中人口(人),,Q,1979Q2,17311551
期中人口(人),,Q,1979Q3,17393858
期中人口(人),,Q,1979Q4,17492224
期中人口(人),,Q,1980Q1,17578091
期中人口(人),,Q,1980Q2,17648339
期中人口(人),,Q,1980Q3,17724609
期中人口(人),,Q,1980Q4,17817939
期中人口(人),,Q,1981Q1,17901555
期中人口(人),,Q,1981Q2,17975802
期中人口(人),,Q,1981Q3,18058075
期中人口(人),,Q,1981Q4,18149379
期中人口(人),,Q,1982Q1,18227453
期中人口(人),,Q,1982Q2,18294665
期中人口(人),,Q,1982Q3,18371909
期中人口(人),,Q,1982Q4,18466206
期中人口(人),,Q,1983Q1,18547823
期中人口(人),,Q,1983Q2,18614026
期中人口(人),,Q,1983Q3,18683238
期中人口(人),,Q,1983Q4,18754456
期中人口(人),,Q,1984Q1,18816526
期中人口(人),,Q,1984Q2,18872694
期中人口(人),,Q,1984Q3,18939896
期中人口(人),,Q,1984Q4,19023146
