observation_date,TWNBCABP6USD
2016-01-01,71594000000.0
2017-01-01,83518000000.0
2018-01-01,71989000000.0
2019-01-01,67023947254.4
2020-01-01,64934331991.9
2021-01-01,64103226637.1
2022-01-01,63486450764.7
2023-01-01,62176382678.4
2024-01-01,59947763703.3
