observation_date,STLFSI2
1993-12-31,-0.3803
1994-01-07,-0.4937
1994-01-14,-0.2024
1994-01-21,-0.4690
1994-01-28,-0.3126
1994-02-04,-0.6827
1994-02-11,-0.4483
1994-02-18,-0.4302
1994-02-25,-0.3991
1994-03-04,-0.3260
1994-03-11,-0.3225
1994-03-18,-0.2348
1994-03-25,-0.2961
1994-04-01,-0.1801
1994-04-08,-0.1741
1994-04-15,-0.0637
1994-04-22,-0.2264
1994-04-29,-0.1438
1994-05-06,-0.4596
1994-05-13,-0.1330
1994-05-20,-0.0411
1994-05-27,-0.2457
1994-06-03,-0.0679
1994-06-10,0.0227
1994-06-17,-0.2361
1994-06-24,-0.1353
1994-07-01,-0.1132
1994-07-08,0.0250
1994-07-15,-0.0919
1994-07-22,-0.0924
1994-07-29,-0.2633
1994-08-05,-0.1585
1994-08-12,-0.3540
1994-08-19,-0.4102
1994-08-26,-0.3826
1994-09-02,-0.2476
1994-09-09,-0.3560
1994-09-16,-0.3453
1994-09-23,-0.4011
1994-09-30,-0.1678
1994-10-07,-0.1908
1994-10-14,0.0710
1994-10-21,-0.1465
1994-10-28,-0.2007
1994-11-04,-0.1799
1994-11-11,-0.2601
1994-11-18,-0.4486
1994-11-25,-0.1837
1994-12-02,-0.1828
1994-12-09,-0.1604
1994-12-16,-0.1545
1994-12-23,-0.0335
1994-12-30,0.1556
1995-01-06,-0.2032
1995-01-13,0.0226
1995-01-20,-0.3529
1995-01-27,-0.3594
1995-02-03,-0.3826
1995-02-10,-0.4908
1995-02-17,-0.2228
1995-02-24,-0.2458
1995-03-03,-0.2126
1995-03-10,-0.1343
1995-03-17,-0.2241
1995-03-24,-0.3818
1995-03-31,-0.4672
1995-04-07,-0.3196
1995-04-14,-0.2596
1995-04-21,-0.2033
1995-04-28,-0.4676
1995-05-05,-0.2955
1995-05-12,-0.1762
1995-05-19,-0.4165
1995-05-26,-0.3811
1995-06-02,-0.0650
1995-06-09,-0.2528
1995-06-16,-0.1430
1995-06-23,-0.1164
1995-06-30,-0.2563
1995-07-07,-0.2525
1995-07-14,-0.1530
1995-07-21,-0.5211
1995-07-28,-0.3218
1995-08-04,-0.2819
1995-08-11,-0.3027
1995-08-18,-0.4179
1995-08-25,-0.2290
1995-09-01,-0.1138
1995-09-08,-0.2354
1995-09-15,-0.3306
1995-09-22,-0.2657
1995-09-29,-0.3833
1995-10-06,-0.0127
1995-10-13,-0.1819
1995-10-20,-0.1357
1995-10-27,-0.0732
1995-11-03,-0.1584
1995-11-10,-0.3478
1995-11-17,-0.3570
1995-11-24,-0.4974
1995-12-01,-0.3151
1995-12-08,-0.4064
1995-12-15,-0.4171
1995-12-22,-0.2339
1995-12-29,0.0586
1996-01-05,-0.4560
1996-01-12,-0.1976
1996-01-19,-0.1839
1996-01-26,-0.4105
1996-02-02,-0.4010
1996-02-09,-0.2933
1996-02-16,-0.2894
1996-02-23,-0.5480
1996-03-01,-0.4970
1996-03-08,-0.1062
1996-03-15,-0.3344
1996-03-22,-0.1939
1996-03-29,-0.1497
1996-04-05,-0.1761
1996-04-12,-0.1070
1996-04-19,0.0855
1996-04-26,-0.2157
1996-05-03,-0.2372
1996-05-10,-0.1379
1996-05-17,-0.1983
1996-05-24,-0.2836
1996-05-31,-0.3544
1996-06-07,-0.2837
1996-06-14,-0.2349
1996-06-21,-0.2372
1996-06-28,-0.0469
1996-07-05,-0.4736
1996-07-12,0.0124
1996-07-19,0.0093
1996-07-26,-0.1397
1996-08-02,-0.2149
1996-08-09,0.1370
1996-08-16,-0.3028
1996-08-23,-0.3346
1996-08-30,-0.4116
1996-09-06,-0.2371
1996-09-13,-0.1606
1996-09-20,-0.2043
1996-09-27,-0.0290
1996-10-04,-0.0004
1996-10-11,-0.0539
1996-10-18,-0.1414
1996-10-25,-0.2021
1996-11-01,-0.0803
1996-11-08,-0.2696
1996-11-15,-0.2516
1996-11-22,-0.3510
1996-11-29,-0.3173
1996-12-06,-0.1253
1996-12-13,0.0143
1996-12-20,-0.1225
1996-12-27,-0.0502
1997-01-03,-0.3995
1997-01-10,-0.1059
1997-01-17,-0.3095
1997-01-24,-0.3649
1997-01-31,-0.2641
1997-02-07,-0.2066
1997-02-14,-0.3282
1997-02-21,-0.4014
1997-02-28,-0.4650
1997-03-07,-0.2639
1997-03-14,-0.3348
1997-03-21,-0.3422
1997-03-28,-0.4349
1997-04-04,-0.0750
1997-04-11,-0.0461
1997-04-18,-0.2005
1997-04-25,-0.2149
1997-05-02,-0.2171
1997-05-09,-0.1315
1997-05-16,-0.1156
1997-05-23,-0.2074
1997-05-30,-0.1061
1997-06-06,0.0348
1997-06-13,-0.1197
1997-06-20,-0.0776
1997-06-27,0.0158
1997-07-04,-0.3198
1997-07-11,-0.0259
1997-07-18,-0.2466
1997-07-25,-0.2773
1997-08-01,-0.4061
1997-08-08,-0.3405
1997-08-15,-0.2509
1997-08-22,-0.2063
1997-08-29,-0.2417
1997-09-05,-0.1319
1997-09-12,-0.0892
1997-09-19,-0.0640
1997-09-26,0.0101
1997-10-03,-0.0455
1997-10-10,-0.1129
1997-10-17,-0.1068
1997-10-24,-0.0276
1997-10-31,0.7579
1997-11-07,-0.0473
1997-11-14,0.4056
1997-11-21,-0.0905
1997-11-28,-0.0479
1997-12-05,-0.2215
1997-12-12,0.0882
1997-12-19,0.0135
1997-12-26,0.1586
1998-01-02,-0.4782
1998-01-09,0.3596
1998-01-16,-0.0364
1998-01-23,-0.2018
1998-01-30,-0.2305
1998-02-06,-0.2711
1998-02-13,-0.3448
1998-02-20,-0.3328
1998-02-27,-0.5103
1998-03-06,-0.2915
1998-03-13,-0.1579
1998-03-20,-0.3644
1998-03-27,-0.3133
1998-04-03,-0.1206
1998-04-10,-0.1246
1998-04-17,-0.2380
1998-04-24,-0.1298
1998-05-01,-0.0029
1998-05-08,-0.0470
1998-05-15,-0.3227
1998-05-22,-0.2333
1998-05-29,-0.0837
1998-06-05,-0.1366
1998-06-12,-0.1406
1998-06-19,-0.0805
1998-06-26,-0.0929
1998-07-03,-0.3583
1998-07-10,-0.0590
1998-07-17,-0.4100
1998-07-24,-0.0991
1998-07-31,-0.0391
1998-08-07,0.2314
1998-08-14,0.3933
1998-08-21,0.3135
1998-08-28,1.0174
1998-09-04,1.3467
1998-09-11,0.9790
1998-09-18,0.7299
1998-09-25,0.8226
1998-10-02,1.2594
1998-10-09,2.3312
1998-10-16,1.5682
1998-10-23,1.2635
1998-10-30,1.0026
1998-11-06,0.5633
1998-11-13,0.8105
1998-11-20,0.5482
1998-11-27,0.0486
1998-12-04,0.7139
1998-12-11,0.6178
1998-12-18,0.6590
1998-12-25,0.2799
1999-01-01,0.4445
1999-01-08,0.1659
1999-01-15,0.5806
1999-01-22,0.5569
1999-01-29,0.2692
1999-02-05,0.1439
1999-02-12,0.2149
1999-02-19,0.0649
1999-02-26,-0.0153
1999-03-05,0.0283
1999-03-12,0.0656
1999-03-19,0.0653
1999-03-26,0.1411
1999-04-02,0.0894
1999-04-09,0.1859
1999-04-16,0.0743
1999-04-23,0.1168
1999-04-30,-0.0942
1999-05-07,-0.0492
1999-05-14,0.0111
1999-05-21,0.1468
1999-05-28,0.2722
1999-06-04,0.0694
1999-06-11,0.1067
1999-06-18,0.1514
1999-06-25,0.0287
1999-07-02,0.1047
1999-07-09,0.1839
1999-07-16,0.2920
1999-07-23,0.3274
1999-07-30,0.3095
1999-08-06,0.4545
1999-08-13,0.3301
1999-08-20,0.3180
1999-08-27,0.1498
1999-09-03,0.2621
1999-09-10,0.4251
1999-09-17,0.4611
1999-09-24,0.4865
1999-10-01,0.5173
1999-10-08,0.8172
1999-10-15,0.8686
1999-10-22,0.6959
1999-10-29,0.4574
1999-11-05,0.5912
1999-11-12,0.3576
1999-11-19,0.1087
1999-11-26,0.1890
1999-12-03,0.3165
1999-12-10,0.4107
1999-12-17,0.2060
1999-12-24,0.1098
1999-12-31,0.4244
2000-01-07,0.0242
2000-01-14,0.0152
2000-01-21,0.0311
2000-01-28,0.0643
2000-02-04,-0.0871
2000-02-11,0.0819
2000-02-18,0.1249
2000-02-25,0.2169
2000-03-03,-0.0684
2000-03-10,-0.0183
2000-03-17,-0.0510
2000-03-24,-0.2043
2000-03-31,0.2006
2000-04-07,0.4533
2000-04-14,0.4690
2000-04-21,0.4378
2000-04-28,0.3444
2000-05-05,0.5284
2000-05-12,0.5359
2000-05-19,0.3575
2000-05-26,0.7864
2000-06-02,0.7450
2000-06-09,0.6019
2000-06-16,0.6059
2000-06-23,0.6348
