"總體統計資料庫XML檔連結清單"
"領域別","資料項目","連結網址","來源機關"
"01國民所得統計","國民所得統計常用資料-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8101A1A.xml","行政院主計總處"
"01國民所得統計","國民所得統計常用資料-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8101A1Q.xml","行政院主計總處"
"01國民所得統計","國內生產毛額依支出分-年(1951-1980)","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A1A.xml","行政院主計總處"
"01國民所得統計","國內生產毛額依支出分-年(1981以後)","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A5A.xml","行政院主計總處"
"01國民所得統計","國內生產毛額依支出分-季(1961-1980)","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A4Q.xml","行政院主計總處"
"01國民所得統計","國內生產毛額依支出分-季(1981以後)","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A6Q.xml","行政院主計總處"
"01國民所得統計","民間消費-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8203A1A.xml","行政院主計總處"
"01國民所得統計","民間消費-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8203A2Q.xml","行政院主計總處"
"01國民所得統計","政府消費-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8706A1A.xml","行政院主計總處"
"01國民所得統計","固定資本形成毛額-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8401A1A.xml","行政院主計總處"
"01國民所得統計","固定資本形成毛額-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8401A2Q.xml","行政院主計總處"
"01國民所得統計","存貨變動-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8403A1A.xml","行政院主計總處"
"01國民所得統計","各業固定資本形成毛額-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8402A1A.xml","行政院主計總處"
"01國民所得統計","國內生產及要素所得-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A2A.xml","行政院主計總處"
"01國民所得統計","國內各業生產及平減指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8103A1A.xml","行政院主計總處"
"01國民所得統計","國內各業生產及平減指數-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8103A1Q.xml","行政院主計總處"
"01國民所得統計","國民所得、儲蓄與投資-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8201A1A.xml","行政院主計總處"
"01國民所得統計","國民所得、儲蓄與投資-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8201A1Q.xml","行政院主計總處"
"01國民所得統計","平均每人統計結果-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8202A1A.xml","行政院主計總處"
"01國民所得統計","平均每人統計結果-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8202A1Q.xml","行政院主計總處"
"01國民所得統計","經季節調整之國內生產毛額依支出分-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A3Q.xml","行政院主計總處"
"01國民所得統計","國內生產毛額貢獻度─依支出分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A7A.xml","行政院主計總處"
"01國民所得統計","國內生產毛額貢獻度─依支出分-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A7Q.xml","行政院主計總處"
"01國民所得統計","國內生產毛額貢獻度─依行業分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A8A.xml","行政院主計總處"
"01國民所得統計","國內生產毛額貢獻度─依行業分-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/NationalIncome/NA8102A8Q.xml","行政院主計總處"
"02家庭收支統計","家庭收支重要指標-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0001A1A.xml","行政院主計總處"
"02家庭收支統計","所得總額按來源別分  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0002A1A.xml","行政院主計總處"
"02家庭收支統計","戶數五等分位組之平均每戶可支配所得  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0003A1A.xml","行政院主計總處"
"02家庭收支統計","戶數五等分位組之所得分配比與所得差距  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0004A1A.xml","行政院主計總處"
"02家庭收支統計","人數五等分位組之所得差距-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0004A2A.xml","行政院主計總處"
"02家庭收支統計","政府對家庭移轉收支對所得分配之影響  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0005A1A.xml","行政院主計總處"
"02家庭收支統計","戶數十等分位組分界點之可支配所得  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0006A1A.xml","行政院主計總處"
"02家庭收支統計","人數十等分位組分界點之可支配所得-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0006A2A.xml","行政院主計總處"
"02家庭收支統計","家庭消費支出按消費型態分  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0007A1A.xml","行政院主計總處"
"02家庭收支統計","家庭住宅狀況  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0008A1A.xml","行政院主計總處"
"02家庭收支統計","家庭主要設備普及率  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0009A1A.xml","行政院主計總處"
"02家庭收支統計","戶數五等分位組之平均每戶人數與就業人數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0010A1A.xml","行政院主計總處"
"02家庭收支統計","家庭戶數按戶內人口規模別之分配  -年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/HouseholdFinances/FF0011A1A.xml","行政院主計總處"
"03物價統計","消費者物價基本分類指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0101A1A.xml","行政院主計總處"
"03物價統計","消費者物價基本分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0101A1M.xml","行政院主計總處"
"03物價統計","消費者物價商品性質分類指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0102A1A.xml","行政院主計總處"
"03物價統計","消費者物價商品性質分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0102A1M.xml","行政院主計總處"
"03物價統計","消費者物價特殊分類指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0103A1A.xml","行政院主計總處"
"03物價統計","消費者物價特殊分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0103A1M.xml","行政院主計總處"
"03物價統計","生產者物價基本分類指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0701A1A.xml","行政院主計總處"
"03物價統計","生產者物價基本分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0701A1M.xml","行政院主計總處"
"03物價統計","服務業生產者物價基本分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0901A1A.xml","行政院主計總處"
"03物價統計","進口物價基本分類指數(按HS分)(美元計價)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0301A1A.xml","行政院主計總處"
"03物價統計","進口物價基本分類指數(按HS分)(美元計價)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0301A1M.xml","行政院主計總處"
"03物價統計","進口物價基本分類指數(按HS分)(新台幣計價)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0302A1A.xml","行政院主計總處"
"03物價統計","進口物價基本分類指數(按HS分)(新台幣計價)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0302A1M.xml","行政院主計總處"
"03物價統計","出口物價基本分類指數(按HS分)(美元計價)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0401A1A.xml","行政院主計總處"
"03物價統計","出口物價基本分類指數(按HS分)(美元計價)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0401A1M.xml","行政院主計總處"
"03物價統計","出口物價基本分類指數(按HS分)(新台幣計價)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0402A1A.xml","行政院主計總處"
"03物價統計","出口物價基本分類指數(按HS分)(新台幣計價)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0402A1M.xml","行政院主計總處"
"03物價統計","營造工程物價指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0501A1A.xml","行政院主計總處"
"03物價統計","營造工程物價指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0501A1M..xml","行政院主計總處"
"03物價統計","躉售物價內外銷及產地來源分類指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0201A1A.xml","行政院主計總處"
"03物價統計","躉售物價內外銷及產地來源分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0201A1M.xml","行政院主計總處"
"03物價統計","躉售物價基本分類指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0202A1A.xml","行政院主計總處"
"03物價統計","躉售物價基本分類指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/PriceStatistics/PR0202A1M.xmlxml","行政院主計總處"
"04勞工統計","人力資源主要指標-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0107A1A.xml","行政院主計總處"
"04勞工統計","人力資源主要指標-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0107A1M.xml","行政院主計總處"
"04勞工統計","勞動力按教育程度分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0101A1A.xml","行政院主計總處"
"04勞工統計","勞動力按教育程度分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0101A1M.xml","行政院主計總處"
