item,unit,freq,period,value
景氣同時指標不含趨勢指數(點),,M,1982M01,106.67
景氣同時指標不含趨勢指數(點),,M,1982M02,103.83
景氣同時指標不含趨勢指數(點),,M,1982M03,101.33
景氣同時指標不含趨勢指數(點),,M,1982M04,99.24
景氣同時指標不含趨勢指數(點),,M,1982M05,97.56
景氣同時指標不含趨勢指數(點),,M,1982M06,96.31
景氣同時指標不含趨勢指數(點),,M,1982M07,95.49
景氣同時指標不含趨勢指數(點),,M,1982M08,95.03
景氣同時指標不含趨勢指數(點),,M,1982M09,94.87
景氣同時指標不含趨勢指數(點),,M,1982M10,94.84
景氣同時指標不含趨勢指數(點),,M,1982M11,94.99
景氣同時指標不含趨勢指數(點),,M,1982M12,95.32
景氣同時指標不含趨勢指數(點),,M,1983M01,95.77
景氣同時指標不含趨勢指數(點),,M,1983M02,96.38
景氣同時指標不含趨勢指數(點),,M,1983M03,96.92
景氣同時指標不含趨勢指數(點),,M,1983M04,97.72
景氣同時指標不含趨勢指數(點),,M,1983M05,98.78
景氣同時指標不含趨勢指數(點),,M,1983M06,99.96
景氣同時指標不含趨勢指數(點),,M,1983M07,101.02
景氣同時指標不含趨勢指數(點),,M,1983M08,101.92
景氣同時指標不含趨勢指數(點),,M,1983M09,102.64
景氣同時指標不含趨勢指數(點),,M,1983M10,103.2
景氣同時指標不含趨勢指數(點),,M,1983M11,103.81
景氣同時指標不含趨勢指數(點),,M,1983M12,104.52
景氣同時指標不含趨勢指數(點),,M,1984M01,105.34
景氣同時指標不含趨勢指數(點),,M,1984M02,105.99
景氣同時指標不含趨勢指數(點),,M,1984M03,106.39
景氣同時指標不含趨勢指數(點),,M,1984M04,106.43
景氣同時指標不含趨勢指數(點),,M,1984M05,106.19
景氣同時指標不含趨勢指數(點),,M,1984M06,105.65
景氣同時指標不含趨勢指數(點),,M,1984M07,104.75
景氣同時指標不含趨勢指數(點),,M,1984M08,103.53
景氣同時指標不含趨勢指數(點),,M,1984M09,102.11
景氣同時指標不含趨勢指數(點),,M,1984M10,100.67
景氣同時指標不含趨勢指數(點),,M,1984M11,99.31
景氣同時指標不含趨勢指數(點),,M,1984M12,98.05
景氣同時指標不含趨勢指數(點),,M,1985M01,96.88
景氣同時指標不含趨勢指數(點),,M,1985M02,95.59
景氣同時指標不含趨勢指數(點),,M,1985M03,93.9
景氣同時指標不含趨勢指數(點),,M,1985M04,92.26
景氣同時指標不含趨勢指數(點),,M,1985M05,90.79
景氣同時指標不含趨勢指數(點),,M,1985M06,89.58
景氣同時指標不含趨勢指數(點),,M,1985M07,88.64
景氣同時指標不含趨勢指數(點),,M,1985M08,88.24
景氣同時指標不含趨勢指數(點),,M,1985M09,88.48
景氣同時指標不含趨勢指數(點),,M,1985M10,89.37
景氣同時指標不含趨勢指數(點),,M,1985M11,90.95
景氣同時指標不含趨勢指數(點),,M,1985M12,93.05
景氣同時指標不含趨勢指數(點),,M,1986M01,95.35
景氣同時指標不含趨勢指數(點),,M,1986M02,97.35
景氣同時指標不含趨勢指數(點),,M,1986M03,98.79
景氣同時指標不含趨勢指數(點),,M,1986M04,99.73
景氣同時指標不含趨勢指數(點),,M,1986M05,100.48
景氣同時指標不含趨勢指數(點),,M,1986M06,101.1
景氣同時指標不含趨勢指數(點),,M,1986M07,101.57
景氣同時指標不含趨勢指數(點),,M,1986M08,101.82
景氣同時指標不含趨勢指數(點),,M,1986M09,102.25
景氣同時指標不含趨勢指數(點),,M,1986M10,102.96
景氣同時指標不含趨勢指數(點),,M,1986M11,103.77
景氣同時指標不含趨勢指數(點),,M,1986M12,104.52
景氣同時指標不含趨勢指數(點),,M,1987M01,105.07
景氣同時指標不含趨勢指數(點),,M,1987M02,105.32
景氣同時指標不含趨勢指數(點),,M,1987M03,105.2
景氣同時指標不含趨勢指數(點),,M,1987M04,104.75
景氣同時指標不含趨勢指數(點),,M,1987M05,104.16
景氣同時指標不含趨勢指數(點),,M,1987M06,103.58
景氣同時指標不含趨勢指數(點),,M,1987M07,103.1
景氣同時指標不含趨勢指數(點),,M,1987M08,102.72
景氣同時指標不含趨勢指數(點),,M,1987M09,102.34
景氣同時指標不含趨勢指數(點),,M,1987M10,101.93
景氣同時指標不含趨勢指數(點),,M,1987M11,101.55
景氣同時指標不含趨勢指數(點),,M,1987M12,101.16
