ticker,group,metric,n_pre,n_post,pre_mean,post_mean,post_minus_pre,welch_t,welch_p,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_p_diff_gt_0,hac_post_coef,hac_post_t,hac_post_p,bh_q_metric_family,harvey_abs_pass
ASML,adr,log_gap_var,601,518,-9.865344176502122,-9.617447045758556,0.24789713074356534,1.4321867256999694,0.15237072210527378,-0.13181671555714844,0.6035254555667512,0.879,-0.34862287983817364,-4.2916308713920515,1.773656183236987e-05,2.7522251119194627e-05,True
ASML,adr,log_cc_var,601,518,-8.698723289747445,-8.729070123479817,-0.030346833732371792,-0.22360646959795788,0.8231053711960044,-0.31824197245626973,0.2842619855372667,0.439,-0.6670092281689254,-8.647058978031694,5.284366256314074e-18,2.9724560191766667e-17,True
ASML,adr,log_range_var,601,518,-8.488290793521914,-8.552076484459775,-0.0637856909378609,-1.1268869571716984,0.2600432760680542,-0.23177720756789325,0.10799907725920709,0.268,-0.870691685136493,-8.732267711952082,2.4961653229250456e-18,1.6046777075946724e-17,True
BABA,adr,log_gap_var,601,518,-9.166908482051388,-9.24421212813338,-0.07730364608199203,-0.49095443054805754,0.6235568704050456,-0.4343799467874535,0.24826118425980592,0.34,-0.01273268293031685,-0.2291965330391318,0.818716167103849,0.818716167103849,False
BABA,adr,log_cc_var,601,518,-8.608497773925155,-8.742624007614333,-0.13412623368917842,-0.9697351203257788,0.33238872412781534,-0.4269428628441026,0.1577052784541006,0.19,-0.03877801478473686,-0.732730192975108,0.46372300498869756,0.49684607677360454,False
BABA,adr,log_range_var,601,518,-8.103486105073937,-8.61619675343949,-0.5127106483655535,-8.689550527732802,1.2781369309795897e-17,-0.7053868450149592,-0.31151322570639045,0.0,-0.4736982798745091,-7.286880590144072,3.1721381906877216e-13,9.516414572063165e-13,True
EEM,intl_etf,log_gap_var,601,518,-10.839451302599416,-10.896866231193409,-0.05741492859399244,-0.35634605539822456,0.721649065859016,-0.4142414944695011,0.2673179117734456,0.323,-0.03150333750514847,-0.5101852618310508,0.6099216764975051,0.6237835327815393,False
EEM,intl_etf,log_cc_var,601,518,-10.30482388063445,-10.495792468372567,-0.19096858773811753,-1.298252411884784,0.19447859736140105,-0.5192607588135805,0.10642886515936853,0.12,-0.09144850162584126,-1.5559150239813586,0.11972830031251512,0.13814803882213283,False
EEM,intl_etf,log_range_var,601,518,-10.331424582365047,-10.489746835012365,-0.15832225264731825,-2.6043486488850442,0.009341671742837772,-0.3563425980902041,0.048067649476205294,0.072,-0.1804786048194934,-2.4010866311902626,0.01634646607595181,0.021016884954795187,False
EFA,intl_etf,log_gap_var,601,518,-11.175716032498462,-11.308535393879561,-0.13281936138109884,-0.9022585798817774,0.367117805711716,-0.4674505070367534,0.20963867549443377,0.225,-0.034395213416551315,-0.5330163740179434,0.5940222457569106,0.6216511874200228,False
