group,metric,term,n,coef,hac_t,p_value,bh_q,harvey_abs_pass
adr,log_gap_var,post_month_end,6714,0.03498839685303267,0.26421620357246756,0.7916133259481286,0.98549732325504,False
adr,log_gap_var,post_quarter_end,6714,-0.2714841667731797,-0.9279508669381785,0.3534330566979179,0.8982238014154592,False
adr,log_cc_var,post_month_end,6714,0.020971059869031413,0.18306979613098834,0.8547432544369489,0.98549732325504,False
adr,log_cc_var,post_quarter_end,6714,-0.025827033316623917,-0.12411196462767966,0.9012266250042535,0.98549732325504,False
adr,log_range_var,post_month_end,6714,0.16558766075798054,1.840018508757058,0.06576552002687745,0.6765246297328199,False
adr,log_range_var,post_quarter_end,6714,0.1411153073903091,0.7910137106549505,0.4289359907321305,0.8982238014154592,False
bond_etf,log_gap_var,post_month_end,1119,-0.6675335104147636,-1.518129838244008,0.12898167045167228,0.6765246297328199,False
bond_etf,log_gap_var,post_quarter_end,1119,0.3939292961895684,0.7217629698373131,0.47044021976680284,0.8982238014154592,False
bond_etf,log_cc_var,post_month_end,1119,-0.3687033277091255,-1.3284845304642832,0.18401809069167496,0.6900678400937811,False
bond_etf,log_cc_var,post_quarter_end,1119,1.101569878079924,1.7506490022108285,0.08000638896569005,0.6765246297328199,False
bond_etf,log_range_var,post_month_end,1119,-0.2833750129063264,-0.9918785107230471,0.32125679302356236,0.8982238014154592,False
bond_etf,log_range_var,post_quarter_end,1119,0.654091929167294,1.3643137037177797,0.17246885474163387,0.6900678400937811,False
credit_etf,log_gap_var,post_month_end,2238,0.35970714344176447,1.5718101255005144,0.11599459257731064,0.6765246297328199,False
credit_etf,log_gap_var,post_quarter_end,2238,-0.1369323708797796,-0.446358258851003,0.6553384793234278,0.9626273544814946,False
credit_etf,log_cc_var,post_month_end,2238,-0.10706697992756219,-0.42659540322299105,0.6696740464288649,0.9626273544814946,False
credit_etf,log_cc_var,post_quarter_end,2238,0.2599269411791679,0.7554757239302602,0.44996359291310006,0.8982238014154592,False
credit_etf,log_range_var,post_month_end,2238,-0.2484136217307104,-1.4935054606025635,0.135304925946564,0.6765246297328199,False
credit_etf,log_range_var,post_quarter_end,2238,0.13730509249850992,0.41159827115588443,0.680633898999033,0.9626273544814946,False
intl_etf,log_gap_var,post_month_end,2238,0.05088941121172023,0.1911806692725856,0.8483840479678172,0.98549732325504,False
intl_etf,log_gap_var,post_quarter_end,2238,-0.3077084585656106,-0.6005795734551069,0.5481200464042966,0.9135334106738277,False
intl_etf,log_cc_var,post_month_end,2238,-0.003620330955596801,-0.018177410768509848,0.98549732325504,0.98549732325504,False
intl_etf,log_cc_var,post_quarter_end,2238,-0.3180217850733511,-0.6832085034663654,0.4944751001240656,0.8982238014154592,False
intl_etf,log_range_var,post_month_end,2238,0.07155712912900837,0.3773322255054328,0.7059267266197627,0.9626273544814946,False
intl_etf,log_range_var,post_quarter_end,2238,-0.01917768350192206,-0.053267542239337155,0.9575187410119204,0.98549732325504,False
us_etf,log_gap_var,post_month_end,4476,0.46941515226496877,3.0612474856414233,0.0022041682386467645,0.06612504715940294,True
us_etf,log_gap_var,post_quarter_end,4476,-0.2668225870193222,-0.9153540219402951,0.36000580741544164,0.8982238014154592,False
us_etf,log_cc_var,post_month_end,4476,0.005181920392480445,0.03526849126649946,0.9718656480194019,0.98549732325504,False
us_etf,log_cc_var,post_quarter_end,4476,0.021090628025065408,0.08164347235454861,0.9349302307240912,0.98549732325504,False
us_etf,log_range_var,post_month_end,4476,0.14791558377824082,0.988026746488731,0.3231395493186838,0.8982238014154592,False
us_etf,log_range_var,post_quarter_end,4476,0.1750728627169228,0.6604057433997078,0.5089934874687603,0.8982238014154592,False
