date,vvix_close
2012-01-03,91.38999938964844
2012-01-04,88.88999938964844
2012-01-05,87.69000244140625
2012-01-06,86.94999694824219
2012-01-09,87.80000305175781
2012-01-10,88.81999969482422
2012-01-11,93.16999816894531
2012-01-12,90.51000213623047
2012-01-13,93.55000305175781
2012-01-17,93.66000366210938
2012-01-18,90.08999633789062
2012-01-19,88.7300033569336
2012-01-20,89.23999786376953
2012-01-23,89.58999633789062
2012-01-24,89.01000213623047
2012-01-25,86.01000213623047
2012-01-26,88.91999816894531
2012-01-27,87.44000244140625
2012-01-30,89.86000061035156
2012-01-31,88.51000213623047
2012-02-01,85.77999877929688
2012-02-02,84.0999984741211
2012-02-03,84.04000091552734
2012-02-06,85.37999725341797
2012-02-07,83.79000091552734
2012-02-08,97.01000213623047
2012-02-09,100.76000213623047
2012-02-10,104.1500015258789
2012-02-13,102.44999694824219
2012-02-14,107.81999969482422
2012-02-15,114.6500015258789
2012-02-16,110.41000366210938
2012-02-17,108.55999755859375
2012-02-21,107.70999908447266
2012-02-22,100.80999755859375
2012-02-23,94.44000244140625
2012-02-24,99.43000030517578
2012-02-27,101.68000030517578
2012-02-28,99.12999725341797
2012-02-29,101.5999984741211
2012-03-01,97.43000030517578
2012-03-02,96.94000244140625
2012-03-05,98.18000030517578
2012-03-06,105.11000061035156
2012-03-07,100.45999908447266
2012-03-08,97.19000244140625
2012-03-09,97.9800033569336
2012-03-12,98.61000061035156
2012-03-13,98.47000122070312
2012-03-14,106.62999725341797
2012-03-15,108.41999816894531
2012-03-16,105.77999877929688
2012-03-19,106.48999786376953
2012-03-20,109.37999725341797
2012-03-21,104.6500015258789
2012-03-22,102.52999877929688
2012-03-23,98.5999984741211
2012-03-26,96.08000183105469
2012-03-27,101.1500015258789
2012-03-28,102.73999786376953
2012-03-29,101.94000244140625
2012-03-30,100.27999877929688
2012-04-02,100.37999725341797
2012-04-03,98.37000274658203
2012-04-04,99.7300033569336
2012-04-05,99.47000122070312
2012-04-09,104.58999633789062
2012-04-10,109.12999725341797
2012-04-11,111.19000244140625
2012-04-12,104.2699966430664
2012-04-13,110.76000213623047
2012-04-16,110.97000122070312
2012-04-17,107.01000213623047
2012-04-18,106.05999755859375
2012-04-19,103.95999908447266
2012-04-20,101.08000183105469
2012-04-23,104.01000213623047
2012-04-24,99.83999633789062
2012-04-25,93.27999877929688
2012-04-26,89.6500015258789
2012-04-27,88.62000274658203
2012-04-30,89.31999969482422
2012-05-01,87.05999755859375
2012-05-02,86.29000091552734
2012-05-03,88.3499984741211
2012-05-04,91.30999755859375
2012-05-07,90.91000366210938
2012-05-08,91.33000183105469
2012-05-09,102.06999969482422
2012-05-10,98.6500015258789
2012-05-11,100.12000274658203
2012-05-14,105.8499984741211
2012-05-15,109.61000061035156
2012-05-16,109.22000122070312
2012-05-17,112.83999633789062
2012-05-18,117.44000244140625
2012-05-21,108.5
2012-05-22,110.4800033569336
2012-05-23,107.4800033569336
2012-05-24,104.5199966430664
2012-05-25,103.0999984741211
2012-05-29,100.9800033569336
2012-05-30,109.7300033569336
2012-05-31,108.75
2012-06-01,111.41000366210938
2012-06-04,107.04000091552734
2012-06-05,102.77999877929688
2012-06-06,97.70999908447266
2012-06-07,98.36000061035156
2012-06-08,96.5999984741211
2012-06-11,105.51000213623047
2012-06-12,103.22000122070312
2012-06-13,110.5999984741211
2012-06-14,107.77999877929688
2012-06-15,108.2300033569336
2012-06-18,99.30000305175781
2012-06-19,98.12999725341797
2012-06-20,96.41000366210938
2012-06-21,105.47000122070312
2012-06-22,104.12999725341797
2012-06-25,104.45999908447266
2012-06-26,100.66000366210938
2012-06-27,98.11000061035156
2012-06-28,97.20999908447266
2012-06-29,89.58999633789062
2012-07-02,85.61000061035156
2012-07-03,84.58999633789062
2012-07-05,89.43000030517578
2012-07-06,90.0999984741211
2012-07-09,92.8499984741211
2012-07-10,94.91000366210938
2012-07-11,96.25
2012-07-12,95.22000122070312
2012-07-13,91.0999984741211
2012-07-16,94.20999908447266
2012-07-17,93.48999786376953
2012-07-18,94.02999877929688
2012-07-19,93.7300033569336
2012-07-20,100.61000061035156
2012-07-23,107.31999969482422
2012-07-24,111.6500015258789
2012-07-25,106.52999877929688
2012-07-26,98.58999633789062
2012-07-27,93.08000183105469
2012-07-30,94.73999786376953
2012-07-31,96.11000061035156
2012-08-01,94.2300033569336
2012-08-02,89.62999725341797
2012-08-03,84.5
2012-08-06,84.47000122070312
2012-08-07,86.87000274658203
2012-08-08,85.18000030517578
2012-08-09,83.91000366210938
2012-08-10,84.83000183105469
2012-08-13,89.58000183105469
2012-08-14,94.33000183105469
2012-08-15,97.94999694824219
2012-08-16,95.6500015258789
2012-08-17,95.0199966430664
2012-08-20,96.63999938964844
2012-08-21,97.41000366210938
2012-08-22,99.13999938964844
2012-08-23,98.4000015258789
2012-08-24,94.98999786376953
2012-08-27,94.88999938964844
2012-08-28,94.43000030517578
2012-08-29,94.70999908447266
2012-08-30,96.33000183105469
2012-08-31,93.30000305175781
2012-09-04,93.70999908447266
2012-09-05,90.1500015258789
2012-09-06,83.6500015258789
2012-09-07,82.23999786376953
2012-09-10,92.7699966430664
2012-09-11,92.38999938964844
2012-09-12,93.94000244140625
2012-09-13,87.80999755859375
2012-09-14,93.04000091552734
2012-09-17,92.94999694824219
2012-09-18,90.12999725341797
2012-09-19,88.61000061035156
2012-09-20,88.72000122070312
2012-09-21,87.9000015258789
2012-09-24,85.87999725341797
2012-09-25,92.79000091552734
2012-09-26,95.05000305175781
2012-09-27,88.23999786376953
2012-09-28,90.48999786376953
2012-10-01,92.51000213623047
2012-10-02,90.25
2012-10-03,87.55999755859375
2012-10-04,83.51000213623047
2012-10-05,83.0999984741211
2012-10-08,85.8499984741211
2012-10-09,88.52999877929688
2012-10-10,94.36000061035156
2012-10-11,90.73999786376953
2012-10-12,91.87000274658203
2012-10-15,92.91999816894531
2012-10-16,90.30999755859375
2012-10-17,85.5999984741211
2012-10-18,86.51000213623047
2012-10-19,92.62999725341797
2012-10-22,92.4800033569336
2012-10-23,99.66000366210938
2012-10-24,96.38999938964844
2012-10-25,91.86000061035156
2012-10-26,89.43000030517578
2012-10-31,90.2300033569336
2012-11-01,81.69999694824219
2012-11-02,87.83999633789062
2012-11-05,90.75
2012-11-06,87.55999755859375
2012-11-07,94.75
2012-11-08,93.38999938964844
2012-11-09,94.0199966430664
2012-11-12,90.54000091552734
2012-11-13,87.83999633789062
2012-11-14,94.66000366210938
2012-11-15,94.54000091552734
2012-11-16,90.2699966430664
2012-11-19,88.43000030517578
2012-11-20,85.93000030517578
2012-11-21,85.8499984741211
2012-11-23,82.86000061035156
2012-11-26,82.44999694824219
2012-11-27,84.16999816894531
2012-11-28,80.38999938964844
2012-11-29,78.41999816894531
2012-11-30,78.58999633789062
2012-12-03,84.06999969482422
2012-12-04,86.18000030517578
2012-12-05,82.9800033569336
2012-12-06,84.1500015258789
2012-12-07,80.73999786376953
2012-12-10,81.55999755859375
2012-12-11,78.69999694824219
2012-12-12,83.0199966430664
2012-12-13,86.73999786376953
2012-12-14,86.38999938964844
2012-12-17,82.0999984741211
2012-12-18,79.36000061035156
2012-12-19,83.33000183105469
2012-12-20,83.05999755859375
2012-12-21,87.69999694824219
2012-12-24,89.2699966430664
2012-12-26,92.16999816894531
2012-12-27,90.88999938964844
2012-12-28,104.72000122070312
2012-12-31,92.5
2013-01-02,78.7699966430664
2013-01-03,77.0199966430664
2013-01-04,75.18000030517578
2013-01-07,76.7699966430664
2013-01-08,78.37000274658203
2013-01-09,78.51000213623047
2013-01-10,77.48999786376953
2013-01-11,78.5199966430664
2013-01-14,78.27999877929688
2013-01-15,77.83999633789062
