code,ticker,name,sector,foundry,fabless,holdout,n_obs,n_events,n_dropped_outliers,theta0,theta1,theta2,omega_g,alpha,gamma,beta,persistence,loglik,tau_at_event,tau_nonevent,tau_jump_pct,data_start,data_end,marketCap,log_mktcap,beta_info,avg_volume,log_volume,price_level,earnings_cv,beta_rolling_0050
2330,2330.TW,TSMC,Tech_Foundry,1,0,False,3911,60,0,8.666617411640635e-05,1.9020735121262981e-07,6.05283061585334e-05,0.050302639045416084,0.050302039800682624,0.050302039804156456,0.902421160806561,0.9778742205093218,10783.476199536455,0.00021811640581829783,0.00015997444192412458,36.344533035939456,2010-01-05,2025-12-30,51216734224384.0,31.56708743489335,1.251,32465537.0,17.295689684678116,1975.0,0.15177667438915438,1.1312499667485048
2317,2317.TW,Hon Hai,Tech_EMS,0,0,False,3911,60,0,0.0003114368928492078,3.3714846049797977e-07,0.0007251210111018971,0.044674098468405775,0.08553908703706162,0.10503552759249787,0.8050103580585016,0.9430672088918122,10662.744512056095,0.0011638090705903155,0.0004413540919048845,163.6905586549147,2010-01-05,2025-12-30,2799529099264.0,28.660472340131776,0.653,47683951.0,17.680105442221144,200.5,0.1292055889301308,0.8915549896203208
2454,2454.TW,MediaTek,Tech_Fabless,0,1,False,3911,59,0,0.00999999422789697,1.7544139719249506e-05,-0.0016094254716869773,0.004760289568573304,0.02946977886263777,0.07335204264010678,0.779357869054123,0.8455036692368141,9424.236296963627,0.015143000327815596,0.016758436775044842,-9.639541377957215,2010-01-05,2025-12-30,2601659662336.0,28.587170688976677,1.152,8409853.0,15.94491455260493,1630.0,0.10474642789047435,1.0744893198098298
2308,2308.TW,Delta,Tech_Other,0,0,False,3911,61,0,0.0004035158859612766,4.033015259408377e-07,0.0003055463784506299,0.05214135162654881,0.08649470329345955,0.10583875530285279,0.8053275063678024,0.9447415873126883,10024.422911974572,0.000870875447207369,0.0005587734134196685,55.85484675758817,2010-01-05,2025-12-30,4519725367296.0,29.13947234847897,1.098,11918081.0,16.293567216708322,1740.0,0.31317464027050546,0.8852777641712143
2881,2881.TW,Fubon FH,Financial,0,0,False,3911,60,0,5.067658864871493e-05,1.8600729879640558e-07,-2.8873923443192122e-05,0.05014436969565208,0.05014408383945395,0.05014408383937862,0.9011549806887217,0.976371106447865,11325.764556727394,9.442800214124241e-05,0.0001223151647174715,-22.79943181259984,2010-01-05,2025-12-30,1220041375744.0,27.82990588864289,0.675,15916594.0,16.582872770767455,87.1,0.40708617867188274,0.7595485148862253
2882,2882.TW,Cathay FH,Financial,0,0,False,3911,60,0,7.955657403314583e-05,9.343764141702643e-08,6.905722825982025e-05,0.10223235405469762,0.041334295587613167,0.07857346163885291,0.8672580937661069,0.9478791201731465,11201.143876770819,0.00018988853951606313,0.00011546833833456636,64.4507423029387,2010-01-05,2025-12-30,1056183091200.0,27.68568266800191,,21503388.0,16.883721062078596,72.0,0.5005662436051954,0.7737613802329485
2891,2891.TW,CTBC FH,Financial,0,0,False,3911,60,0,0.00020924917072118461,4.762137160567853e-07,0.00014779799635538036,0.036549003663634984,0.0837150835676032,0.10337734597280814,0.8033604628633023,0.9387642194173096,11536.385312483408,0.0005524575984952239,0.00039250977941915604,40.750021391253455,2010-01-05,2025-12-30,1058666512384.0,27.68803122491232,0.638,48160243.0,17.690044404633174,53.8,0.2339832467537944,0.6941951163554408
2303,2303.TW,UMC,Tech_Foundry,1,0,False,3911,60,0,0.00017103036074520651,2.474102853981771e-07,0.0004312949123237969,0.04927736312610116,0.04927888942854485,0.049278347924153885,0.8942170923534223,0.9681351557440441,10194.655889113536,0.0006963723508173637,0.00026635736360168283,161.44287561681062,2010-01-05,2025-12-30,757806989312.0,27.35369455865016,1.011,93437466.0,18.352802957669613,60.2,0.26593923085654103,0.904856100478001
2412,2412.TW,Chunghwa Tel,Telecom,0,0,False,3911,60,0,2.665893589441433e-05,1.0105919480945962e-07,-1.958757936140919e-05,0.04990206382024728,0.04990225773799664,0.049902257737863116,0.8992164948931767,0.9740698815001049,13457.537560692494,4.353906826596337e-05,6.562731307192281e-05,-33.6570914944397,2010-01-05,2025-12-30,1047255318528.0,27.677193875326427,0.11,8170711.0,15.916066488753463,135.0,0.04825168167325402,0.18467684031040912
3711,3711.TW,ASE,Tech_Packaging,0,0,True,3911,30,0,0.0002668636378649924,4.4550407561854763e-07,0.0009438084647611488,0.04789878423351022,0.04789858023720986,0.04789978930979976,0.8831803475122971,0.9550288224044069,9848.759772765701,0.001421110970321646,0.00043818058491708144,224.3208437887699,2010-01-05,2025-12-30,1844340457472.0,28.243142853886464,1.183,19040528.0,16.76208031803543,421.0,0.2772525521223042,1.0255199623209519
