strategy,n_days,n_years,total_return,cagr,ann_vol,sharpe,mdd,calmar,total_turnover,annual_turnover,n_rebalances,max_single_rebalance_turnover,total_cost_drag,annual_cost_drag,avg_hhi,avg_effective_n,avg_max_weight,max_weight_ever
equal_weight,4585,18.19,2.420668,0.069931,0.11499,0.645446,-0.344174,0.203185,5.661527,0.311168,219,0.089868,0.002831,0.000156,0.090982,10.991229,0.094538,0.117109
inverse_vol,4585,18.19,1.771415,0.057625,0.084814,0.703084,-0.243776,0.236385,7.740031,0.425406,219,0.256015,0.00387,0.000213,0.117924,8.525365,0.195225,0.274116
erc_risk_parity,4585,18.19,1.587775,0.053647,0.074,0.743281,-0.203631,0.263453,9.957588,0.547287,219,0.389537,0.004979,0.000274,0.134283,7.717938,0.241076,0.496213
min_variance,4585,18.19,0.674111,0.028726,0.05561,0.537119,-0.177542,0.161797,25.34901,1.393228,219,0.696256,0.012675,0.000697,0.425563,2.497647,0.555696,0.837521
hrp,4585,18.19,1.037647,0.039897,0.064021,0.643151,-0.201395,0.198103,23.934424,1.31548,219,0.750112,0.011967,0.000658,0.235794,4.495697,0.3628,0.634868
herc_erc,4585,18.19,1.149518,0.042956,0.064411,0.685261,-0.201761,0.212907,28.064546,1.542479,219,0.750626,0.014032,0.000771,0.231831,4.567977,0.366355,0.613257
nco_minvar,4585,18.19,0.59052,0.025834,0.061129,0.447895,-0.218783,0.118079,21.042724,1.156547,219,1.096961,0.010521,0.000578,0.415194,2.549253,0.529282,0.860299
schur_block_mv,4585,18.19,0.722208,0.030328,0.060807,0.521829,-0.188469,0.16092,30.753882,1.69029,219,1.03706,0.015377,0.000845,0.378354,2.848033,0.493517,0.89503
