Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC
2008-04-11,0.02114181104857583,0.007992734438353395,0.0,8.326220866801451e-05,0.0,3.8708211974458264e-17,0.26088150751514044,0.29696261736277435,0.3141469070298148,0.04939272309334092,0.04939843730333235
2008-05-01,0.021576405557805614,0.005304792534758229,0.0,0.0,6.872610051285919e-18,3.114514323459303e-17,0.261576545241639,0.2994844766212166,0.3154723635998329,0.048004911159859574,0.04858050528488822
2008-06-02,0.017375104894466722,0.0033195062059523557,0.0,0.008238270717091494,5.333124772723368e-19,1.5613791730139285e-17,0.264803052912018,0.2977430800295485,0.3141677298322781,0.046903889689024335,0.047449365719620475
2008-07-01,0.017340656328300473,0.0005642584929424359,1.4129358840528214e-18,0.009703196187071408,0.0,0.0,0.25903925038746756,0.3070290681370867,0.31866556039421823,0.04527710712624152,0.04238090294667163
2008-08-01,0.01342207165975136,0.004567137783364493,0.0,0.012005642422739023,1.1926044127864234e-18,0.0,0.2485516441824773,0.2942232026780722,0.3472261865406261,0.044636596055843754,0.03536751867712579
2008-09-02,0.019082370843188118,0.0036113921462948458,9.723008280031249e-19,0.009832783367273723,0.0,0.0,0.246564592846145,0.2953320070204929,0.3498242143735877,0.043256945150924174,0.03249569425209367
2008-10-01,0.042890197951229,0.01519850675242069,1.1625004212525683e-18,0.0,0.0,0.0,0.606470503830765,0.12001335428616725,0.12389331509350994,0.04277628505221784,0.04875783703369036
2008-11-03,0.0,0.014299038073965304,0.018885806241135544,0.0,2.6349969136748342e-18,0.0,0.7160002674316479,0.1384276566447177,0.030583627210495394,0.04155344430424122,0.040250160093796956
2008-12-01,1.0958329285234693e-18,0.011862779821143995,0.011302083449677399,0.0,1.772181954540257e-19,3.9612794750308064e-17,0.7136006707063653,0.15639618980197884,0.02651941865361292,0.042832865504021135,0.037485992063200316
2009-01-02,1.9187352109517004e-19,0.01580420047626678,0.005224845439042204,2.6143676987861667e-18,0.0,2.0118095142305495e-17,0.7248307662903297,0.15584892014886462,0.01983072130481128,0.04261367313498824,0.03584687320569732
2009-02-02,3.0410602793099294e-18,0.016095340210491714,0.0027481935580784193,0.0,1.502221864597309e-18,0.0,0.7274803919019517,0.1569188458905921,0.01640643327776968,0.04630804803717755,0.0340427471239388
2009-03-02,5.664668011027227e-18,0.01800748831615491,0.0007830912529299435,0.0,0.0,1.0080905180136703e-17,0.7264057730051353,0.16568696387100174,0.013913550632727631,0.03953345391359356,0.035669679008456946
2009-04-01,2.1467088032469997e-18,0.016113314200404797,9.56397962365079e-18,0.0,2.335223249086031e-19,0.0,0.7360754271674165,0.16726334984022376,0.010861809117696145,0.03417257149028214,0.03551352818397663
2009-05-01,6.99369453121379e-18,0.01612860317455948,0.0,0.0,2.105022015654596e-18,0.0,0.7348974107563256,0.17408447990890047,0.0072361856279063485,0.03252982133987468,0.0351234991924334
2009-06-01,0.0,0.015297838317381667,0.0,3.2814536147613592e-18,3.3502884397380517e-19,1.016989901311443e-16,0.7328184544937235,0.17351824978978164,0.006387181003418632,0.03809010744871541,0.03388816894697903
2009-07-01,3.608798965709378e-18,0.013847772052453045,0.0,4.096022011050513e-18,0.0,7.934820694995983e-17,0.7147051105047122,0.1793235533007391,0.0069506537263393856,0.04886705512966363,0.03630585528609264
2009-08-03,0.0,0.013147987030764594,5.453733680019409e-18,9.451092579152129e-19,0.0,2.944063416145307e-17,0.7071404215417129,0.18151558536699178,0.005619459770205515,0.05524881329397656,0.037327732996348666
2009-09-01,7.394486147303982e-18,0.012378964925652576,1.2801062638496148e-18,1.7934282731938177e-18,6.764487219636751e-19,0.0,0.6979403743443566,0.1824425923695399,0.006186019349913535,0.062335075433495035,0.03871697357704228
2009-10-01,1.8793923460672674e-18,0.009177056983276003,0.0,0.0,0.0,3.094689371515898e-17,0.6371310583033798,0.26374963276829594,0.0,0.06858257047724814,0.021359681467800137
2009-11-02,0.0,0.008090649445105092,0.0,0.0,0.0,0.0,0.40554742078549644,0.3782430144271686,0.10751182634259963,0.07278035796954897,0.0278267310300814
2009-12-01,2.152390772371372e-19,0.019371441822672995,0.0,0.0,2.2065766822783837e-18,6.345518914983373e-17,0.41827627600577216,0.34788438438482316,0.10236800946085073,0.08227122518397656,0.02982866314190435
2010-01-04,1.1929680714018797e-17,0.016608273526154634,0.0,0.0,0.0,1.0573562981148911e-17,0.3676466073245308,0.39425890150556053,0.11343424831675139,0.08018714338167503,0.02786482594532766
2010-02-01,0.0,0.012369143198222077,0.0,0.0,2.642972595090277e-18,0.0,0.3337501845375975,0.4347917242929164,0.12911518246594253,0.06216589280183904,0.027807872703482617
2010-03-01,5.853370614915733e-18,0.013431587376882707,3.3321490608095726e-18,0.0,0.0,0.0,0.3572462680881228,0.4156500787023517,0.12461446247011994,0.06699976683052686,0.0220578365319958
2010-04-01,1.117611730474019e-18,0.022691909574135426,0.0,1.6590429349874286e-17,0.0,4.941914739020332e-18,0.2780193015903318,0.4631063894982242,0.1652964825165413,0.06487882273196915,0.0060070940887981894
2010-05-03,0.0001560947130203823,0.020983887121921608,0.0,0.0,3.235378969626856e-18,0.0,0.25218658726572574,0.4685600592346678,0.2026322493211396,0.05456911661193756,0.000912005731587244
2010-06-01,1.5475684643783635e-17,0.0,0.0,0.0,0.0,3.4162421150684253e-17,0.27659402489647744,0.4522282665888082,0.20395614913162097,0.061656398435039755,0.00556516094805362
2010-07-01,0.0,2.249284151939364e-18,3.1427970412586074e-18,2.025905929609554e-18,2.6551088412935127e-18,0.0,0.294528824537367,0.4441332009935696,0.20125515115070877,0.05530792952115296,0.004774893797201706
2010-08-02,3.438582944387845e-18,0.0,8.251327602933478e-18,1.9577384340661124e-18,0.0,5.192891805767355e-17,0.33228095717227696,0.4160936220734561,0.20795287360054923,0.03821323563815171,0.005459311515565997
2010-09-01,3.732915569691325e-18,0.0,0.0,1.3677179086257037e-18,1.5481083960192029e-18,0.0,0.28150681625597823,0.46008752755675225,0.21786879650481716,0.04025467650019991,0.000282183182252469
2010-10-01,1.612276741086028e-17,0.0,0.0,0.0,4.424704494001807e-18,4.7164567751177436e-18,0.25363075224733034,0.4627412229622641,0.2451396359911608,0.03848838879924482,0.0
2010-11-01,0.0,8.1405559811382525e-19,1.0761264176204813e-18,1.382620915173777e-18,1.516193979011376e-19,0.0,0.21693348208006472,0.4820878753258287,0.2664710060486044,0.03450763654550226,2.2188168473264248e-17
2010-12-01,0.0,0.0,4.500961454597506e-18,0.0,7.776463759471e-18,1.376514140017634e-17,0.20188225028672444,0.49650918878706046,0.27558541816940196,0.026023142756813136,1.1473547868848326e-17
2011-01-03,0.0,0.0,0.0,0.0,2.341165759517239e-18,0.0,0.15828320826914724,0.5171892165647285,0.29270351061027783,0.03182406455584651,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,2.543384268817035e-17,0.13758509721217152,0.5168415663110756,0.3054996938170521,0.04007364265970083,0.0
2011-03-01,6.163814522688054e-18,0.0,0.0,0.0,0.0,1.6250067528656274e-17,0.11591413361130869,0.5066181211946873,0.3222029406331145,0.05526480456088961,4.247890839102191e-17
2011-04-01,0.0,0.0,0.0,1.8643060568370824e-19,0.0,8.976632703518013e-18,0.10548181489380637,0.5099689102527002,0.3217480767609435,0.06280119809254991,4.9116666905468495e-17
2011-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.10355538710578037,0.505644173319124,0.3272511704079043,0.06354926916719139,1.8662818212985846e-17
2011-06-01,5.372901055424642e-19,0.0,0.0,0.0,0.0,0.0,0.003973939195115534,0.51373810283101,0.45277366601970903,0.029514291954165484,4.8304382126531e-17
2011-07-01,0.0,0.0,2.279639178121846e-17,0.0,5.775594123547175e-18,3.444396721072185e-17,2.615130948084462e-17,0.5384001263231193,0.43206539078367573,0.029534482893204907,4.3063077383634935e-17
2011-08-01,1.7117406279617243e-17,7.764788138851466e-18,2.4900118474686393e-18,2.496865045711433e-18,0.0,1.2995048566681595e-17,0.0,0.5151834117137917,0.44852331370143184,0.036293274584776526,3.987007772638312e-18
2011-09-01,2.1613352457697187e-18,0.0,2.2304140388319837e-18,1.8035218741986394e-18,5.950322973294214e-19,0.0,0.09563315202646126,0.5243585905052099,0.3188030220109413,0.041972249174177176,0.019232986283210393
2011-10-03,6.731635970650855e-18,1.6669975544261887e-18,7.737038140901669e-18,0.0,0.0,0.0,0.0940363311265409,0.5691742082499699,0.30199335612438866,0.021160782616820074,0.013635321882280562
2011-11-01,2.1707475869392624e-18,0.0,9.645355067817252e-18,0.0,2.1304874935533434e-18,0.0,0.08988775478354921,0.6250301440726745,0.24782501046919653,0.014330462686227738,0.02292662798835192
2011-12-01,0.0,0.0,6.278931694636797e-18,8.239639949061725e-18,1.1490252577354945e-18,1.652846095631407e-17,0.12662030651959053,0.6204378474543903,0.21561452645154053,0.006509369037494155,0.030817950536984474
