strategy,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC
equal_weight,0.09114524388105855,0.09134377075085241,0.09104369518469144,0.09090825038536816,0.09095884599054861,0.09054140437527114,0.09069295181914158,0.09071069974857247,0.09081942515795143,0.09114960661590514,0.09068610609063905
inverse_vol,0.06916137187394746,0.057696050820350106,0.052154957471035,0.06335873246725336,0.051414764426745904,0.07913284839005019,0.17548224644384472,0.16564634403641904,0.14846664231200343,0.07198974824250733,0.06549629351584349
erc_risk_parity,0.0571466113891536,0.04943668017332637,0.04579181806773015,0.050687942485670615,0.041594373190464454,0.11216664629718136,0.24042334828018233,0.13555700713214852,0.11634939901327057,0.07889463051421339,0.07195154345665859
min_variance,0.028957017996246004,0.012244623980230572,0.004468372187442738,0.002167596036808943,0.002047082215966049,9.3411904251181e-18,0.48565429713239805,0.08073362792785804,0.32317492294756806,0.013157160740084422,0.04739529883539717
hrp,0.02469392665844309,0.021955619320797603,0.01695522600290461,0.024024856514099246,0.01850238128364181,0.051982068426114574,0.2969035390443615,0.2560331888479384,0.1810958490353087,0.06300032405637294,0.04485302081001746
herc_erc,0.027778808033111467,0.025475268628081124,0.01792240120416641,0.025435487115953993,0.01842318949604378,0.05202046695037113,0.3025029010258771,0.2650506890859609,0.14423367057499714,0.0715913447647098,0.049565773120727144
nco_minvar,0.004813216831993408,0.003683881303024545,0.00015605965537335734,0.0011180494562530966,0.003507487999794078,1.2176682180917282e-17,0.3345609610930083,0.24481438589320825,0.34891525524992,0.019150343773019232,0.03928035874440566
schur_block_mv,0.008646536642393253,0.00817408800059135,0.0014224612504981442,0.0029597052102254932,0.001383912105880575,7.617237833057586e-07,0.35941219968737353,0.21471289110896485,0.3257888253944541,0.04120699495416841,0.036291623921667016
