Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,DBC
2008-04-11,0.023534426301021323,0.004897178247223344,0.0,0.0,0.0,0.0,0.33416339680644397,0.24215677948349607,0.3117517276483208,0.04174313080810846,0.04175336070538601
2008-05-01,0.02185909867222981,0.003942244474606524,0.0,0.0,0.0,0.0,0.330818913116522,0.24941833598549612,0.3125709062799855,0.040173883075900634,0.04121661839525928
2008-06-02,0.023657189609581856,0.004043339396576226,0.0001229247525201754,0.0003625318078322075,0.0,0.0,0.33187101038997524,0.2512038460519909,0.31390325758900967,0.03692310947992025,0.037912790922593455
2008-07-01,0.02372100099417431,0.0027338515233486823,0.0003548948356946123,0.0010389262899889776,0.0,0.0,0.3101424314221416,0.27702441755445034,0.32291111550212065,0.03206212717230833,0.03001123470577251
2008-08-01,0.0246503713225656,0.0029677751012404377,0.0006153763410792679,0.002186103290010698,0.0,0.0,0.2965970203617151,0.2752573960368815,0.3434834934688783,0.03026343055218788,0.023979033525441285
2008-09-02,0.009303083969558985,0.0009272601754991975,0.0,0.025833595597204783,0.0,0.0,0.28279976559669406,0.2852493179947489,0.3504027674093203,0.02597279713291563,0.01951141212405818
2008-10-01,0.15756595719643138,0.03497030883567961,0.0,0.005674643477700048,0.0031483584896799875,0.0,0.6313921936440814,0.030665325715738233,0.08962930263496671,0.02194278796591367,0.02501112203980905
2008-11-03,0.010694788871649616,0.010201401664424762,0.013061432111157002,0.016974407081682043,0.0,0.0,0.7039507266126644,0.13654046460766495,0.05540398630997743,0.027009967365105747,0.02616282537567398
2008-12-01,0.0,0.013411851793122867,0.004724487294864431,0.0,0.0,0.0,0.6755837011936752,0.1296263986216673,0.08710422517331172,0.053726787374620215,0.03582254854873834
2009-01-02,0.002833715032461256,0.004261526836298983,0.029284939033837658,0.0006559780132212337,0.0,0.0,0.7552427650661503,0.04984055490600451,0.014959071732392044,0.08059110264310392,0.062330346736530116
2009-02-02,0.0027438262048398807,0.0044703020138983935,0.027449320487827097,0.0005503011579348633,0.0,0.0,0.7583884415543424,0.052230233723434986,0.013552251706712624,0.08126772908952186,0.05934759406148806
2009-03-02,0.002693880506711591,0.004587797469407456,0.026684893307670727,0.0005256810236692379,0.0,0.0,0.7554892358576895,0.05546186930231028,0.01329965047480888,0.08158405076138173,0.059672941296350694
2009-04-01,0.0026455042953851026,0.0060320660081830055,0.007063174808023855,0.00017264262418814703,0.0,0.0,0.7021410272760824,0.13556546101489828,0.05767843925721671,0.05580064065538176,0.03290104406064077
2009-05-01,0.002788976944854614,0.0072246113280668815,0.005996309705951758,0.0001933739000363328,0.0,0.0,0.6999473012335659,0.1380092817495545,0.055885166276058315,0.05757638277120614,0.0323785960907056
2009-06-01,0.002731541437833882,0.007453537588217411,0.00558743920505485,0.0001312215411166297,0.0,0.0,0.6950068397138361,0.14134538580169273,0.05365479581568104,0.06166514432623792,0.03242409457032943
2009-07-01,0.0025523542744208963,0.007824828868397578,0.005187695920604881,9.615196569357894e-05,0.0,0.0,0.6820543993265628,0.148733728492373,0.05117552827935094,0.06710250099857017,0.03527281187402617
2009-08-03,0.002400076730940418,0.00775215756139851,0.004926375864902919,5.085405959211219e-05,0.0,0.0,0.6765193721675353,0.1528212409974155,0.04827775488188243,0.07042525676502027,0.03682691097131255
2009-09-01,0.0024762335484525702,0.008102506774652771,0.0048448166199521366,1.6515431708515277e-05,0.0,0.0,0.6671518192413703,0.1550052824332479,0.04774162155781034,0.07607323089688699,0.03858797349591841
2009-10-01,0.004010377540611829,0.015909588157631636,0.009573709867742891,0.00018419052282320163,0.0,0.0,0.6563400177362685,0.26836333018432174,0.0032100636823742595,0.0,0.04240872230822597
2009-11-02,0.025873708170130127,0.0653746108449841,0.0,0.0,0.0,0.0,0.40997001513253867,0.3823678509753046,0.06410093059255105,0.05231288428449148,0.0
