Date,Close,Volume
2018-01-02,150.05722045898438,32573300
2018-01-03,151.51531982421875,29383600
2018-01-04,151.7804412841797,24776100
2018-01-05,153.3047637939453,26992300
2018-01-08,153.90122985839844,23159100
2018-01-09,153.91067504882812,24782400
2018-01-10,153.5508575439453,34004000
2018-01-11,154.60183715820312,20473500
2018-01-12,155.73802185058594,37762700
2018-01-16,155.29299926757812,41231800
2018-01-17,156.96881103515625,33849900
2018-01-18,156.9971923828125,26432200
2018-01-19,157.4895782470703,38937600
2018-01-22,159.17489624023438,26081400
2018-01-23,160.4908905029297,37989700
2018-01-24,159.4493865966797,54287400
2018-01-25,159.3926239013672,28925000
2018-01-26,161.83534240722656,32038200
2018-01-29,161.0495147705078,37277800
2018-01-30,159.72398376464844,44987700
2018-01-31,160.38677978515625,42449200
2018-02-01,159.02334594726562,38037900
2018-02-02,155.8516387939453,68478100
2018-02-05,149.70697021484375,105372200
2018-02-06,153.67396545410156,118537900
2018-02-07,151.6857147216797,91028300
2018-02-08,145.28546142578125,94184800
2018-02-09,147.79443359375,113836600
2018-02-12,150.41702270507812,63050600
2018-02-13,151.19332885742188,31785600
2018-02-14,154.0242919921875,52107400
2018-02-15,156.88360595703125,51633900
2018-02-16,156.18295288085938,62256300
2018-02-20,156.49545288085938,36785600
2018-02-21,156.0504608154297,41161800
2018-02-22,156.03147888183594,37074400
2018-02-23,159.22218322753906,50096900
2018-02-26,161.33352661132812,39266700
2018-02-27,159.33580017089844,42209900
2018-02-28,158.31326293945312,42936300
2018-03-01,155.728515625,76809900
2018-03-02,157.15818786621094,57445100
2018-03-05,158.90028381347656,38540200
2018-03-06,159.572509765625,29480900
2018-03-07,159.94180297851562,34609400
2018-03-08,160.82228088378906,25828400
2018-03-09,163.94667053222656,38310500
2018-03-12,164.81771850585938,37635000
2018-03-13,162.57382202148438,55638900
2018-03-14,162.54547119140625,40536400
2018-03-15,162.4034423828125,28810400
2018-03-16,161.92054748535156,31176700
2018-03-19,158.46575927734375,71395100
2018-03-20,158.98731994628906,34075700
2018-03-21,158.29507446289062,43863500
2018-03-22,154.3879852294922,66607300
2018-03-23,150.3196563720703,80110400
2018-03-26,155.90530395507812,57481500
2018-03-27,150.86019897460938,78889100
2018-03-28,149.12478637695312,89369700
2018-03-29,151.85598754882812,68692600
2018-04-02,147.4746551513672,85549400
2018-04-03,149.1342010498047,64090000
2018-04-04,151.48609924316406,65768700
2018-04-05,152.3490753173828,43054900
2018-04-06,148.53675842285156,59870900
2018-04-09,149.57997131347656,41810400
2018-04-10,152.880126953125,48296800
2018-04-11,151.99819946289062,41622100
2018-04-12,153.8284912109375,30467900
2018-04-13,153.03182983398438,44604900
2018-04-16,154.19833374023438,28180800
2018-04-17,157.51751708984375,35536100
2018-04-18,157.8399200439453,29573900
2018-04-19,156.3889923095703,34705700
2018-04-20,153.91378784179688,49197100
2018-04-23,153.5249481201172,33040600
2018-04-24,150.2722625732422,70256800
2018-04-25,150.45240783691406,52089300
2018-04-26,153.61984252929688,43005500
2018-04-27,153.71470642089844,51043400
2018-04-30,152.6240997314453,35615300
2018-05-01,154.36903381347656,36513500
2018-05-02,153.45860290527344,38646800
2018-05-03,153.4396209716797,60337100
2018-05-04,156.3509979248047,41543200
2018-05-07,157.65025329589844,32500200
2018-05-08,157.4890594482422,26040200
2018-05-09,159.2054901123047,29122700
2018-05-10,160.85565185546875,27067600
2018-05-11,160.703857421875,24688800
2018-05-14,160.97886657714844,21821700
2018-05-15,159.1959991455078,49361600
2018-05-16,160.24868774414062,22941200
2018-05-17,159.6322479248047,27480200
2018-05-18,158.80722045898438,26217900
2018-05-21,159.69863891601562,22954600
2018-05-22,159.49000549316406,19477700
2018-05-23,160.83660888671875,26557800
2018-05-24,160.78921508789062,27696500
2018-05-25,160.950439453125,27460500
2018-05-29,160.23915100097656,41220500
2018-05-30,161.38662719726562,22665800
2018-05-31,161.28236389160156,35670900
2018-06-01,163.8143768310547,45543300
2018-06-04,165.2937469482422,20459600
2018-06-05,165.8058624267578,24779300
2018-06-06,166.773193359375,25036600
2018-06-07,165.4170379638672,39600300
2018-06-08,165.426513671875,31780300
2018-06-11,165.8722686767578,22319700
