Date,Close,Volume
2018-01-02,235.95431518554688,86655700
2018-01-03,237.44668579101562,90070400
2018-01-04,238.4474639892578,80636400
2018-01-05,240.0365753173828,83524000
2018-01-08,240.47557067871094,57319200
2018-01-09,241.019775390625,57254000
2018-01-10,240.65109252929688,69574300
2018-01-11,242.40687561035156,62361500
2018-01-12,243.9871368408203,90816100
2018-01-16,243.153076171875,106555100
2018-01-17,245.47076416015625,113258800
2018-01-18,245.05821228027344,100728000
2018-01-19,246.173095703125,140920100
2018-01-22,248.17462158203125,91322400
2018-01-23,248.7014617919922,97084700
2018-01-24,248.60484313964844,134816100
2018-01-25,248.71023559570312,84587300
2018-01-26,251.58981323242188,107743100
2018-01-29,249.92181396484375,90118300
2018-01-30,247.35829162597656,131796400
2018-01-31,247.4811248779297,108364800
2018-02-01,247.2002410888672,90102500
2018-02-02,241.81874084472656,173174800
2018-02-05,231.70526123046875,294681800
2018-02-06,236.27040100097656,355026800
2018-02-07,234.9885711669922,167376100
2018-02-08,226.1744384765625,246449500
2018-02-09,229.5719451904297,283565300
2018-02-12,232.943115234375,143736000
2018-02-13,233.52247619628906,81223600
2018-02-14,236.67417907714844,120735700
2018-02-15,239.69419860839844,111200300
2018-02-16,239.764404296875,160420100
2018-02-20,238.26321411132812,86369700
2018-02-21,237.07798767089844,98883700
2018-02-22,237.38526916503906,110511300
2018-02-23,241.1689910888672,92766400
2018-02-26,243.96958923339844,86491400
2018-02-27,240.92318725585938,99099200
2018-02-28,238.48272705078125,121907800
2018-03-01,235.01492309570312,176855100
2018-03-02,236.2263946533203,139083200
2018-03-05,238.95672607421875,97307400
2018-03-06,239.56251525878906,79213200
2018-03-07,239.4746551513672,87063500
2018-03-08,240.633544921875,66901200
2018-03-09,244.8210906982422,113625300
2018-03-12,244.51393127441406,71924800
2018-03-13,242.93365478515625,91968900
2018-03-14,241.6870880126953,105895100
2018-03-15,241.42359924316406,83433000
2018-03-16,241.6854248046875,100343700
2018-03-19,238.41534423828125,109208400
2018-03-20,238.82078552246094,59757300
2018-03-21,238.3625030517578,78709600
2018-03-22,232.4040985107422,148785900
2018-03-23,227.450439453125,183534800
2018-03-26,233.67327880859375,141956100
2018-03-27,229.69810485839844,129941400
2018-03-28,229.01939392089844,146452300
2018-03-29,231.94573974609375,111601600
2018-04-02,226.93923950195312,186286300
2018-04-03,229.847900390625,119956900
2018-04-04,232.30709838867188,123715300
2018-04-05,234.1404571533203,82652600
2018-04-06,228.9224395751953,179521200
2018-04-09,230.05067443847656,105442900
2018-04-10,233.70855712890625,103529000
2018-04-11,232.4833984375,91140200
2018-04-12,234.3960418701172,68890500
2018-04-13,233.70855712890625,85079200
2018-04-16,235.63002014160156,63405300
2018-04-17,238.15090942382812,64682000
2018-04-18,238.32723999023438,57303900
2018-04-19,237.00509643554688,77655900
2018-04-20,234.99545288085938,99953100
2018-04-23,234.96017456054688,65558000
2018-04-24,231.79588317871094,112885500
2018-04-25,232.36883544921875,103840900
2018-04-26,234.7310333251953,67731900
2018-04-27,234.95135498046875,57053600
2018-04-30,233.14450073242188,82182300
2018-05-01,233.5587158203125,74203400
2018-05-02,231.9898223876953,86368900
2018-05-03,231.47860717773438,136311500
2018-05-04,234.4754180908203,91222100
2018-05-07,235.26873779296875,55304900
2018-05-08,235.26873779296875,67499200
2018-05-09,237.542724609375,59666100
2018-05-10,239.76394653320312,72063900
2018-05-11,240.49554443359375,59871500
2018-05-14,240.61009216308594,54790600
2018-05-15,238.9530487060547,87036100
2018-05-16,239.95782470703125,53942600
2018-05-17,239.75511169433594,56536400
2018-05-18,239.15576171875,64368000
2018-05-21,240.9538116455078,58025900
2018-05-22,240.28392028808594,52966400
2018-05-23,240.94497680664062,64694200
2018-05-24,240.45140075683594,76043800
2018-05-25,239.87850952148438,56374800
2018-05-29,237.11964416503906,115908600
2018-05-30,240.28392028808594,69678400
2018-05-31,238.81204223632812,93519900
2018-06-01,241.15660095214844,71258400
2018-06-04,242.30235290527344,45385200
2018-06-05,242.47869873046875,51135000
2018-06-06,244.50596618652344,62732200
2018-06-07,244.47955322265625,72969400
2018-06-08,245.20223999023438,72139700
2018-06-11,245.52845764160156,58892500
2018-06-12,245.8457489013672,72329000
2018-06-13,245.06129455566406,79070600
2018-06-14,245.6782684326172,77097600
2018-06-15,245.36495971679688,120041600
2018-06-18,244.86016845703125,52917600
2018-06-19,243.92172241210938,97531500
2018-06-20,244.33782958984375,53785500
2018-06-21,242.80612182617188,71061400
2018-06-22,243.2488250732422,54898500
2018-06-25,239.9375457763672,137854200
2018-06-26,240.46873474121094,68547400
2018-06-27,238.47662353515625,105110700
2018-06-28,239.84010314941406,76650500
2018-06-29,240.1853790283203,97592500
2018-07-02,240.69888305664062,63554800
2018-07-03,239.84896850585938,42187100
2018-07-05,241.80557250976562,56925900
2018-07-06,243.8507843017578,66493700
2018-07-09,246.0465850830078,50550400
2018-07-10,246.93197631835938,51966800
2018-07-11,245.1257781982422,77054700
2018-07-12,247.34812927246094,60124700
2018-07-13,247.54283142089844,48216000
2018-07-16,247.321533203125,48201000
2018-07-17,248.322021484375,52315500
2018-07-18,248.84439086914062,44593500
2018-07-19,247.90585327148438,61412100
2018-07-20,247.6225128173828,82337700
2018-07-23,248.0828857421875,47047600
