symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates
AMAG,0.0442698324971,19695717,3467,21
AMBA,0.0984997911071,11509727,892,2
AMBC,0.0339649678643,5215537,1889,21
AMBR,0.0245150725077,15555799,2910,21
AMC,0.040982207797,12931406,2450,21
AMCC,0.011973147931,22465591,1760,21
AMCX,0.0797416122948,616587,259,2
AMED,0.0812238147721,3077657,277,2
AMID,0.0766540691517,13247663,2861,21
AMKR,0.010819870445,1084173,258,2
AMNB,0.468840817079,7660607,1075,21
AMOT,0.11647393722,22986044,1711,21
AMPE,0.0207128478942,1600379,225,2
AMPH,0.0355840358312,26885371,3381,21
AMRB,0.150352019206,1773445,580,21
AMRC,0.0230159667998,4892740,1591,21
AMRI,0.0346607160438,9297755,2318,21
AMRK,0.145910434224,3335677,1118,21
AMRS,0.00718521917514,6457028,384,2
AMS,0.0786307428776,7837630,762,21
AMSC,0.0488767967877,2473261,1487,21
AMSF,0.145444942216,8936226,1816,21
AMSG,0.04602618684,5484480,458,2
AMSWA,0.042898170448,3009316,1434,21
AMTX,0.0337569646061,842632,142,2
AMWD,0.196838598635,21892015,2670,21
ANAT,0.853457171781,1006089,104,2
ANCB,0.744134636175,2241203,594,21
ANCX,0.172651940393,1669275,887,21
ANDE,0.143821973662,12500579,1935,21
ANET,0.0849829232025,1829213,426,2
ANFI,0.0647654219926,3791488,1913,21
ANGI,0.0265512132132,15064706,2597,21
ANGO,0.0397343247907,5856295,1844,21
ANIK,0.145617241047,15905275,2102,21
ANTH,0.0185125575214,13895051,2941,21
ANW,0.0307754615643,13377173,3355,21
AOI,0.14006805499,18886277,1675,21
AOSL,0.0508984715309,8999920,2552,21
AP,0.0961042609677,2488308,1214,21
APAM,0.0371194955082,19479364,3156,21
APDN,0.0549043697978,3021078,1524,21
APEI,0.0782498529881,11350102,1641,21
APHB,0.0395236756916,2178420,304,2
APIC,0.026725504469,26055171,2880,21
APLP,0.125264533105,27518036,2218,21
APO,0.0146212266888,6199714,472,2
APOG,0.094898043093,23650025,3133,21
APPF,0.138849492347,6896638,1271,21
APPS,0.0150642838803,4619046,413,2
APRI,0.0305296697303,1787630,227,2
APT,0.0355722937581,13803413,2248,21
APTO,0.0425344059272,2273181,1310,21
APU,0.0986898348215,922699,324,2
APWC,0.0869858004979,449058,248,20
AQMS,0.0456860950352,6446345,2156,21
AQXP,0.0558056708909,45032148,4062,21
ARAY,0.0144567604911,12620740,2531,21
ARC,0.0415969650626,2024391,1343,21
ARCB,0.0651394823935,6359812,1761,21
ARCO,0.0153544867478,6757935,2349,21
ARCW,0.0891445662407,5021956,1203,21
ARCX,0.138487713742,17281324,1738,21
ARDM,0.179927868907,7449406,1059,21
ARDX,0.0479609345965,9696334,2309,21
ARES,0.206890560232,18643254,1715,21
AREX,0.017759084547,6030763,481,2
ARGS,0.0453547777585,5673131,2551,21
ARII,0.0997697312335,12540772,2277,21
ARIS,0.0377969260533,37039744,1527,21
ARKR,0.634517844739,543034,433,21
ARL,0.177799185009,10975702,1135,21
ARLP,0.0608831522547,55660154,3570,21
ARLZ,0.0216162048628,75459818,5513,21
AROC,0.0278927206966,4428693,1921,21
AROW,0.263844823596,10592044,1455,21
ARQL,0.0222406729966,206004,121,2
ARTNA,0.215019340963,20173685,1788,21
ARTW,0.171985824168,239217,239,21
ARTX,0.0366194282133,9915410,2521,21
ARWA,0.0559377896968,823706,125,21
ARWR,0.0210981514574,26493358,3996,21
ASB,0.0125299128849,7702567,2141,21
ASBB,0.759078660624,212696,287,21
ASC,0.025343049815,8596246,2755,21
ASCMA,0.121460083289,22065325,2043,21
ASEI,0.0548254537519,1594649,448,6
ASFI,0.518809608291,2891763,680,21
ASGN,0.0567206922551,14477987,2430,21
ASM,0.016085288944,6517214,455,2
ASMB,0.125664731413,10031173,1267,21
ASPN,0.0392492267788,5037498,1330,21
ASPS,0.083298841982,18504635,2561,21
ASRV,0.0477053969925,1310730,749,21
AST,0.0267850535495,200847425,4666,21
ASTC,0.0462729482539,155258,134,2
ASTE,0.193433567643,21348976,2163,21
ASUR,0.0917877303061,7919350,1303,21
ASYS,0.0889689465509,7533672,1110,21
AT,0.0178281413124,11325744,2833,21
ATAX,0.0204542046309,14738119,2571,21
ATEN,0.0197369104413,6515636,2625,21
ATHX,0.0150236289757,1539360,259,2
ATLC,0.0907211998108,35939,135,21
ATLO,0.46519618462,968842,509,21
ATNI,0.190449557017,8650896,1614,21
ATNM,0.0175577991377,3794958,308,2
ATR,0.0934052396134,257519,204,2
ATRA,0.130619871145,20108720,2308,21
ATRC,0.0512937510398,9304444,2020,21
ATRI,7.01674001832,13523625,1419,21
ATRO,0.173884249106,11692695,1907,21
ATSG,0.022992973996,18313582,2202,21
ATTO,0.0726539691897,3430020,682,21
ATTU,0.0761706846064,14771393,1519,21
ATU,0.0201534344505,11948578,2601,21
AUBN,0.478950266219,11148529,342,21
AUDC,0.0238127666063,7597391,2274,21
AUMA,0.0271970669884,1535998,125,19
AUPH,0.0212797659707,5430945,480,2
AVA,0.0473053290987,4696798,2303,21
AVAV,0.0430188240593,11956045,2748,21
AVD,0.0410743984011,4973787,1662,21
AVEO,0.0284000966037,1049649,232,2
AVG,0.0104112187259,41316412,2645,21
AVGR,0.0300469199197,9675381,2601,21
AVHI,0.0719628947609,3693217,1706,21
AVID,0.0212987570955,13763487,3323,21
AVIR,0.0228715040777,77004,67,2
AVX,0.0206094613057,2075834,1509,21
AVXL,0.0285036707944,2057729,336,2
AWH,0.0234326141652,1131956,288,2
