Ticker_Symbol|Security_Name|Listing_Exchange|Effective_Date|Tick_Size_Pilot_Program_Group
DBD|Diebold|N|20160906|G1
DCO|Ducommun|N|20160906|C
DDC|Dominion Diamond Corporation|N|20160906|C
DDS|Dillards|N|20160906|C
DECK|Deckers Outdoor Corporation|N|20160906|C
DEL|Deltic Timber|N|20160906|C
DGI|DigitalGlobe Inc.|N|20160906|G2
DHX|DHI Group, Inc.|N|20160906|G1
DIN|DineEquity Inc.|N|20160906|C
DIT|Amcon Distributing|A|20160906|G3
DKL|Delek Logistics Partners, LP|N|20160906|G2
DLA|Delta Apparel Inc|A|20160906|C
DLNG|Dynagas LNG Partners LP|N|20160906|C
DM|Dominion Midstream Partners, LP|N|20160906|G1
DMD|Demand Media, Inc.|N|20160906|G2
DOOR|Masonite International Corp|N|20160906|G2
DPLO|Diplomat Pharmacy, Inc.|N|20160906|C
DRQ|Dril-quip|N|20160906|G1
DSX|Diana Shipping Inc|N|20160906|C
DV|DeVry Education Group Inc.|N|20160906|G3
DVD|Dover Motorsports Inc|N|20160906|G3
DW|Drew Industries Inc|N|20160906|G3
DXR|Daxor Corporation|A|20160906|C
DY|Dycom Industries|N|20160906|C
EBF|Ennis Inc|N|20160906|G3
EBS|Emergent Biosolutions Inc|N|20160906|C
ECOM|ChannelAdvisor Corporation|N|20160906|G1
ECT|Eca Marcellus Trust I|N|20160906|G3
EDE|Empire District Electric|N|20160906|C
EE|El Paso Electric|N|20160906|G3
EEQ|Enbridge Energy Management Llc|N|20160906|C
EFC|Ellington Financial L L C|N|20160906|C
EGAS|Gas Natural Inc|A|20160906|G1
EGL|Engility Holdings, Inc.|N|20160906|C
EIG|Employers Holdings Inc|N|20160906|G2
ELLI|Ellie Mae Inc|N|20160906|C
ELLO|Ellomay Capital Ltd|A|20160906|C
ELMD|Electromed Inc|A|20160906|C
ELY|Callaway Golf|N|20160906|C
EMAN|Emagin Corporation|A|20160906|G2
EMES|Emerge Energy Services LP|N|20160906|C
EMG|Emergent Capital, Inc.|N|20160906|C
ENLC|EnLink Midstream, LLC|N|20160906|G1
ENV|Envestnet Inc|N|20160906|G3
ENVA|Enova International, Inc|N|20160906|G2
ENZ|Enzo Biochem|N|20160906|C
EPM|Evolution Petroleum|A|20160906|G3
ERA|Era Group Inc.|N|20160906|C
ERN|Erin Energy Corp|A|20160906|G2
EROS|Eros International Plc|N|20160906|G2
ESE|ESCO Technologies Inc.|N|20160906|G2
ESL|Esterline Technologies|N|20160906|G1
ESNT|Essent Group Ltd.|N|20160906|C
ESP|Espey Mfg Elect|A|20160906|C
ESTE|Earthstone Energy Inc|A|20160906|C
ETH|Ethan Allen Interiors|N|20160906|G1
ETM|Entercom Communications|N|20160906|G2
EURN|Euronav NV|N|20160906|G1
EVA|Enviva Partners, LP|N|20160906|G3
EVBN|Evans Bancorp Inc|A|20160906|G1
EVC|Entravision Communications|N|20160906|G3
EVDY|Everyday Health, Inc.|N|20160906|G2
EVGN|Evogene Ltd.|N|20160906|C
EVH|Evolent Health, Inc|N|20160906|G3
EVI|Envirostar Inc|A|20160906|G2
EVR|Evercore Partners|N|20160906|G1
EVTC|Evertec, Inc.|N|20160906|G1
EXAR|Exar Corporation|N|20160906|C
EXTN|Exterran Corporation|N|20160906|C
FBC|Flagstar Bancorp Inc|N|20160906|C
FBP|First Bancorp|N|20160906|C
FC|Franklin Covey Co|N|20160906|G2
FCB|FCB Financial Holdings, Inc.|N|20160906|G2
FCF|First Commonwealth Fin|N|20160906|C
FCFS|First Cash Financial Services Inc.|N|20160906|G3
FCN|FTI Consulting Inc.|N|20160906|C
FDP|Fresh Del Monte Produce|N|20160906|C
FET|Forum Energy Technologies Inc|N|20160906|G1
FF|FutureFuel Corp.|N|20160906|C
FFG|F B L Financial Group|N|20160906|G3
FGL|Fidelity & Guaranty Life|N|20160906|G2
FGP|Ferrellgas Partners|N|20160906|C
FI|Frank's International N.V.|N|20160906|C
FIG|Fortress Investment Group Llc|N|20160906|C
FIX|Comfort Systems Usa|N|20160906|G3
FLOW|SPX FLOW, Inc.|N|20160906|C
FLTX|Fleetmatics Group PLC|N|20160906|G2
FN|Fabrinet|N|20160906|C
FNFV|Fidelity Natl Financial, Inc.|N|20160906|G2
FOE|Ferro Corp|N|20160906|C
FOR|Forestar Group Inc|N|20160906|G3
FRD|Friedman Ind Inc|A|20160906|C
FSB|Franklin Financial Network, Inc.|N|20160906|G2
FSIC|FS Investment Corporation|N|20160906|G3
FSS|Federal Signal|N|20160906|C
FTAI|Fortress Trans and Infra Invest|N|20160906|C
FTK|Flotek Industries Inc|N|20160906|C
FUL|H B Fuller Company|N|20160906|C
FXCM|FXCM Inc.|N|20160906|G2
GATX|GATX Corp|N|20160906|C
GBL|Gamco Investors Inc|N|20160906|C
GBX|Greenbrier Companies|N|20160906|G2
GCAP|Gain Capital Holdings Inc|N|20160906|C
GCO|Genesco|N|20160906|G2
GCP|GCP Applied Technologies Inc.|N|20160906|G3
GDDY|GoDaddy Inc.|N|20160906|C
GDOT|Green Dot Corporation|N|20160906|C
GEF|Greif, Inc.|N|20160906|C
GEF B|Greif, Inc.|N|20160906|G1
GFF|Griffon|N|20160906|G2
GHC|Graham Holdings Company|N|20160906|G3
GHL|Greenhill & Co Inc|N|20160906|G2
GHM|Graham Corporation|N|20160906|C
GI|EndoChoice Holdings, Inc.|N|20160906|G1
GIMO|Gigamon Inc.|N|20160906|G3
GKOS|Glaukos Corporation|N|20160906|C
GLF|Gulfmark Offshore Inc|N|20160906|G1
GLOB|Globant S.A.|N|20160906|C
GLOG|GasLog Ltd|N|20160906|G1
GLOP|GasLog Partners LP|N|20160906|G2
GLP|Global Partners Lp|N|20160906|G1
GLT|PH Glatfelter Company|N|20160906|C
GMED|Globus Medical, Inc.|N|20160906|C
GNE|Genie Energy Ltd|N|20160906|C
GNRC|Generac Holdings Inc|N|20160906|C
GNRT|Gener8 Maritime, Inc.|N|20160906|C
GPI|Group 1 Automotive|N|20160906|C
GPRK|GeoPark Limited|N|20160906|C
GPX|G P Strategies|N|20160906|G1
GRC|Gorman Rupp Co The|A|20160906|C
GSB|GlobalSCAPE Inc.|A|20160906|C
GTN|Gray Television Class B|N|20160906|G1
GTN A|Gray Television Class A|N|20160906|G1
GTS|Triple-s Management Corp|N|20160906|C
GTT|GTT Communications, Inc.|N|20160906|G1
GV|Goldfield Corp|A|20160906|G2
GVA|Granite Construction|N|20160906|C
GVP|GSE Systems Inc.|A|20160906|G3
GWB|Great Western Bancorp, Inc.|N|20160906|C
GZT|Gazit-globe Ltd|N|20160906|C
HAE|Haemonetics|N|20160906|C
HBM|Hudbay Minerals Inc|N|20160906|G2
HCHC|HC2 Holdings, Inc.|A|20160906|C
HCI|HCI Group, Inc.|N|20160906|C
HCLP|Hi-Crush Partners LP|N|20160906|G2
HEI A|Heico Cla|N|20160906|G3
HEP|Holly Energy Partners|N|20160906|C
HF|HFF Inc.|N|20160906|C
HGT|Hugoton Royalty Trust|N|20160906|G3
HI|Hillenbrand Inc|N|20160906|G3
HIL|Hill International Inc|N|20160906|G1
HIVE|Aerohive Networks, Inc.|N|20160906|C
HLI|Houlihan Lokey, Inc.|N|20160906|C
HLTH|Nobilis Health Corp.|A|20160906|G2
HMLP|Hoegh LNG Partners LP|N|20160906|G1
HMN|Horace Mann Educators|N|20160906|G2
HNI|HNI Corporation|N|20160906|C
HRT|Arrhythmia Research|A|20160906|C
HRTG|Heritage Insurance Holdings, Inc|N|20160906|C
HSC|Harsco|N|20160906|G2
HTGC|Hercules Capital, Inc.|N|20160906|C
HTH|Hilltop Holdings Inc|N|20160906|C
HUBS|HubSpot, Inc.|N|20160906|G2
HVT|Haverty Furniture Companies|N|20160906|G3
HVT A|Haverty Furniture Companies Cla|N|20160906|G3
HW|Headwaters Inc|N|20160906|C
HY|Hyster-Yale Materials Handling|N|20160906|C
HYH|Halyard Health, Inc.|N|20160906|C
HZN|Horizon Global Corporation|N|20160906|C
HZO|MarineMax Inc.|N|20160906|G1
I|Intelsat S.A.|N|20160906|C
IBP|Installed Building Products, Inc|N|20160906|G1
ICD|Independence Ctrct Drilling, Inc|N|20160906|C
IDT|IDT Corporation|N|20160906|C
IEC|IEC Electronics Corp.|A|20160906|C
IHC|Independence Holding Co|N|20160906|G1
IL|IntraLinks Holdings Inc.|N|20160906|C
IMAX|IMAX Corporation|N|20160906|G3
IMPV|Imperva Inc|N|20160906|G1
INFU|Infusystem Holdings Inc|A|20160906|G1
INS|Intelligent  Systems|A|20160906|C
INST|Instructure, Inc.|N|20160906|G3
INTT|inTEST Corporation|A|20160906|G3
INXN|Interxion Holding N V|N|20160906|C
IO|Ion Geophysical Corporation|N|20160906|G1
IOT|Income Opportunity|A|20160906|C
IPHI|Inphi Corporation|N|20160906|C
ISDR|Issuer Direct Corporation|A|20160906|G2
ITG|Investment Technology Group Inc|N|20160906|C
ITGR|Integer Holdings Corporation|N|20160906|G3
IVC|Invacare|N|20160906|G1
JAX|J. Alexander's Holdings, Inc.|N|20160906|G2
JBT|John Bean Technologies Corp|N|20160906|G2
JE|Just Energy Group Inc|N|20160906|C
JMP|JMP Group LLC|N|20160906|C
JOB|GEE Group Inc.|A|20160906|C
JOE|St Joe|N|20160906|G1
JONE|Jones Energy, Inc.|N|20160906|G3
JPEP|JP Energy Partners LP|N|20160906|C
JW A|John Wiley & Sons Cla|N|20160906|G3
JW B|John Wiley & Sons Clb|N|20160906|C
KAI|Kadant Inc|N|20160906|G3
KAMN|Kaman Corporation|N|20160906|C
KEM|KEMET Corporation|N|20160906|C
KEN|Kenon Holdings Ltd.|N|20160906|C
KEX|Kirby|N|20160906|G3
KFS|Kingsway Financial Services Inc.|N|20160906|G3
KFY|Korn/Ferry International|N|20160906|C
KLDX|Klondex Mines Ltd.|A|20160906|C
KMG|KMG Chemicals Inc|N|20160906|C
KMPR|Kemper Corporation|N|20160906|G2
KN|Knowles Corporation|N|20160906|C
KND|Kindred Healthcare|N|20160906|G3
KNL|Knoll, Inc.|N|20160906|C
KNOP|KNOT Offshore Partners LP|N|20160906|G1
KNX|Knight Transportation Inc|N|20160906|G3
KODK|Eastman Kodak Company|N|20160906|G3
KOP|Koppers Holdings Inc|N|20160906|G3
KRA|Kraton Performance Polymers Inc|N|20160906|C
KRO|Kronos Worldwide Inc|N|20160906|C
KW|Kennedy Wilson Holdings Inc|N|20160906|G3
KWR|Quaker Chemical|N|20160906|C
LAD|Lithia Motors|N|20160906|C
LBY|Libbey Inc|A|20160906|C
LCI|Lannett Company, Inc.|N|20160906|G2
LDL|Lydall|N|20160906|G3
LDR|Landauer Inc|N|20160906|G1
LEE|Lee Enterprises Inc|N|20160906|G3
LEI|Lucas Energy, Inc.|A|20160906|C
LEU|Centrus Energy Corp.|A|20160906|C
LGL|LGL Group Inc.|A|20160906|C
LNN|Lindsay Corporation|N|20160906|C
LPG|Dorian LPG Ltd.|N|20160906|C
LRN|K 12 Inc|N|20160906|C
LTS|Ladenburgh Thalmann|A|20160906|C
LUB|Luby's Del|N|20160906|C
LXFT|Luxoft Holding, Inc.|N|20160906|G2
LXK|Lexmark Intl Inc|N|20160906|C
LXU|LSB Industries Inc.|N|20160906|C
LZB|La-z-boy|N|20160906|G3
MAG|Mag Silver Corp|A|20160906|C
MAIN|Main Street Capital Corporation|N|20160906|C
MANU|Manchester United plc|N|20160906|G1
MATX|Matson, Inc.|N|20160906|C
MC|Moelis & Company|N|20160906|G1
MCF|Contango Oil & Gas|A|20160906|C
MCRN|Milacron Holdings Corp.|N|20160906|C
MCS|Marcus|N|20160906|G3
MDC|M.D.C Holdings|N|20160906|C
MDGN|Medgenics Inc|Q|20160906|C
MDLY|Medley Management Inc.|N|20160906|G2
MDP|Meredith|N|20160906|G1
MED|Medifast Inc|N|20160906|C
MEI|Methode Electronics Inc|N|20160906|G1
MEP|Midcoast Energy Partners, L.P.|N|20160906|G3
MFCB|MFC Bancorp Ltd.|N|20160906|C
MG|Mistras Group Inc|N|20160906|C
MHH|Mastech Hldngs|A|20160906|C
MHO|M/I  Homes Inc.|N|20160906|C
MJCO|Majesco|A|20160906|C
MLI|Mueller Industries|N|20160906|C
MLP|Maui Land & Pineapple Co Inc|N|20160906|G3
MLR|Miller Industries|N|20160906|G2
MLSS|Milestone Scientific Inc.|A|20160906|G2
MMI|Marcus & Millichap, Inc.|N|20160906|C
MN|Manning & Napier Inc|N|20160906|G3
MOC|Command Security Crp|A|20160906|C
MOD|Modine Manufacturing|N|20160906|G1
MODN|Model N, Inc.|N|20160906|G1
MOG A|Moog Inc Cl A|N|20160906|C
MOG B|Moog Inc Cl B|N|20160906|C
MOV|Movado Group Inc|N|20160906|G2
MPG|Metaldyne Performance Group Inc.|N|20160906|G2
MPSX|Multi Packaging Solutions Intl.|N|20160906|C
MPX|Marine Products|N|20160906|C
MRIN|Marin Software Incorporated|N|20160906|G2
MSA|MSA Safety Incorporated|N|20160906|C
MSB|Mesabi Trust Ctf Ben Int|N|20160906|G1
MSGN|MSG Networks Inc.|N|20160906|G2
MSL|Midsouth Bancorp Inc|N|20160906|G3
MTH|Meritage Homes|N|20160906|G2
MTR|Mesa Royalty Tr Utben Int|N|20160906|G2
MTRN|Materion Corporation|N|20160906|G1
MTX|Minerals Technologies|N|20160906|G2
MTZ|Mastec|N|20160906|G1
MUSA|Murphy USA Inc.|N|20160906|C
MX|Magnachip Semiconductor Corp|N|20160906|G2
MXC|Mexco Energy Corp|A|20160906|C
MYCC|ClubCorp Holdings, Inc.|N|20160906|G3
MYE|Myers Industries|N|20160906|G2
NADL|North Atlantic Drilling Ltd|N|20160906|C
NAO|Nordic American Offshore Ltd.|N|20160906|G2
NAP|Navios Maritime Midstream Partrs|N|20160906|C
NBHC|National Bank Holdings Corp|N|20160906|C
NBY|NovaBay Pharmaceuticals|A|20160906|G3
NC|NACCO Industries Inc.|N|20160906|G3
NCI|Navigant Consulting|N|20160906|C
NCS|NCI Building Systems, Inc.|N|20160906|G1
NDRO|Enduro Royalty Trust|N|20160906|G2
NEFF|Neff Corporation|N|20160906|G2
NEN|New England Realty Associates LP|A|20160906|G3
NEP|NextEra Energy Partners, LP|N|20160906|C
NEWM|New Media Investment Group Inc.|N|20160906|C
NEWR|New Relic, Inc.|N|20160906|C
NGL|NGL Energy Partners LP|N|20160906|G3
NGS|Natural Gas Services Group Inc|N|20160906|G2
NGVC|Natural Grocers by Vitamin Ctge|N|20160906|C
NHC|National Healthcare|A|20160906|C
NJR|New Jersey Resources|N|20160906|G2
NL|NL Industries, Inc.|N|20160906|G2
NLS|Nautilus Inc|N|20160906|G1
NMFC|New Mountain Finance Corporation|N|20160906|G3
NNI|Nelnet Inc|N|20160906|C
NOA|North American Energy Partners|N|20160906|G1
NOG|Northern Oil & Gas|A|20160906|G1
NOMD|Nomad Foods Limited|N|20160906|C
NORD|Nord Anglia Education, Inc.|N|20160906|C
NP|Neenah Paper|N|20160906|G1
NPK|National Presto Inds|N|20160906|G2
NPO|EnPro Industries Inc.|N|20160906|C
NPTN|NeoPhotonics Corporation|N|20160906|C
NR|Newpark Resources|N|20160906|G2
NRP|National Resource Partners L.p.|N|20160906|G3
NRT|North European Oil Ubi|N|20160906|C
NSAT|Norsat International Inc.|A|20160906|G2
NSH|NuStar GP Holdings LLC|N|20160906|G3
NSM|Nationstar Mortgage Holdings|N|20160906|C
NSP|Insperity Inc|N|20160906|G2
NSR|Neustar Inc|N|20160906|G3
NSU|Nevsun Resources Ltd|A|20160906|C
NTEST|NYSE Tick Pilot Test Symbol|N|20160919|C
NTEST A|NYSE Tick Pilot Test Symbol|N|20160919|G1
NTEST B|NYSE Tick Pilot Test Symbol|N|20160919|G2
NTEST C|NYSE Tick Pilot Test Symbol|N|20160919|G3
NTIP|Network-1 Technologies, Inc.|A|20160906|G3
NTP|Nam Tai Property Inc.|N|20160906|G3
NVGS|Navigator Holdings Ltd.|N|20160906|G1
NVRO|Nevro Corp.|N|20160906|C
NVTA|Invitae Corporation|N|20160906|C
NWE|Northwestern Corporation|N|20160906|C
NWHM|The New Home Company Inc.|N|20160906|C
NWN|Northwest Natural Gas Co.|N|20160906|G3
NX|Quanex Building Products Corp|N|20160906|G2
NYLD|NRG Yield, Inc.|N|20160906|G2
NYLD A|NRG Yield, Inc.|N|20160906|C
NYT|New York Times|N|20160906|G1
OAK|Oaktree Capital Group Llc|N|20160906|G2
OB|Onebeacon Insurance Group Ltd|N|20160906|C
OCIP|OCI Partners LP|N|20160906|G3
OCX|OncoCyte Corporation|A|20160906|G3
ODC|Oil-Dri Of America|N|20160906|C
OEC|Orion Engineered Carbons S.A.|N|20160906|G3
OFG|OFG Bancorp|N|20160906|G3
OIS|Oil States International|N|20160906|G3
OMAM|OM Asset Management plc|N|20160906|C
OME|Omega Protein|N|20160906|G3
OMI|Owens & Minor Holding|N|20160906|C
OMN|Omnova Solutions|N|20160906|G2
ONDK|On Deck Capital, Inc.|N|20160906|C
OOMA|Ooma, Inc.|N|20160906|G3
OPY|Oppenheimer Holdings Inc|N|20160906|G1
ORA|Ormat Technologies|N|20160906|C
ORN|Orion Group Holdings, Inc.|N|20160906|C
OSB|Norbord Inc.|N|20160906|C
OSG|Overseas Shipholding Group Inc.|N|20160906|C
OXM|Oxford Industries|N|20160906|C
OZM|Och-Ziff Capital Management Grp|N|20160906|C
PAR|PAR Technology Corporation|N|20160906|C
PARR|Par Pacific Holdings, Inc.|A|20160906|C
PAYC|Paycom Software, Inc.|N|20160906|C
PBFX|PBF Logistics LP|N|20160906|G2
PBH|Prestige Brands Holdings|N|20160906|C
PBT|Permian Basin Rty Tr Unit Ben|N|20160906|C
PBYI|Puma Biotechnology, Inc.|N|20160906|G1
PEN|Penumbra, Inc.|N|20160906|G2
PER|Sand Ridge Permian Trust|N|20160906|G1
PES|Pioneer Energy Services Corp.|N|20160906|G1
PFGC|Performance Food Group Company|N|20160906|G3
PFNX|Pfenex Inc.|A|20160906|C
