Ticker_Symbol|Security_Name|Listing_Exchange|Effective_Date|Tick_Size_Pilot_Program_Group
AAC|AAC Holdings, Inc.|N|20160906|C
AAMC|Altisource Asset Management Corp|A|20160906|G1
AAN|Aarons Inc|N|20160906|C
AAV|Advantage Oil & Gas Ltd|N|20160906|G3
AB|Alliance Bernstein Holding L P|N|20160906|G2
ABG|Asbury Automotive Group Inc|N|20160906|G2
ABM|ABM Industries Inc.|N|20160906|C
AC|Associated Capital Group, Inc.|N|20160906|G2
ACCO|ACCO Brand Corp.|N|20160906|G3
ACU|Acme United|A|20160906|C
ACY|AeroCentury Corp|A|20160906|G2
ADK|Adcare Health System|A|20160906|C
ADPT|Adeptus Health Inc.|N|20160906|C
AE|Adams Res Energy Inc|A|20160906|C
AEL|American Equity Inv Life Hldg Co|N|20160906|C
AF|Astoria Financial Corporation|N|20160906|C
AGM|Fed Agricul Mtg Clc Non Voting|N|20160906|C
AGM A|Fed Agricultural Mtg Cla Voting|N|20160906|C
AGRO|Adecoagro S A|N|20160906|C
AGX|Argan Inc|N|20160906|G1
AHC|A H Belo Corp|N|20160906|G1
AHL|ASPEN Insurance Holding Limited|N|20160906|G3
AMN|AMN Healthcare Services Inc.|N|20161027|G3
AIN|Albany International|N|20160906|G1
AINC|Ashford Inc.|A|20160906|C
AIR|AAR Corp.|N|20160906|C
AIRI|Air Industries Group|A|20160906|C
AIT|Applied Industrial Technologies|N|20160906|G3
AJRD|Aerojet Rocketdyne Holdings, Inc|N|20160906|C
ALDW|Alon USA Partners, LP|N|20160906|C
ALE|ALLETE, Inc.|N|20160906|C
ALEX|Alexander & Baldwin, Inc.|N|20160906|C
ALG|Alamo Group|N|20160906|C
AMBR|Amber Road, Inc.|N|20160906|C
AMC|AMC Entertainment Holdings, Inc.|N|20160906|G2
AMID|American Midstream Partners Lp|N|20160906|G2
AMRC|Ameresco Inc|N|20160906|G1
AMS|American Shared Hosp|A|20160906|G1
ANFI|Amira Nature Foods Ltd|N|20160906|C
ANW|Aegean Marine Petroleum Network|N|20160906|G3
AOI|Alliance One International, Inc.|N|20160906|G2
AP|Ampco Pittsburgh|N|20160906|G3
APAM|Artisan Partners Asset  Mgt Inc.|N|20160906|G1
APT|Alpha Pro Tech|A|20160906|G1
ARC|ARC Document Solutions, Inc.|N|20160906|C
ARCO|Arcos Dorados Holdings Inc|N|20160906|G1
ARCX|Arc Logistics Partners LP|N|20160906|C
ARES|Ares Management, L.P.|N|20160906|G1
ARL|American Realty Investors|N|20160906|C
AROC|Archrock, Inc.|N|20160906|G2
ASB|Associated Banc-Corp|N|20160906|G2
ASC|Ardmore Shipping Corporation|N|20160906|G3
ASGN|On Assignment, Inc.|N|20160906|C
ASPN|Aspen Aerogels, Inc.|N|20160906|C
AST|Asterias Biotherapeutics, Inc.|A|20160906|G1
AT|Atlantic Power Corporation|N|20160906|G3
ATEN|A10 Networks, Inc.|N|20160906|C
ATEST|MKT Tick Pilot Test Sym-Control|A|20160926|C
ATEST A|MKT Tick Pilot Test Sym-G1|A|20160926|G1
ATEST B|MKT Tick Pilot Test Sym-G2|A|20160926|G2
ATEST C|MKT Tick Pilot Test Sym-G3|A|20160926|G3
ATTO|Atento S.A.|N|20160906|G3
ATU|Actuant Corp|N|20160906|G3
AVA|Avista|N|20160906|C
AVD|American Vanguard Corporation|N|20160906|G1
AVG|AVG Technologies N.V.|N|20160906|G1
AVX|AVX Corp.|N|20160906|C
AWI|Armstrong World Industries Inc|N|20160906|G1
AWR|American States Water Company|N|20160906|C
AWX|Avalon Holdings|A|20160906|C
AXE|Anixter International|N|20160906|G2
AXON|Axovant Sciences Ltd.|N|20160906|C
AXR|AMREP Corporation|N|20160906|C
AYR|Aircastle Limited|N|20160906|C
AZZ|AZZ Inc.|N|20160906|G1
B|Barnes Group|N|20160906|C
BANC|Banc of California, Inc.|N|20160906|G3
BBW|Build A Bear Workshop|N|20160906|G1
BBX|BBX Capital Corporation|N|20160906|C
BCC|Boise Cascade Company|N|20160906|G3
BCO|Brink's|N|20160906|G3
BCRH|Blue Capital Reinsurance Holding|N|20160906|G1
BDL|Flanigan Enterp Inc|A|20160906|G2
BEL|Belmond Ltd.|N|20160906|G3
BETR|Amplify Snack Brands, Inc.|N|20160906|C
BGC|General Cable Corporation|N|20160906|G1
BGG|Briggs & Stratton|N|20160906|C
BGS|B&G Foods Inc.|N|20160906|G1
BGSF|BG Staffing, Inc.|A|20160906|C
BH|Biglari Holdings Inc|N|20160906|C
BHB|Bar Harbor Bankshare|A|20160906|C
BHE|Benchmark Electronics|N|20160906|G2
BHLB|Berkshire Hills Bancorp, Inc.|N|20160906|G2
BIO B|Bio Rad Laboratories Inc|N|20160906|G1
BIOA|BioAmber Inc.|N|20160906|C
BKE|Buckle|N|20160906|G1
BKFS|Black Knight Financial Services|N|20160906|G3
BKJ|Bancorp Of New Jersey, Inc.|A|20160906|G2
BKS|Barnes & Noble|N|20160906|G1
BLD|TopBuild Corp.|N|20160906|C
BLOX|Infoblox Inc|N|20160906|G3
BLX|Banco Latinoamericano De Comerc|N|20160906|C
BMI|Badger Meter Inc|N|20160906|G3
BNED|Barnes & Noble Education, Inc.|N|20160906|C
BOOT|Boot Barn Holdings, Inc.|N|20160906|C
BOX|Box, Inc.|N|20160906|C
BOXC|Brookfield Can Office Properties|N|20160906|C
BPI|Bridgepoint Education Inc|N|20160906|C
BPT|BP Prudhoe Bay Royality Trust|N|20160906|G1
BRC|Brady|N|20160906|G2
BRSS|Global Brass & Copper Hldgs, Inc|N|20160906|G2
BTN|Ballantyne Strong Inc|A|20160906|G1
BTX|Biotime Inc|A|20160906|C
BVX|Bovie Medical Corp|A|20160906|C
BW|Babcock & Wilcox Enterprises Inc|N|20160906|C
BWL A|Bowl America Cl A|A|20160906|C
BXS|BancorpSouth Inc.|N|20160906|G1
BZH|Beazer Homes Usa|N|20160906|C
CACI|CACI International, Inc.|N|20160906|G1
CAI|CAI International, Inc.|N|20160906|C
CAL|Caleres, Inc.|N|20160906|C
CALX|Calix Inc|N|20160906|G1
CAPL|CrossAmerica Partners LP|N|20160906|C
CATO|The Cato Corp|N|20160906|C
CAW|CCA Industries. Inc.|A|20160906|G1
CBB|Cincinnati Bell Inc|N|20160906|G1
CBM|Cambrex|N|20160906|G1
CBPX|Continental Bldg Products, Inc.|N|20160906|G3
CBU|Community Bank System|N|20160906|C
CBZ|CBIZ Inc.|N|20160906|G2
CCC|Calgon Carbon Corp|N|20160906|G3
CCF|Chase Corporation|A|20160906|G2
CCO|Clear Channel Outdoor Holdings|N|20160906|G1
CCS|Century Communities, Inc.|N|20160906|G2
CDI|CDI Corp.|N|20160906|G3
CEB|CEB Inc.|N|20160906|G1
CEF|Central Fund Cn A|A|20160906|C
CEL|Cellcom Israel Ltd|N|20160906|C
CELP|Cypress Energy Partners, L.P.|N|20160906|C
CEQP|Crestwood Equity Partners LP|N|20160906|G2
CFI|Culp|N|20160906|G1
CGI|Celadon Group Inc|N|20160906|G3
CHE|Chemed Corporation|N|20160906|C
CHGG|Chegg, Inc.|N|20160906|C
CHH|Choice Hotels International|N|20160906|G1
CHKR|Chesapeake Granite Wash Trust|N|20160906|G1
CHMT|Chemtura Corporation|N|20160906|G3
CIA|Citizens Inc|N|20160906|C
CINR|Ciner Resources LP|N|20160906|C
CIR|Circor International|N|20160906|C
CIVI|Civitas Solutions, Inc.|N|20160906|G2
CIX|CompX International Inc.|A|20160906|G1
CKH|SEACOR Holdings Inc.|N|20160906|C
CKX|CKX Lands Inc.|A|20160906|G3
CLH|Clean Harbors Inc|N|20160906|C
CLS|Celestica|N|20160906|C
CLW|Clearwater Paper Corporation|N|20160906|G3
CMP|Compass Minerals International|N|20160906|G2
CMRE|Costamare Inc|N|20160906|C
CMT|Core Molding Techgy|A|20160906|C
CNNX|CONE Midstream Partners LP|N|20160906|C
CNS|Cohen & Steers Inc|N|20160906|C
CNXC|CNX Coal Resources LP|N|20160906|G2
CO|China Cord Blood Corp|N|20160906|C
CODI|Compass Diversified Holdings Sha|N|20160906|G3
CORR|CorEnergy Infrastructure Trust|N|20160906|C
COT|Cott Corporation|N|20160906|C
CPF|Central Pacific Financial Corp|N|20160906|C
CPK|Chesapeake Utilities|N|20160906|G2
CPPL|Columbia Pipeline Partners LP|N|20160906|G2
CPS|Cooper-Standard Holdings Inc.|N|20160906|C
CRCM|Care.com, Inc.|N|20160906|C
CRD A|Crawford & Co Cla|N|20160906|C
CRD B|Crawford & Company Clb|N|20160906|C
CRHM|CRH Medical Corporation|A|20160906|G3
CRR|Carbo Ceramics Inc|N|20160906|C
CRS|Carpenter Technology|N|20160906|C
CRT|Cross Timbers Royalty Trust|N|20160906|C
CRY|Cryolife Inc|N|20160906|G1
CSLT|Castlight Health, Inc.|N|20160906|G1
CSS|CSS Industries Inc.|N|20160906|C
CSTM|Constellium N.V.|N|20160906|G2
CSU|Capital Senior Living|N|20160906|C
CSV|Carriage Services|N|20160906|C
CTB|Cooper Tire & Rubber|N|20160906|G3
CTO|Consolidated Tomoka|A|20160906|C
CTS|CTS Corp.|N|20160906|G3
CUB|Cubic Corporation|N|20160906|G1
CUBI|Customers Bancorp, Inc.|N|20160906|C
CUDA|Barracuda Networks, Inc.|N|20160906|C
CUO|Continental Materials Corp.|A|20160906|G2
CVA|Covanta Energy Corp|N|20160906|G2
CVG|Convergys|N|20160906|C
CVR|Chicago Rivet & Machine Co|A|20160906|C
CVRR|CVR Refining, LP|N|20160906|G3
CVT|CVENT, INC.|N|20160906|C
CVU|CPI Aerostructures Inc.|A|20160906|G3
CWEI|Clayton Williams Energy, Inc.|N|20160906|C
CWT|California Water Serv Gp Hldg Co|N|20160906|G1
CYD|China Yuchai International|N|20160906|C
DAC|Danaos Corporation|N|20160906|G3
