symbol,group,listing_exchange,yahoo_symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates,spread_stratum
AAC,C,N,AAC,0.0404421303261,57871693,2786,21,narrow
AAMC,G1,A,AAMC,0.388107846907,4355614,1276,21,wide
AAME,G2,Q,AAME,0.184812251163,1062642,646,21,wide
AAN,C,N,AAN,0.0255023281671,15288765,3013,21,narrow
AAOI,C,Q,AAOI,0.0433848728403,33006183,4124,21,narrow
AAON,G1,Q,AAON,0.074774809876,5889971,2032,21,narrow
AAPC,C,Q,AAPC,0.0456890285953,3719943,229,18,narrow
AAV,G3,N,AAV,0.0177378236737,3572773,1386,21,narrow
AAWW,G2,Q,AAWW,0.0736207091419,20207549,2731,21,narrow
AB,G2,N,AB,0.0462761558684,12803901,3098,21,narrow
ABAX,C,Q,ABAX,0.11372814519,9443713,1913,21,middle_excluded
ABCB,G1,Q,ABCB,0.0584618090397,4112447,1830,21,narrow
ABCD,C,Q,ABCD,0.0490975600335,6951407,978,21,narrow
ABCO,G3,Q,ABCO,0.0760994966734,10424842,2356,21,narrow
ABEO,G3,Q,ABEO,0.0433974362555,31524436,3359,21,narrow
ABG,G2,N,ABG,0.125951622204,12041824,2281,21,middle_excluded
ABIL,C,Q,ABIL,0.0726006030929,2055239,882,21,narrow
ABIO,G3,Q,ABIO,0.067011927896,4887660,1019,21,narrow
ABM,C,N,ABM,0.0501194173258,19798473,2766,21,narrow
ABTL,C,Q,ABTL,0.0760152526178,11159822,1702,21,narrow
ABTX,G2,Q,ABTX,0.249664211429,29049176,1780,21,wide
ABUS,G3,Q,ABUS,0.0367749362713,8612290,1991,21,narrow
ABY,C,Q,ABY,0.0228950013531,22061110,2445,21,narrow
AC,G2,N,AC,0.268520445459,11223025,1319,21,wide
ACAT,C,Q,ACAT,0.0583136455002,8055564,2166,21,narrow
ACBI,G1,Q,ACBI,0.0738522711113,26802231,1576,21,narrow
ACCO,G3,N,ACCO,0.0167807923674,7191891,2283,21,narrow
ACET,C,Q,ACET,0.0355995957256,8633739,2436,21,narrow
ACFC,C,Q,ACFC,0.0795148502185,4419504,723,21,narrow
ACIW,C,Q,ACIW,0.0271026139451,4403765,1866,21,narrow
ACLS,G2,Q,ACLS,0.0339760066746,11568584,2255,21,narrow
ACNB,G1,Q,ACNB,0.410718754813,2191992,835,21,wide
ACOR,G1,Q,ACOR,0.0342028773961,56756280,3425,21,narrow
ACRS,C,Q,ACRS,0.221781087597,27476567,2057,21,wide
ACRX,G2,Q,ACRX,0.0208914841423,20146356,3286,21,narrow
ACSF,G2,Q,ACSF,0.0909691845064,2644092,1376,21,narrow
ACTA,G1,Q,ACTA,0.0598036555974,6566478,1857,21,narrow
ACTG,G2,Q,ACTG,0.0236389134537,20658282,3489,21,narrow
ACU,C,A,ACU,0.723356120125,2272372,930,21,wide
ACXM,C,Q,ACXM,0.0287666425489,10544100,2358,21,narrow
ACY,G2,A,ACY,0.275264524624,734766,351,21,wide
ADHD,C,Q,ADHD,0.0209068510313,28055411,2618,21,narrow
ADK,C,A,ADK,0.0423743561754,11496998,1165,21,narrow
ADMA,C,Q,ADMA,0.079835537708,11381474,1874,21,narrow
ADMP,G3,Q,ADMP,0.0226101807639,31311393,4245,21,narrow
ADMS,C,Q,ADMS,0.0438781096546,23000569,3236,21,narrow
ADPT,C,N,ADPT,0.0821494270318,48031723,4072,21,narrow
ADRO,G3,Q,ADRO,0.0386118713987,55314973,3051,21,narrow
ADTN,G1,Q,ADTN,0.033963196937,9604562,2027,21,narrow
ADUS,G3,Q,ADUS,0.202609950607,50460009,1989,21,wide
ADVM,G3,Q,ADVM,0.0341942937409,5874742,2164,21,narrow
AE,C,A,AE,1.63039407208,2614140,805,21,wide
AEGN,C,Q,AEGN,0.0346127643754,5526044,1788,21,narrow
AEIS,C,Q,AEIS,0.0532179086285,25947336,2845,21,narrow
AEL,C,N,AEL,0.0192320125816,11844265,3038,21,narrow
AEMD,C,Q,AEMD,0.105925525216,4810400,1354,21,middle_excluded
AEPI,G2,Q,AEPI,0.235707163152,14395102,1700,21,wide
AERI,G3,Q,AERI,0.0700878554941,104688804,6223,21,narrow
AETI,G1,Q,AETI,0.112802272094,20204973,1282,21,middle_excluded
AEZS,G3,Q,AEZS,0.0270482972812,5736884,2064,21,narrow
AF,C,N,AF,0.013783873285,5571147,1644,21,narrow
AFAM,G1,Q,AFAM,0.110269877743,17081542,1815,21,middle_excluded
AFH,G2,Q,AFH,0.0623435733435,10875204,1391,21,narrow
AFMD,G1,Q,AFMD,0.0411191139434,4249322,1786,21,narrow
AGFS,C,Q,AGFS,0.0282646001418,5801769,1531,21,narrow
AGII,G1,Q,AGII,0.0854614150834,16957248,1823,21,narrow
AGIO,C,Q,AGIO,0.12296592863,42067314,4527,21,middle_excluded
AGM,C,N,AGM,0.147565167245,4616270,1840,21,middle_excluded
AGM A,C,N,AGM A,1.54347083419,242654,278,21,wide
AGRO,C,N,AGRO,0.0170630161727,7092611,2203,21,narrow
AGRX,C,Q,AGRX,0.0646762417983,7096825,1380,21,narrow
AGTC,G2,Q,AGTC,0.0488928635575,22411979,3242,21,narrow
AGX,G1,N,AGX,0.103736282903,16906511,2971,21,middle_excluded
AGYS,C,Q,AGYS,0.0933263776608,7015497,1046,21,narrow
AHC,G1,N,AHC,0.065639629739,5251107,1728,21,narrow
AHGP,C,Q,AHGP,0.168674822159,20301649,2196,21,wide
AHL,G3,N,AHL,0.0429621449105,20447483,2517,21,narrow
AIMC,G1,Q,AIMC,0.08559863212,8738705,1622,21,narrow
AIMT,C,Q,AIMT,0.0667723679479,11732661,2549,21,narrow
AIN,G1,N,AIN,0.118187783399,6981410,1576,21,middle_excluded
AINC,C,A,AINC,1.92843627924,1544401,692,21,wide
AIQ,G1,Q,AIQ,0.132499069291,8403918,1198,21,middle_excluded
AIR,C,N,AIR,0.0565611318169,17138249,2847,21,narrow
AIRI,C,A,AIRI,0.0568945141261,2341760,419,21,narrow
AIRM,G1,Q,AIRM,0.0450552689724,26539397,3402,21,narrow
AIRT,G3,Q,AIRT,1.38641843014,1361916,484,20,wide
AIT,G3,N,AIT,0.0637100431627,7043817,2007,21,narrow
AJRD,C,N,AJRD,0.03241983175,6936463,2338,21,narrow
AKAO,C,Q,AKAO,0.0353830053859,12808558,2713,21,narrow
AKBA,C,Q,AKBA,0.0318047717848,59178884,2136,21,narrow
AKER,G2,Q,AKER,0.105751600779,8278377,1388,21,middle_excluded
ALCO,G3,Q,ALCO,0.413884020063,3561860,900,21,wide
ALDR,G1,Q,ALDR,0.0843751331788,41517309,3315,21,narrow
ALDW,C,N,ALDW,0.0658725207493,21076983,3216,21,narrow
ALDX,G3,Q,ALDX,0.136907294569,18563798,1916,21,middle_excluded
ALE,C,N,ALE,0.0664180074587,7632454,2373,21,narrow
ALEX,C,N,ALEX,0.0677297262738,5544664,1963,21,narrow
ALG,C,N,ALG,0.354710738628,7311344,1463,21,wide
ALGT,G1,Q,ALGT,0.443489813857,28003994,2500,21,wide
ALLT,C,Q,ALLT,0.020914758307,4746703,1283,21,narrow
ALOG,G2,Q,ALOG,0.455861679548,12606057,1946,21,wide
ALOT,G1,Q,ALOT,0.587174009416,1688423,482,21,wide
ALRM,C,Q,ALRM,0.046254165491,15991320,2950,21,narrow
AMAG,G1,Q,AMAG,0.0442698324971,19695717,3467,21,narrow
AMBC,C,Q,AMBC,0.0339649678643,5215537,1889,21,narrow
AMBR,C,N,AMBR,0.0245150725077,15555799,2910,21,narrow
AMC,G2,N,AMC,0.040982207797,12931406,2450,21,narrow
AMCC,G3,Q,AMCC,0.011973147931,22465591,1760,21,narrow
AMID,G2,N,AMID,0.0766540691517,13247663,2861,21,narrow
AMNB,G2,Q,AMNB,0.468840817079,7660607,1075,21,wide
AMOT,C,Q,AMOT,0.11647393722,22986044,1711,21,middle_excluded
AMPH,C,Q,AMPH,0.0355840358312,26885371,3381,21,narrow
AMRB,C,Q,AMRB,0.150352019206,1773445,580,21,wide
AMRC,G1,N,AMRC,0.0230159667998,4892740,1591,21,narrow
AMRI,C,Q,AMRI,0.0346607160438,9297755,2318,21,narrow
AMRK,C,Q,AMRK,0.145910434224,3335677,1118,21,middle_excluded
AMS,G1,A,AMS,0.0786307428776,7837630,762,21,narrow
AMSC,C,Q,AMSC,0.0488767967877,2473261,1487,21,narrow
AMSF,G2,Q,AMSF,0.145444942216,8936226,1816,21,middle_excluded
AMSWA,C,Q,AMSWA,0.042898170448,3009316,1434,21,narrow
AMWD,G1,Q,AMWD,0.196838598635,21892015,2670,21,wide
