symbol,group,listing_exchange,yahoo_symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates,spread_stratum
ANCB,G1,Q,ANCB,0.744134636175,2241203,594,21,wide
ANCX,C,Q,ANCX,0.172651940393,1669275,887,21,wide
ANDE,G2,Q,ANDE,0.143821973662,12500579,1935,21,middle_excluded
ANFI,C,N,ANFI,0.0647654219926,3791488,1913,21,narrow
ANGI,C,Q,ANGI,0.0265512132132,15064706,2597,21,narrow
ANGO,C,Q,ANGO,0.0397343247907,5856295,1844,21,narrow
ANIK,C,Q,ANIK,0.145617241047,15905275,2102,21,middle_excluded
ANTH,C,Q,ANTH,0.0185125575214,13895051,2941,21,narrow
ANW,G3,N,ANW,0.0307754615643,13377173,3355,21,narrow
AOI,G2,N,AOI,0.14006805499,18886277,1675,21,middle_excluded
AOSL,C,Q,AOSL,0.0508984715309,8999920,2552,21,narrow
AP,G3,N,AP,0.0961042609677,2488308,1214,21,narrow
APAM,G1,N,APAM,0.0371194955082,19479364,3156,21,narrow
APDN,G3,Q,APDN,0.0549043697978,3021078,1524,21,narrow
APEI,G1,Q,APEI,0.0782498529881,11350102,1641,21,narrow
APIC,G3,Q,APIC,0.026725504469,26055171,2880,21,narrow
APLP,C,Q,APLP,0.125264533105,27518036,2218,21,middle_excluded
APOG,C,Q,APOG,0.094898043093,23650025,3133,21,narrow
APPF,G3,Q,APPF,0.138849492347,6896638,1271,21,middle_excluded
APT,G1,A,APT,0.0355722937581,13803413,2248,21,narrow
APTO,G3,Q,APTO,0.0425344059272,2273181,1310,21,narrow
APWC,G3,Q,APWC,0.0869858004979,449058,248,20,narrow
AQMS,C,Q,AQMS,0.0456860950352,6446345,2156,21,narrow
AQXP,C,Q,AQXP,0.0558056708909,45032148,4062,21,narrow
ARAY,G1,Q,ARAY,0.0144567604911,12620740,2531,21,narrow
ARC,C,N,ARC,0.0415969650626,2024391,1343,21,narrow
ARCB,G1,Q,ARCB,0.0651394823935,6359812,1761,21,narrow
ARCO,G1,N,ARCO,0.0153544867478,6757935,2349,21,narrow
ARCW,G2,Q,ARCW,0.0891445662407,5021956,1203,21,narrow
ARCX,C,N,ARCX,0.138487713742,17281324,1738,21,middle_excluded
ARDM,C,Q,ARDM,0.179927868907,7449406,1059,21,wide
ARDX,G2,Q,ARDX,0.0479609345965,9696334,2309,21,narrow
ARES,G1,N,ARES,0.206890560232,18643254,1715,21,wide
ARGS,G3,Q,ARGS,0.0453547777585,5673131,2551,21,narrow
ARII,C,Q,ARII,0.0997697312335,12540772,2277,21,narrow
ARIS,C,Q,ARIS,0.0377969260533,37039744,1527,21,narrow
ARKR,C,Q,ARKR,0.634517844739,543034,433,21,wide
ARL,C,N,ARL,0.177799185009,10975702,1135,21,wide
ARLP,G1,Q,ARLP,0.0608831522547,55660154,3570,21,narrow
ARLZ,C,Q,ARLZ,0.0216162048628,75459818,5513,21,narrow
AROC,G2,N,AROC,0.0278927206966,4428693,1921,21,narrow
AROW,G3,Q,AROW,0.263844823596,10592044,1455,21,wide
ARTNA,C,Q,ARTNA,0.215019340963,20173685,1788,21,wide
ARTW,G1,Q,ARTW,0.171985824168,239217,239,21,wide
ARTX,G3,Q,ARTX,0.0366194282133,9915410,2521,21,narrow
ARWA,C,Q,ARWA,0.0559377896968,823706,125,21,narrow
ARWR,C,Q,ARWR,0.0210981514574,26493358,3996,21,narrow
ASB,G2,N,ASB,0.0125299128849,7702567,2141,21,narrow
ASBB,G3,Q,ASBB,0.759078660624,212696,287,21,wide
ASC,G3,N,ASC,0.025343049815,8596246,2755,21,narrow
ASCMA,C,Q,ASCMA,0.121460083289,22065325,2043,21,middle_excluded
ASFI,G1,Q,ASFI,0.518809608291,2891763,680,21,wide
ASGN,C,N,ASGN,0.0567206922551,14477987,2430,21,narrow
ASMB,C,Q,ASMB,0.125664731413,10031173,1267,21,middle_excluded
ASPN,C,N,ASPN,0.0392492267788,5037498,1330,21,narrow
ASPS,C,Q,ASPS,0.083298841982,18504635,2561,21,narrow
ASRV,G3,Q,ASRV,0.0477053969925,1310730,749,21,narrow
AST,G1,A,AST,0.0267850535495,200847425,4666,21,narrow
ASTE,C,Q,ASTE,0.193433567643,21348976,2163,21,wide
ASUR,C,Q,ASUR,0.0917877303061,7919350,1303,21,narrow
ASYS,C,Q,ASYS,0.0889689465509,7533672,1110,21,narrow
AT,G3,N,AT,0.0178281413124,11325744,2833,21,narrow
ATAX,G3,Q,ATAX,0.0204542046309,14738119,2571,21,narrow
ATEN,C,N,ATEN,0.0197369104413,6515636,2625,21,narrow
ATLC,C,Q,ATLC,0.0907211998108,35939,135,21,narrow
ATLO,G3,Q,ATLO,0.46519618462,968842,509,21,wide
ATNI,C,Q,ATNI,0.190449557017,8650896,1614,21,wide
ATRA,G2,Q,ATRA,0.130619871145,20108720,2308,21,middle_excluded
ATRC,C,Q,ATRC,0.0512937510398,9304444,2020,21,narrow
ATRI,G3,Q,ATRI,7.01674001832,13523625,1419,21,wide
ATRO,C,Q,ATRO,0.173884249106,11692695,1907,21,wide
ATSG,C,Q,ATSG,0.022992973996,18313582,2202,21,narrow
ATTO,G3,N,ATTO,0.0726539691897,3430020,682,21,narrow
ATTU,C,Q,ATTU,0.0761706846064,14771393,1519,21,narrow
ATU,G3,N,ATU,0.0201534344505,11948578,2601,21,narrow
AUBN,C,Q,AUBN,0.478950266219,11148529,342,21,wide
AUDC,C,Q,AUDC,0.0238127666063,7597391,2274,21,narrow
AVA,C,N,AVA,0.0473053290987,4696798,2303,21,narrow
AVAV,C,Q,AVAV,0.0430188240593,11956045,2748,21,narrow
AVD,G1,N,AVD,0.0410743984011,4973787,1662,21,narrow
AVG,G1,N,AVG,0.0104112187259,41316412,2645,21,narrow
AVGR,G3,Q,AVGR,0.0300469199197,9675381,2601,21,narrow
AVHI,G1,Q,AVHI,0.0719628947609,3693217,1706,21,narrow
AVID,C,Q,AVID,0.0212987570955,13763487,3323,21,narrow
AVX,C,N,AVX,0.0206094613057,2075834,1509,21,narrow
AWI,G1,N,AWI,0.0394133352506,24117822,2759,21,narrow
AWR,C,N,AWR,0.0770644794499,5901747,2493,21,narrow
AWRE,G1,Q,AWRE,0.040043893199,4539095,1511,21,narrow
AWX,C,A,AWX,0.12064391183,272972,229,20,middle_excluded
AXDX,G2,Q,AXDX,0.0608164479325,25381342,3364,21,narrow
AXE,G2,N,AXE,0.163325384566,16431949,2033,21,wide
AXGN,G1,Q,AXGN,0.0421567334302,6765415,2163,21,narrow
AXON,C,N,AXON,0.0466458373196,48374480,3223,21,narrow
AXR,C,N,AXR,0.0767816014103,6999493,1237,21,narrow
AXSM,G3,Q,AXSM,0.132991745458,22609601,1586,21,middle_excluded
AXTI,G3,Q,AXTI,0.0261185955702,9890334,2673,21,narrow
AYA,G3,Q,AYA,0.0392160443635,11349319,1878,21,narrow
AYR,C,N,AYR,0.0282988444441,18703466,2869,21,narrow
AZZ,G1,N,AZZ,0.164527511903,11466295,2296,21,wide
B,C,N,B,0.0556875413448,6502628,2008,21,narrow
BABY,G1,Q,BABY,0.0675719439543,24460179,3513,21,narrow
BANC,G3,N,BANC,0.0214856847049,21264724,3401,21,narrow
BANF,G1,Q,BANF,0.365628362969,4543463,1161,21,wide
BANR,C,Q,BANR,0.0714184661951,14228876,1875,21,narrow
BBGI,G2,Q,BBGI,0.341479201931,1211449,557,21,wide
BBOX,G2,Q,BBOX,0.0813187966259,37615219,1998,21,narrow
BBRG,G1,Q,BBRG,0.0318249694467,6993523,2109,21,narrow
BBSI,C,Q,BBSI,0.239713074499,10742247,1852,21,wide
BBW,G1,N,BBW,0.0295676267764,3631078,1786,21,narrow
BBX,C,N,BBX,0.0858999108929,5002969,784,21,narrow
BCBP,G1,Q,BCBP,0.101820032643,917802,651,21,middle_excluded
BCC,G3,N,BCC,0.0477901106225,19542049,2840,21,narrow
BCLI,C,Q,BCLI,0.0304788126704,20764108,1484,21,narrow
BCO,G3,N,BCO,0.0307259134368,9656963,2314,21,narrow
BCOM,C,Q,BCOM,1.10652556879,526908,463,21,wide
BCOR,G2,Q,BCOR,0.0233257325721,9096374,2445,21,narrow
BCOV,G3,Q,BCOV,0.0288536092122,16669247,2914,21,narrow
BCPC,C,Q,BCPC,0.254848821751,10297826,2129,21,wide
BCRH,G1,N,BCRH,0.109549062346,9784310,1327,21,middle_excluded
BDE,G1,Q,BDE,0.0290747678993,2167378,1430,21,narrow
BDGE,G1,Q,BDGE,0.101689787019,17330621,1756,21,middle_excluded
BDL,G2,A,BDL,0.979332547693,664044,570,21,wide
BDSI,G3,Q,BDSI,0.014846441399,27056616,3383,21,narrow
BEAT,G1,Q,BEAT,0.0350296938602,7301011,2506,21,narrow
BECN,C,Q,BECN,0.0406932636922,12907976,2882,21,narrow
BEL,G3,N,BEL,0.0144910478443,4949266,1863,21,narrow
BELFA,C,Q,BELFA,1.39673133309,2579407,319,21,wide
BELFB,G1,Q,BELFB,0.134006729891,10484509,1529,21,middle_excluded
BETR,C,N,BETR,0.0227295226599,9372709,3008,21,narrow
BFIN,C,Q,BFIN,0.0650378117697,1700534,949,21,narrow
BGC,G1,N,BGC,0.0254836810829,11406964,2852,21,narrow
BGFV,G2,Q,BGFV,0.0297408494911,15687980,2722,21,narrow
BGG,C,N,BGG,0.0159891650516,6118091,2396,21,narrow
BGS,G1,N,BGS,0.0407312914082,30867799,4155,21,narrow
BGSF,C,A,BGSF,0.148636320269,42544712,2851,21,middle_excluded
BH,C,N,BH,6.38327000925,2208154,1011,21,wide
BHB,C,A,BHB,0.478316341226,2303903,919,21,wide
BHBK,G3,Q,BHBK,0.0600694241758,4310170,1379,21,narrow
BHE,G2,N,BHE,0.0273361226787,2309610,1776,21,narrow
BHLB,G2,N,BHLB,0.0439171062124,16581777,2036,21,narrow
BIO B,G1,N,BIO B,1.66397785834,41650,58,20,wide
BIOA,C,N,BIOA,0.0650645053788,2517866,1315,21,narrow
BJRI,G3,Q,BJRI,0.0463303921961,8067775,2365,21,narrow
BKE,G1,N,BKE,0.0360046914984,10712910,2804,21,narrow
BKEP,G1,Q,BKEP,0.0806751258425,15388481,1549,21,narrow
BKFS,G3,N,BKFS,0.0718047497798,30772332,2303,21,narrow
BKJ,G2,A,BKJ,0.172611319407,236629,359,21,wide
BKMU,G1,Q,BKMU,0.0350762669442,1931340,1116,21,narrow
BKS,G1,N,BKS,0.017259477235,22038469,4029,21,narrow
BKSC,G1,Q,BKSC,0.65993016076,820165,459,21,wide
BLBD,G3,Q,BLBD,0.0815440628769,22179732,1703,21,narrow
BLCM,C,Q,BLCM,0.0752711580016,19056710,2935,21,narrow
BLD,C,N,BLD,0.0418277616367,9399734,2182,21,narrow
BLMT,G2,Q,BLMT,0.398706327544,4500103,795,21,wide
BLOX,G3,N,BLOX,0.0137945335977,89329484,4160,21,narrow
BLUE,G2,Q,BLUE,0.147341762191,110056743,6596,21,middle_excluded
BLVD,C,Q,BLVD,0.0745080281579,25286,25,8,narrow
BLX,C,N,BLX,0.0657100154465,5319643,2110,21,narrow
BMCH,G1,Q,BMCH,0.0455244446729,5076918,1717,21,narrow
BMI,G3,N,BMI,0.135977190702,6631151,2160,21,middle_excluded
BMRC,G1,Q,BMRC,1.02707970102,6944414,893,21,wide
BMTC,G2,Q,BMTC,0.114806080121,16390316,1415,21,middle_excluded
BNCL,G1,Q,BNCL,0.0162491055488,6190276,1511,21,narrow
BNCN,G2,Q,BNCN,0.0471324351948,14346376,1840,21,narrow
BNED,C,N,BNED,0.0196583797722,12684969,2271,21,narrow
BNFT,G1,Q,BNFT,0.12718015281,18674492,2019,21,middle_excluded
BOBE,C,Q,BOBE,0.058083131973,15036145,2298,21,narrow
BOCH,G1,Q,BOCH,0.0368955343922,1558041,665,21,narrow
BOJA,G1,Q,BOJA,0.0452559923361,6369102,2067,21,narrow
BOOM,G3,Q,BOOM,0.0566256406209,7462721,1220,21,narrow
BOOT,C,N,BOOT,0.0292408801039,23193806,2557,21,narrow
BOSC,C,Q,BOSC,0.0464174198268,5780488,1709,21,narrow
BOTJ,C,Q,BOTJ,0.491499866811,199716,247,21,wide
BOX,C,N,BOX,0.0206692070084,31306825,5398,21,narrow
BOXC,C,N,BOXC,0.465527294537,1681450,487,21,wide
BPFH,G3,Q,BPFH,0.0153365866994,5108258,1508,21,narrow
BPI,C,N,BPI,0.0297070186497,7575403,1657,21,narrow
BPMC,C,Q,BPMC,0.141700463035,46929723,2567,21,middle_excluded
BPT,G1,N,BPT,0.0748524311712,34745928,3453,21,narrow
BRC,G2,N,BRC,0.045588144685,10369425,2586,21,narrow
BREW,G2,Q,BREW,0.0778730687862,14353033,3536,21,narrow
BRID,C,Q,BRID,0.812625407772,1032011,560,21,wide
BRKL,G2,Q,BRKL,0.0267566069371,4928267,1683,21,narrow
BRKS,C,Q,BRKS,0.0271974887083,10205306,2191,21,narrow
BRSS,G2,N,BRSS,0.07417470195,2943298,1619,21,narrow
BSET,G3,Q,BSET,0.145408647346,17160860,1597,21,middle_excluded
BSF,C,Q,BSF,0.109911244701,2677590,930,21,middle_excluded
BSFT,G1,Q,BSFT,0.0725207149826,28420410,2975,21,narrow
BSQR,G1,Q,BSQR,0.0432653295995,10206568,1805,21,narrow
BSRR,C,Q,BSRR,0.0912842667967,4171401,1041,21,narrow
BSTC,C,Q,BSTC,0.412273421404,22599843,1975,21,wide
BTN,G1,A,BTN,0.0741950317359,4973387,1318,21,narrow
BTX,C,A,BTX,0.0224116293569,26348697,3610,21,narrow
BUSE,C,Q,BUSE,0.0446340779427,2136467,1250,21,narrow
BV,G2,Q,BV,0.0126816846324,22030729,2728,21,narrow
BVSN,G3,Q,BVSN,0.219012180377,1224059,658,21,wide
BVX,C,A,BVX,0.044725880326,8287782,2321,21,narrow
BW,C,N,BW,0.0211038813817,13505809,2385,21,narrow
BWEN,C,Q,BWEN,0.0608607324193,8795044,1669,21,narrow
BWFG,C,Q,BWFG,0.228488988879,741405,539,21,wide
BWINA,C,Q,BWINA,1.04065409216,115819,170,21,wide
BWINB,G2,Q,BWINB,0.111787245191,6223817,1175,21,middle_excluded
BWL A,C,A,BWL A,0.325259543568,31812,112,20,wide
BWLD,G2,Q,BWLD,0.206660899255,62009885,3464,21,wide
BXS,G1,N,BXS,0.0116937785457,17189325,1996,21,narrow
BYBK,G3,Q,BYBK,0.0706442412607,5873447,715,21,narrow
BZH,C,N,BZH,0.0168457901798,23459624,4004,21,narrow
CAAS,C,Q,CAAS,0.0526158258518,2047934,967,21,narrow
CAC,C,Q,CAC,0.266051306919,10097375,1569,21,wide
CACB,C,Q,CACB,0.0419150322812,22265117,1184,21,narrow
CACI,G1,N,CACI,0.268414506306,13683759,2336,21,wide
CACQ,G3,Q,CACQ,0.0578612791738,8111720,1691,21,narrow
CADC,G1,Q,CADC,0.108794097214,6457408,1199,21,middle_excluded
CAFD,C,Q,CAFD,0.0327265586234,14365722,3419,21,narrow
CAI,C,N,CAI,0.0542177383226,2685299,1349,21,narrow
CAKE,C,Q,CAKE,0.0305231185877,24211293,3243,21,narrow
CAL,C,N,CAL,0.0285870776342,6597894,2190,21,narrow
CALA,G2,Q,CALA,0.0343566029469,8392321,2390,21,narrow
CALD,G3,Q,CALD,0.0198471849428,18846544,2945,21,narrow
CALL,G1,Q,CALL,0.0254662090652,9385387,1931,21,narrow
CALM,G3,Q,CALM,0.0513997652734,44390787,4823,21,narrow
CALX,G1,N,CALX,0.019908508966,4052255,1675,21,narrow
CAMP,C,Q,CAMP,0.0208491529471,30054617,3300,21,narrow
CAMT,C,Q,CAMT,0.034726354632,4572312,1141,21,narrow
CAPL,C,N,CAPL,0.123492118132,14693598,2001,21,middle_excluded
CAPR,C,Q,CAPR,0.120820796344,7431465,1452,21,middle_excluded
CARA,C,Q,CARA,0.0233460439602,41325772,5901,21,narrow
CARB,G3,Q,CARB,0.0302282726976,12892873,2637,21,narrow
CARO,C,Q,CARO,0.19917686252,11265864,1344,21,wide
CART,C,Q,CART,0.120090907055,44661,35,16,middle_excluded
CARV,C,Q,CARV,0.527568346813,15455,120,19,wide
CASH,G1,Q,CASH,0.222467435768,10693515,1702,21,wide
CASS,C,Q,CASS,0.377027976007,13447852,1404,21,wide
CATB,C,Q,CATB,0.0481682076441,59750171,2466,21,narrow
CATM,C,Q,CATM,0.039208367519,7603831,2272,21,narrow
CATO,C,N,CATO,0.0606387077929,10768692,2056,21,narrow
CATY,C,Q,CATY,0.0298411000269,5241999,2014,21,narrow
CAW,G1,A,CAW,0.0408499343168,576251,418,21,narrow
CBAK,G2,Q,CBAK,0.0414726008482,5848119,1359,21,narrow
CBAN,G2,Q,CBAN,0.140098370214,374221,336,21,middle_excluded
CBB,G1,N,CBB,0.0117443524937,20016879,2232,21,narrow
CBF,G1,Q,CBF,0.0827766931026,6249695,1475,21,narrow
CBFV,G1,Q,CBFV,0.537699276132,691424,255,20,wide
CBM,G1,N,CBM,0.0684781492559,28175727,3447,21,narrow
CBMG,G2,Q,CBMG,0.191010395414,9534483,1235,21,wide
CBMX,G2,Q,CBMX,0.0584934431304,9575667,1888,21,narrow
CBNK,C,Q,CBNK,0.230944302149,1214063,494,21,wide
CBPO,C,Q,CBPO,0.293577409616,47767377,2571,21,wide
CBPX,G3,N,CBPX,0.0281701665156,9787613,2181,21,narrow
CBU,C,N,CBU,0.0994661626818,3030911,1857,21,narrow
CBZ,G2,N,CBZ,0.0183977959552,2654574,1566,21,narrow
CCBG,C,Q,CCBG,0.156226920339,9151445,1241,21,wide
CCC,G3,N,CCC,0.0329527896471,8427679,2354,21,narrow
CCF,G2,A,CCF,0.459934570222,15127658,1708,21,wide
CCLP,C,Q,CCLP,0.134849574194,9907913,1660,21,middle_excluded
CCMP,C,Q,CCMP,0.119801574153,11286132,1920,21,middle_excluded
CCN,G1,Q,CCN,0.059000215368,7722597,925,21,narrow
CCNE,C,Q,CCNE,0.236107548558,11377590,1189,21,wide
CCO,G1,N,CCO,0.0221271060341,17746377,2194,21,narrow
CCOI,G3,Q,CCOI,0.0453612645167,8977438,2409,21,narrow
CCRN,C,Q,CCRN,0.0315499739589,9306459,2070,21,narrow
CCS,G2,N,CCS,0.0601538349726,6788849,1772,21,narrow
CCUR,C,Q,CCUR,0.0962625611527,5700488,1483,21,narrow
CCXI,C,Q,CCXI,0.0269745340211,22929796,2593,21,narrow
CDI,G3,N,CDI,0.0319564451474,5229764,1826,21,narrow
CDNA,G3,Q,CDNA,0.0930988851438,7832490,1069,21,narrow
CDTX,G3,Q,CDTX,0.178091023524,21761668,1759,21,wide
CDXS,G1,Q,CDXS,0.0296237909851,3071302,1158,21,narrow
CDZI,G1,Q,CDZI,0.0804821565406,4000648,1022,21,narrow
CEB,G1,N,CEB,0.0854898877107,7596361,2140,21,narrow
CECE,C,Q,CECE,0.03329221657,11074629,2187,21,narrow
CECO,C,Q,CECO,0.0221575517406,3530451,1535,21,narrow
CEF,C,A,CEF,0.0153962732264,16039826,3503,21,narrow
CEL,C,N,CEL,0.0524785310634,1184013,785,21,narrow
CELP,C,N,CELP,0.093090033029,5403738,1425,21,narrow
CEMI,G3,Q,CEMI,0.0607904111391,27524166,1852,21,narrow
