date,actual,crps__VIX_forecast,pinball__VIX_forecast,crps__VIX_SPF_forecast,pinball__VIX_SPF_forecast,crps__VIX_SPF_JLN_forecast,pinball__VIX_SPF_JLN_forecast,crps__JLN_SPF_forecast,pinball__JLN_SPF_forecast
2005-03-14,0.0008862197262681,0.07700608610660212,0.03788064774147797,0.08351472356228493,0.039794806579572295,0.08560212861738849,0.040731307858637864,0.5108154064247797,0.2315576377477085
2005-03-15,0.0009898806010165,0.110680633534722,0.04712342167007656,0.1291941625015762,0.0545580112718633,0.13096382687575903,0.055169344230901994,0.4624206880479158,0.2085841154918638
2005-03-16,0.001115778887067,0.12286234268529495,0.052893302354843366,0.14444943078764164,0.060785318590085034,0.1462012035129339,0.06131283668557437,0.41155453603720704,0.18078624464363485
2005-03-17,0.0011211044608531,0.1127549869852597,0.05170147080120902,0.13148791855844136,0.05392874779401376,0.13321681019575124,0.054905281833555225,0.40876206183318353,0.1797225530414129
2005-03-18,0.0011749225540206,0.13646871113552458,0.05649442350806931,0.16101347253763354,0.06923799340938873,0.16206528074102391,0.06941299683574045,0.3893626049351191,0.17555673448880546
2005-03-21,0.0013584558270798,0.22154229746052165,0.09780150954759953,0.2583929905457539,0.11313242845056497,0.25773074001427687,0.11310927683668254,0.3364961361650998,0.16201685641286862
2005-03-22,0.0016241051646965,0.32118919807962515,0.13995383402297376,0.36998684022500344,0.15693859655510864,0.36765287020232595,0.15673371660297772,0.2896395995519578,0.14252021996689176
2005-03-23,0.0016378174101295,0.2723432653441994,0.12025451949567628,0.32034437871524585,0.13974279513362461,0.3183914011069876,0.13935427976254725,0.2877257894856952,0.1412803460055452
2005-03-24,0.0016793516098595,0.31061074120504933,0.13645326298479052,0.3611991684109727,0.1550595295224066,0.3581681108432653,0.15451297085568122,0.28313718820647304,0.13793838202954312
2005-03-28,0.001772529321223,0.4247975202283231,0.17816512448586308,0.4784111427840231,0.19433372142109442,0.4736915019089081,0.19376760756829461,0.27637978831318927,0.13084155158899174
2005-03-29,0.0017432302890792,0.37438006057152573,0.16084404652454504,0.42760518503278255,0.17820128595628393,0.4232810690858423,0.17757024087701065,0.2773676050485919,0.1325820947266965
