panel_id,kind,model,mean_crps_scaled,mean_pinball_scaled,coverage_error_90_abs,in_mcs_crps,in_mcs_pinball,is_best_crps,is_best_pinball,is_best_coverage
K1637_daily_r2_by_asset__0050.TW,primary,CONST,3.1318405771844158,1.456045722730028,0.07925925925925925,False,False,False,False,False
K1637_daily_r2_by_asset__0050.TW,primary,EWMA_094,2.9768213109372232,1.3580554421472206,0.05555555555555558,True,True,True,True,True
K1637_daily_r2_by_asset__0050.TW,primary,HAR,6.533024988397866,3.467370878887247,0.1325925925925926,False,False,False,False,False
K1637_daily_r2_by_asset__0050.TW,primary,FIGARCH_lite,5.28629248537192,2.7878587290888883,0.10814814814814822,False,False,False,False,False
K1637_daily_r2_by_asset__0050.TW,primary,MS_vol_lite,3.1402958387064723,1.4603902507968725,0.08000000000000007,False,False,False,False,False
K1637_daily_r2_by_asset__0050.TW,primary,MSM_GMM,3.2297530595601422,1.5142807981989046,0.125925925925926,False,False,False,False,False
K1637_daily_r2_by_asset__GLD,primary,CONST,3.0475614030159868,1.4114232215827942,0.07090395480225986,False,False,False,False,False
K1637_daily_r2_by_asset__GLD,primary,EWMA_094,2.812293467797599,1.2765101223765942,0.04194915254237286,True,True,True,True,False
K1637_daily_r2_by_asset__GLD,primary,HAR,2.8815276939452086,1.3657799297176039,0.022175141242937846,False,False,False,False,False
K1637_daily_r2_by_asset__GLD,primary,FIGARCH_lite,2.942529608356385,1.411740350462617,0.021468926553672385,False,False,False,False,True
K1637_daily_r2_by_asset__GLD,primary,MS_vol_lite,3.0655112574370467,1.4240524787960873,0.07655367231638421,False,False,False,False,False
K1637_daily_r2_by_asset__GLD,primary,MSM_GMM,3.1177268677564776,1.4569456716332543,0.10338983050847461,False,False,False,False,False
K1637_daily_r2_by_asset__QQQ,primary,CONST,2.588100522866286,1.1761675058029664,0.02429378531073445,False,False,False,False,False
K1637_daily_r2_by_asset__QQQ,primary,EWMA_094,2.478570492595375,1.1111132596838436,0.03418079096045201,True,True,True,True,False
K1637_daily_r2_by_asset__QQQ,primary,HAR,2.703481783058394,1.345036986292815,0.0278248587570622,False,False,False,False,False
K1637_daily_r2_by_asset__QQQ,primary,FIGARCH_lite,2.8169515134532763,1.414622910408781,0.03418079096045201,False,False,False,False,False
K1637_daily_r2_by_asset__QQQ,primary,MS_vol_lite,2.5349378663856297,1.1465869655867316,0.010875706214689251,False,False,False,False,True
K1637_daily_r2_by_asset__QQQ,primary,MSM_GMM,2.497658639159799,1.116992683468608,0.0412429378531074,False,True,False,False,False
K1637_daily_r2_by_asset__SPY,primary,CONST,2.7595624495915283,1.2680636756825205,0.012288135593220395,False,False,False,False,False
K1637_daily_r2_by_asset__SPY,primary,EWMA_094,2.6714573151504855,1.207158342846102,0.03276836158192098,True,True,True,True,False
K1637_daily_r2_by_asset__SPY,primary,HAR,2.956991959315137,1.4699654223373,0.02429378531073445,False,False,False,False,False
K1637_daily_r2_by_asset__SPY,primary,FIGARCH_lite,3.07029465990169,1.5437268792516143,0.026412429378531055,False,False,False,False,False
K1637_daily_r2_by_asset__SPY,primary,MS_vol_lite,2.6969103177384697,1.2376146431534285,0.0032485875706214085,True,False,False,False,True
K1637_daily_r2_by_asset__SPY,primary,MSM_GMM,2.7048527603778054,1.220242673970536,0.029943502824858803,True,True,False,False,False
K1637_daily_r2_by_asset__TLT,primary,CONST,1.8132963002865834,0.8138921811859845,0.025000000000000022,False,False,False,False,False
K1637_daily_r2_by_asset__TLT,primary,EWMA_094,1.7353932595092232,0.7739738258668463,0.017231638418079065,True,True,True,True,False
K1637_daily_r2_by_asset__TLT,primary,HAR,1.904215502254527,0.9244226206062286,0.00522598870056501,False,False,False,False,False
K1637_daily_r2_by_asset__TLT,primary,FIGARCH_lite,2.0080742952685076,0.9951264485478647,0.0016949152542372614,False,False,False,False,True
K1637_daily_r2_by_asset__TLT,primary,MS_vol_lite,1.8960250204244786,0.8585455592913623,0.07372881355932204,False,False,False,False,False
K1637_daily_r2_by_asset__TLT,primary,MSM_GMM,1.8435289504888852,0.8269715030360306,0.06172316384180798,False,False,False,False,False
K1613_taifex_noise_robust_rv,primary,HAR_RV_forecast,0.5910132069408649,0.2743974429586323,0.03390804597701147,True,True,True,True,False
K1613_taifex_noise_robust_rv,primary,HAR_MedRV_input_forecast,0.5934998983320401,0.27519554972787275,0.03103448275862064,True,True,False,False,False
K1613_taifex_noise_robust_rv,primary,HAR_RK_input_forecast,0.5961181863525301,0.27680329171700513,0.019540229885057436,True,True,False,False,True
K1613_taifex_noise_robust_rv,primary,HAR_TSRV_input_forecast,0.6031446863854149,0.27995344538497763,0.022413793103448265,False,False,False,False,False
K1582_tx_active_harq,primary,HAR_forecast,0.5223346690906756,0.23912782431605364,0.01311861743912024,False,False,False,False,False
K1582_tx_active_harq,primary,HARQ_forecast,0.5171505079695118,0.23672323505422976,0.010761979575805158,True,True,False,False,False
K1582_tx_active_harq,primary,HARQ_full_forecast,0.5176296024946716,0.23695933414651593,0.009190887666928549,True,True,False,False,False
K1582_tx_active_harq,primary,SHARK_like_forecast,0.5164373572303671,0.23622483745963532,0.006834249803613579,True,True,True,True,True
K1601_agreed_disagreed_uncertainty_21d,primary,VIX_forecast,0.9909450449984297,0.4613694458732334,0.10629567172568866,True,True,True,True,False
K1601_agreed_disagreed_uncertainty_21d,primary,VIX_SPF_forecast,0.997945484795775,0.464628409169543,0.10592092936106434,True,True,False,False,False
K1601_agreed_disagreed_uncertainty_21d,primary,VIX_SPF_JLN_forecast,1.04837343466875,0.48631606778865166,0.09711448379239274,False,False,False,False,False
K1601_agreed_disagreed_uncertainty_21d,primary,JLN_SPF_forecast,1.6834298589485377,0.7787264310920501,0.0682593217163201,False,False,False,False,True
research_data_driven_vc_screening__AIQ__5,primary,pred_baseline,0.7028452192612098,0.3186776103312494,0.04922480620155045,True,True,True,True,True
research_data_driven_vc_screening__AIQ__5,primary,pred_augmented,0.7036797069559572,0.31935427936517446,0.06763565891472867,True,True,False,False,False
research_data_driven_vc_screening__AIQ__21,primary,pred_baseline,0.5301519051627893,0.23873933289115115,0.015686274509803866,True,True,True,True,False
research_data_driven_vc_screening__AIQ__21,primary,pred_augmented,0.5328251710969849,0.24014857444047014,0.0009803921568627416,True,True,False,False,True
research_data_driven_vc_screening__ARKK__5,primary,pred_baseline,0.5720440198952899,0.2583074863881447,0.086046511627907,True,True,True,True,True
research_data_driven_vc_screening__ARKK__5,primary,pred_augmented,0.5721049935712458,0.258329819937542,0.09089147286821708,True,True,False,False,False
research_data_driven_vc_screening__ARKK__21,primary,pred_baseline,0.3669784808480234,0.16231015003976126,0.039215686274509776,True,True,True,True,False
research_data_driven_vc_screening__ARKK__21,primary,pred_augmented,0.36983995585018165,0.16352190853952386,0.03725490196078429,True,True,False,False,True
research_data_driven_vc_screening__IGV__5,primary,pred_baseline,0.6857619803261099,0.3118004502345692,0.08023255813953489,True,True,False,False,True
research_data_driven_vc_screening__IGV__5,primary,pred_augmented,0.6817328097593862,0.3099153370007437,0.08217054263565893,True,True,True,True,False
research_data_driven_vc_screening__IGV__21,primary,pred_baseline,0.48403609775043327,0.2154719476493782,0.026470588235294135,True,True,False,False,False
research_data_driven_vc_screening__IGV__21,primary,pred_augmented,0.4784231024108118,0.2131359432592075,0.021568627450980316,True,True,True,True,True
research_data_driven_vc_screening__IPO__5,primary,pred_baseline,0.5783224760758219,0.2599950030424385,0.0463178294573644,True,True,False,True,True
research_data_driven_vc_screening__IPO__5,primary,pred_augmented,0.5779370180730625,0.2601121776832874,0.05600775193798457,True,True,True,False,False
research_data_driven_vc_screening__IPO__21,primary,pred_baseline,0.3995717762850801,0.17683302912944238,0.014705882352941124,True,True,True,True,False
research_data_driven_vc_screening__IPO__21,primary,pred_augmented,0.40177360481624247,0.1778598367252468,0.013725490196078383,True,True,False,False,True
research_data_driven_vc_screening__SOXX__5,primary,pred_baseline,0.8091630656187205,0.37057738593037476,0.13352713178294573,True,True,True,True,False
research_data_driven_vc_screening__SOXX__5,primary,pred_augmented,0.8102555024542563,0.37114859780767645,0.1257751937984496,True,True,False,False,True
