date,actual,crps__HAR_forecast,pinball__HAR_forecast,crps__HARQ_forecast,pinball__HARQ_forecast,crps__HARQ_full_forecast,pinball__HARQ_full_forecast,crps__SHARK_like_forecast,pinball__SHARK_like_forecast
2021-03-29,3.3722440107295897e-05,0.19409641651559081,0.08624871764972876,0.1821113424498775,0.08246590273680322,0.18484440293917273,0.08339173613886106,0.14652668091782645,0.07023495303889732
2021-03-30,4.048166768877957e-05,0.12049382972311483,0.052868117085339714,0.11975206440767543,0.05286623828717006,0.11951682391853916,0.05321482787192817,0.11838847903062431,0.05390075522099883
2021-03-31,2.703400855189012e-05,0.25813924097479907,0.11498572370145059,0.23755871569544512,0.10552645728196383,0.22829582475921323,0.10114843087673511,0.24049715009792555,0.10688575356185297
2021-04-01,4.548346115118823e-05,0.1536423855147733,0.0709474051014906,0.14681935776530147,0.06956222592170656,0.14655231983704894,0.06957486809547145,0.137565541583532,0.06727797376304673
2021-04-06,5.3506361824202685e-05,0.2071550943838565,0.08715898232204791,0.22743638652719897,0.09384474868341755,0.23010673063520456,0.09549088685178005,0.2392306782865286,0.10111454226391094
2021-04-07,2.1797735402967653e-05,0.37838354061269547,0.16283075934598093,0.30788655033722095,0.13496851268036425,0.30929699097098046,0.1355718437471585,0.27716508348481306,0.12246859035243889
2021-04-08,3.4947957271065357e-05,0.10125653798715438,0.04745325272608532,0.10392276138858725,0.045390358433982717,0.10783069951018195,0.04933236980975132,0.10834318108559704,0.049776105549429475
2021-04-09,3.918483754127218e-05,0.11309434624747433,0.05421872283016677,0.11281163898122085,0.053790160300597245,0.1131347450573625,0.05359692396130257,0.11569394422875903,0.056851165651386225
2021-04-12,4.763541134458965e-05,0.15828787035046815,0.07384032709575472,0.1510353191365457,0.07226407685530642,0.1482434888529331,0.07165940376381422,0.14367618573967525,0.07032316252080911
2021-04-13,5.744252879538615e-05,0.2585397046682436,0.10955396670140136,0.236025078630678,0.09530711101430042,0.2375058046814031,0.09621253416439977,0.22878530020444898,0.09426276170198952
2021-04-14,0.0001384378087568,2.035396022821232,0.9519346106339907,2.0162679675567063,0.9414264482311332,2.0714789549056527,0.9723424172845169,1.9458974080640248,0.9015992829414563
2021-04-15,4.595596766616372e-05,0.34603766292962757,0.15140195354471245,0.3986791931042148,0.17698408147264125,0.37799928515432274,0.16711380376696247,0.3935921409974377,0.17454945581462442
2021-04-16,4.602912617055538e-05,0.16537533718239372,0.08048835669904277,0.15990334030892317,0.07753930998814365,0.1511422603930861,0.07210055968050981,0.15171247090620493,0.0724694823589701
2021-04-19,2.823291831883712e-05,0.40226189231357856,0.17628385067528163,0.41676186237186047,0.18202768730756022,0.3963549479576218,0.1738862309586679,0.38519990153546013,0.16936314475697864
2021-04-20,2.3216149273645595e-05,0.36668296346677515,0.15924808059716178,0.3588242449020336,0.15607721884956796,0.34287707735634665,0.1497922544289177,0.34911953359646125,0.15227781364625423
2021-04-21,4.135597415357945e-05,0.12026041599063188,0.05569591111200262,0.12233758337494259,0.0540084076746528,0.12105543132806627,0.05495922532200214,0.1263701973048615,0.05716157853269547
