code,ticker,name,sector,n_obs,n_events,n_dropped_outliers,theta0,theta1,theta2,theta2_se,theta2_t,omega_g,alpha,gamma,beta,persistence,loglik,tau_at_event,tau_nonevent,tau_jump_pct,data_start,data_end,marketCap,log_mktcap,beta_info,beta_rolling_0050
2330,2330.TW,TSMC,foundry,3911,60,0,8.666617411640635e-05,1.9020735121262981e-07,6.05283061585334e-05,7.401979314775231e-05,0.8177313605525985,0.050302639045416084,0.050302039800682624,0.050302039804156456,0.902421160806561,0.9778742205093218,10783.476199536455,0.00021811640581829783,0.00015997444192412458,36.344533035939456,2010-01-05,2025-12-30,51216734224384.0,31.56708743489335,1.251,1.1312499667485048
2303,2303.TW,UMC,foundry,3911,60,0,0.00017103036074520651,2.474102853981771e-07,0.0004312949123237969,0.00012098527806834365,3.564854494777139,0.04927736312610116,0.04927888942854485,0.049278347924153885,0.8942170923534223,0.9681351557440441,10194.655889113536,0.0006963723508173637,0.00026635736360168283,161.44287561681062,2010-01-05,2025-12-30,756548173824.0,27.352032048020444,1.011,0.904856100478001
2454,2454.TW,MediaTek,fabless,3911,59,0,0.00999999422789697,1.7544139719249506e-05,-0.0016094254716869773,0.00252077949591584,-0.6384634095503252,0.004760289568573304,0.02946977886263777,0.07335204264010678,0.779357869054123,0.8455036692368141,9424.236296963627,0.015143000327815596,0.016758436775044842,-9.639541377957215,2010-01-05,2025-12-30,2593679212544.0,28.584098529003697,1.152,1.0744893198098298
2379,2379.TW,Realtek,fabless,3911,60,0,0.009995369850747487,2.251420301562539e-05,-0.0023851532834206534,0.002447040724089082,-0.974709272281741,0.0010830938820144238,0.04004980710844282,0.0001,0.9193487083685816,0.9594485154770245,9502.974195214385,0.016317902900688398,0.018667747353283987,-12.58772367187737,2010-01-05,2025-12-30,269612777472.0,26.320252609045472,0.688,0.9535863564476776
2881,2881.TW,Fubon FH,financials,3911,60,0,5.067658864871493e-05,1.8600729879640558e-07,-2.8873923443192122e-05,7.1666287627172294e-06,-4.028940858971543,0.05014436969565208,0.05014408383945395,0.05014408383937862,0.9011549806887217,0.976371106447865,11325.764556727394,9.442800214124241e-05,0.0001223151647174715,-22.79943181259984,2010-01-05,2025-12-30,1218640740352.0,27.828757206297812,0.675,0.7595485148862253
2886,2886.TW,Mega FH,financials,3911,59,0,4.921624044403769e-05,9.460746329575947e-08,2.0652292153033544e-05,1.7619518157492582e-05,1.172125819130377,0.050086905584588184,0.050030544660656956,0.05003054045624791,0.9002448881883551,0.9752907030771361,12069.492860242675,0.00010899708368317813,8.561981051216125e-05,27.30357966360651,2010-01-05,2025-12-30,584916729856.0,27.09473533192017,0.457,0.5724159374834957
2882,2882.TW,Cathay FH,financials,3911,60,0,7.955657403314583e-05,9.343764141702643e-08,6.905722825982025e-05,3.22499876116211e-05,2.1413102259591525,0.10223235405469762,0.041334295587613167,0.07857346163885291,0.8672580937661069,0.9478791201731465,11201.143876770819,0.00018988853951606313,0.00011546833833456636,64.4507423029387,2010-01-05,2025-12-30,1051782283264.0,27.68150725375367,,0.7737613802329485
2603,2603.TW,Evergreen,shipping,3911,60,0,9.972226531143242e-05,5.376707345731586e-07,-3.6186501379063005e-05,1.8214493912054904e-05,-1.9866871708751503,0.0501812288488696,0.05018087015483949,0.05018086984888764,0.9014498593354193,0.9767211644147027,9412.069035855677,0.0002938851726393222,0.00030648183573008637,-4.110084717013331,2010-01-05,2025-12-30,433008574464.0,26.79402336721011,0.885,0.724761915039763
2615,2615.TW,Wanhai,shipping,3911,60,0,0.00012308509709879617,2.8925478533364016e-07,5.37694749539026e-05,5.984539330848747e-05,0.8984730817413951,0.05026884352581354,0.05094263527674726,0.05026831122608486,0.90327279112184,0.9793495820116297,9398.891847514693,0.0002952296650154443,0.0002344035400462953,25.94932011570118,2010-01-05,2025-12-30,213828337664.0,26.088439369616815,0.985,0.7188681452660841
1301,1301.TW,Formosa,trad_mfg,3911,60,0,0.0002555571675291852,2.3834395375031006e-07,0.0001470522934634099,9.730408300142262e-05,1.5112653953201527,0.04057500324141166,0.0846188811251299,0.10419898000861204,0.8041779882086305,0.9408963593380664,11292.68137376293,0.0005115981396919662,0.0003471044283733469,47.39026583137949,2010-01-05,2025-12-30,327835648000.0,26.515778246580712,0.495,0.6371649395514106
2002,2002.TW,China Steel,trad_mfg,3911,60,0,3.6355419646233866e-05,9.519988155815902e-08,2.7796443742288756e-05,1.698010281565377e-05,1.6370009088910533,0.04998009278286508,0.049980232458900785,0.0499801502325013,0.8998411231646454,0.9748114307397968,12190.076994979921,0.00010302277521803713,7.299406314964885e-05,41.138567676147694,2010-01-05,2025-12-30,308701790208.0,26.455641567621385,0.664,0.5008041065911538
