code,ticker,name,sector,marketCap,log_mktcap,beta_info,beta_rolling_0050
2330,2330.TW,TSMC,foundry,51216734224384.0,31.56708743489335,1.251,1.1312499667485048
2303,2303.TW,UMC,foundry,756548173824.0,27.352032048020444,1.011,0.904856100478001
2454,2454.TW,MediaTek,fabless,2593679212544.0,28.584098529003697,1.152,1.0744893198098298
2379,2379.TW,Realtek,fabless,269612777472.0,26.320252609045472,0.688,0.9535863564476776
2881,2881.TW,Fubon FH,financials,1218640740352.0,27.828757206297812,0.675,0.7595485148862253
2886,2886.TW,Mega FH,financials,584916729856.0,27.09473533192017,0.457,0.5724159374834957
2882,2882.TW,Cathay FH,financials,1051782283264.0,27.68150725375367,,0.7737613802329485
2603,2603.TW,Evergreen,shipping,433008574464.0,26.79402336721011,0.885,0.724761915039763
2615,2615.TW,Wanhai,shipping,213828337664.0,26.088439369616815,0.985,0.7188681452660841
1301,1301.TW,Formosa,trad_mfg,327835648000.0,26.515778246580712,0.495,0.6371649395514106
2002,2002.TW,China Steel,trad_mfg,308701790208.0,26.455641567621385,0.664,0.5008041065911538
2317,2317.TW,Hon Hai,electronics,2806510518272.0,28.662963019147046,0.653,0.8915549896203208
2912,2912.TW,Pres. Chain,consumer,234434822144.0,26.18044344225034,0.019,0.43912972892762364
1216,1216.TW,Uni-President,consumer,409105104896.0,26.73723794016128,0.177,0.4822251063747486
