asset,period,garch_qlike,gjr_qlike,delta_pct,dm_tstat,dm_pvalue
SPY,2023-2024,-8.623,-8.674,-0.59,2.945,0.0032
SPY,2025,-8.268,-8.412,-1.74,1.979,0.0478
QQQ,2023-2024,-7.953,-7.979,-0.33,1.336,0.1814
QQQ,2025,-7.765,-7.889,-1.6,1.714,0.0864
GLD,2023-2024,-8.435,-8.402,0.39,-3.218,0.0013
GLD,2025,-7.46,-7.345,1.54,-1.815,0.0696
TLT,2023-2024,-8.15,-8.134,0.2,-1.181,0.2375
TLT,2025,-8.826,-8.855,-0.33,1.501,0.1332
EEM,2023-2024,-8.239,-8.24,-0.01,0.064,0.9488
EEM,2025,-7.896,-8.01,-1.44,1.504,0.1325
BTC-USD,2023-2024,-6.322,-6.326,-0.06,0.191,0.8482
BTC-USD,2025,-6.538,-6.572,-0.52,1.133,0.2573
