event_date,event_id,region,announcement_type,ticker,channel,metric,metric_family,effect_value,effect_units,anchor_date,pre_value,post_value,pre_start,pre_end,post_start,post_end,n_pre,n_post,boot_p_value,boot_n_anchors,boot_null_mean,boot_null_p95,boot_null_p99
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IEF,rates,t1_r2,rv_ratio,0.13575969529237597,post_pre_rsq_ratio,2014-09-05,8.274376991334127e-06,1.1233268990777678e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.721,2989,1.1764594352561284,4.195069195463986,10.22115520820225
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IEF,rates,rv5,rv_ratio,0.6950277916161525,post_pre_rsq_ratio,2014-09-05,8.274376991334127e-06,5.750921967286462e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.567,2985,1.1421086790374464,3.4715908907154054,6.554099086998079
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IEF,rates,rv22,rv_ratio,1.236495586559295,post_pre_rsq_ratio,2014-09-05,8.274376991334127e-06,1.0231230631312426e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.329,2968,1.2356430791089978,2.7800572501972374,5.324346633414873
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,ITA,defense,t1_r2,rv_ratio,0.10158376534759189,post_pre_rsq_ratio,2014-09-05,6.938920328257289e-05,7.048816543913237e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.73,2989,1.243629223996345,5.011456232122221,10.168516046791463
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,ITA,defense,rv5,rv_ratio,0.19675322622490227,post_pre_rsq_ratio,2014-09-05,6.938920328257289e-05,1.3652549611021795e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.91,2985,1.5509489026198215,5.0875928414989495,14.703945130105074
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,ITA,defense,rv22,rv_ratio,1.314755025920829,post_pre_rsq_ratio,2014-09-05,6.938920328257289e-05,9.122980376040478e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.332,2968,1.5736087583878757,3.7389917101067676,7.36395109249356
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IYT,transport_industrials,t1_r2,rv_ratio,0.22234534684400384,post_pre_rsq_ratio,2014-09-05,6.160032937099926e-05,1.3696546599699707e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.605,2989,1.2635360010745496,4.772818619964429,12.220153147581618
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IYT,transport_industrials,rv5,rv_ratio,0.2251813118046634,post_pre_rsq_ratio,2014-09-05,6.160032937099926e-05,1.3871242975360948e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.893,2985,1.324950825327139,3.990233050113142,9.988240900627314
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IYT,transport_industrials,rv22,rv_ratio,2.1218885414968063,post_pre_rsq_ratio,2014-09-05,6.160032937099926e-05,0.0001307090330447525,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.119,2968,1.324852505702518,3.239934733174616,6.810013411746211
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,PPA,defense,t1_r2,rv_ratio,0.13050256374005087,post_pre_rsq_ratio,2014-09-05,5.775642429089921e-05,7.537361442420496e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.7,2989,1.3516206692454584,5.346314548018129,13.398705492718397
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,PPA,defense,rv5,rv_ratio,0.3605480663644777,post_pre_rsq_ratio,2014-09-05,5.775642429089921e-05,2.082396709821006e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.806,2985,1.5254014481188762,4.917550469823145,15.511648441136858
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,PPA,defense,rv22,rv_ratio,1.487771987484784,post_pre_rsq_ratio,2014-09-05,5.775642429089921e-05,8.592839015728557e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.262,2968,1.5270625402472169,3.8923476691917958,9.736536344315219
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,QQQ,benchmark,t1_r2,rv_ratio,0.09607232616754569,post_pre_rsq_ratio,2014-09-05,3.759172298518193e-05,3.611524271832422e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.706,2989,1.3832422902225694,5.070688045426102,14.31274046331436
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,QQQ,benchmark,rv5,rv_ratio,0.8909399267110312,post_pre_rsq_ratio,2014-09-05,3.759172298518193e-05,3.3491966921359374e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.443,2985,1.504355014030946,5.298743142007199,12.175970918541323
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,QQQ,benchmark,rv22,rv_ratio,2.10126671172022,post_pre_rsq_ratio,2014-09-05,3.759172298518193e-05,7.899023614497064e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.194,2968,1.5719026112089718,4.888954115120015,9.458605404724544
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,SPY,benchmark,t1_r2,rv_ratio,0.17178438950357827,post_pre_rsq_ratio,2014-09-05,3.9020168984812975e-05,6.703055907382556e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.652,2989,1.4219101770149747,4.845223766788935,15.689419267943823
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,SPY,benchmark,rv5,rv_ratio,0.49609315623168604,post_pre_rsq_ratio,2014-09-05,3.9020168984812975e-05,1.9357638788369613e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.665,2985,1.6885086082489453,5.673347947251062,19.32227278155029
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,SPY,benchmark,rv22,rv_ratio,1.4275301378223388,post_pre_rsq_ratio,2014-09-05,3.9020168984812975e-05,5.570246720874102e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.292,2968,1.9925068737720821,6.796074764942886,21.31919464179287
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,TLT,rates,t1_r2,rv_ratio,0.004165020285548985,post_pre_rsq_ratio,2014-09-05,4.476275599116001e-05,1.864377867402608e-07,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.945,2989,1.0990386400547334,4.37202743309179,7.857163715485451
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,TLT,rates,rv5,rv_ratio,0.7267905652384907,post_pre_rsq_ratio,2014-09-05,4.476275599116001e-05,3.253314872844782e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.604,2985,1.254151933590239,2.998933198724965,8.66810873217449
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,TLT,rates,rv22,rv_ratio,1.3290702792298674,post_pre_rsq_ratio,2014-09-05,4.476275599116001e-05,5.9492848604269454e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.26,2968,1.2443149130951503,2.5091223528798485,4.4351483268868135
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,UUP,dollar,t1_r2,rv_ratio,8.76609575301936,post_pre_rsq_ratio,2014-09-05,3.85446346142515e-06,3.378859577936731e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.011,2989,1.1920103716421864,4.054975814369187,9.203119214923664
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,UUP,dollar,rv5,rv_ratio,2.166313336745348,post_pre_rsq_ratio,2014-09-05,3.85446346142515e-06,8.34997560248294e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.106,2985,1.1899933393968525,3.0912143690306144,5.9172380905453394
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,UUP,dollar,rv22,rv_ratio,6.101018094537458,post_pre_rsq_ratio,2014-09-05,3.85446346142515e-06,2.3516151322888322e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.011,2968,1.3909679074128758,2.429185110387114,6.39324648854305
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XAR,defense,t1_r2,rv_ratio,0.08380026606309167,post_pre_rsq_ratio,2014-09-05,7.652881700483156e-05,6.413135226498538e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.731,2989,1.2947115845450825,5.304565125985018,14.419745991326623
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XAR,defense,rv5,rv_ratio,0.17443411292944005,post_pre_rsq_ratio,2014-09-05,7.652881700483156e-05,1.334923630777724e-05,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.951,2985,1.4059216965136632,3.924023429588977,13.037388537792204
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XAR,defense,rv22,rv_ratio,1.1942870560385441,post_pre_rsq_ratio,2014-09-05,7.652881700483156e-05,9.139737556281275e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.359,2968,1.5012772624900195,3.3700676669509657,7.376531824345111
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XLI,industrials,t1_r2,rv_ratio,0.014858924663884918,post_pre_rsq_ratio,2014-09-05,5.706777834634613e-05,8.479658191836402e-07,2014-07-24,2014-08-27,2014-09-08,2014-09-08,25,1,0.885,2989,1.195081505219307,4.496673015817913,9.45460632065448
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XLI,industrials,rv5,rv_ratio,0.07867101253695245,post_pre_rsq_ratio,2014-09-05,5.706777834634613e-05,4.48957990574142e-06,2014-07-24,2014-08-27,2014-09-08,2014-09-12,25,5,0.978,2985,1.358835241716603,3.682932054688541,11.340243225689818
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XLI,industrials,rv22,rv_ratio,1.4439964649674937,post_pre_rsq_ratio,2014-09-05,5.706777834634613e-05,8.24056701956723e-05,2014-07-24,2014-08-27,2014-09-08,2014-10-07,25,22,0.292,2968,1.462127137538808,3.5690298582820588,9.103114665848082
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,ITA,defense,beta63_delta,beta_delta,-0.20767976821190604,post63_beta_minus_pre85_beta_to_SPY,2014-09-05,1.2304776639960422,1.0227978957841362,2014-04-29,2014-08-27,2014-09-08,2014-12-04,85,63,0.832,2867,-0.010945784224368165,0.3618806414648745,0.460970906346561
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,PPA,defense,beta63_delta,beta_delta,-0.12668764158808066,post63_beta_minus_pre85_beta_to_SPY,2014-09-05,1.1611738884363048,1.034486246848224,2014-04-29,2014-08-27,2014-09-08,2014-12-04,85,63,0.778,2867,-0.002688362381875745,0.27918367464790783,0.3802048777088841
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XAR,defense,beta63_delta,beta_delta,-0.28173079472218165,post63_beta_minus_pre85_beta_to_SPY,2014-09-05,1.2901249927295864,1.0083941980074047,2014-04-29,2014-08-27,2014-09-08,2014-12-04,85,63,0.916,2867,0.013513721822552458,0.40954883393737634,0.5905507664967022
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,XLI,industrials,beta63_delta,beta_delta,0.03512666651171559,post63_beta_minus_pre85_beta_to_SPY,2014-09-05,1.1467940717667786,1.1819207382784942,2014-04-29,2014-08-27,2014-09-08,2014-12-04,85,63,0.379,2867,-0.00586643558601678,0.20136365048692192,0.35826317560681603
2014-09-05,nato_wales_defence_investment_pledge,NATO,alliance_spending_target,IYT,transport_industrials,beta63_delta,beta_delta,0.09905643279143783,post63_beta_minus_pre85_beta_to_SPY,2014-09-05,1.1813595219776547,1.2804159547690925,2014-04-29,2014-08-27,2014-09-08,2014-12-04,85,63,0.309,2867,-0.008822871237732968,0.36458615908042835,0.6387151761602184
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,IEF,rates,t1_r2,rv_ratio,3.831366372341473,post_pre_rsq_ratio,2022-02-28,2.4518192463700364e-05,9.39381781160177e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.064,2989,1.1338850987952758,4.479001881051818,9.721552913861505
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,IEF,rates,rv5,rv_ratio,3.730514837422457,post_pre_rsq_ratio,2022-02-28,2.4518192463700364e-05,9.146548077261368e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.036,2985,1.1903045045702247,3.3522676274866416,6.090291519754111
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,IEF,rates,rv22,rv_ratio,2.161255655508731,post_pre_rsq_ratio,2022-02-28,2.4518192463700364e-05,5.299008212502396e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.103,2968,1.240235984680439,2.7152844621331957,5.439712410125656
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,ITA,defense,t1_r2,rv_ratio,0.8434004274666232,post_pre_rsq_ratio,2022-02-28,0.00013553305452505913,0.00011430863612229203,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.344,2989,1.341180326377213,5.108879996702387,12.809493784314556
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,ITA,defense,rv5,rv_ratio,1.2492209703520272,post_pre_rsq_ratio,2022-02-28,0.00013553305452505913,0.00016931073388856856,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.306,2985,1.401395166471973,4.654911631989509,12.181124549357069
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,ITA,defense,rv22,rv_ratio,1.0850558571093436,post_pre_rsq_ratio,2022-02-28,0.00013553305452505913,0.00014706093464433544,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.443,2968,1.729694008344897,3.4864056887413133,16.131623642535622
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,IYT,transport_industrials,t1_r2,rv_ratio,2.043698575809662,post_pre_rsq_ratio,2022-02-28,0.00025764247994237955,0.0005265435693263106,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.188,2989,1.2921537416832907,5.127331545326168,12.224438186597688
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,IYT,transport_industrials,rv5,rv_ratio,2.4176126978879564,post_pre_rsq_ratio,2022-02-28,0.00025764247994237955,0.0006228797310240399,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.11,2985,1.3339007531571752,3.6081027207312,10.369301319016166
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,IYT,transport_industrials,rv22,rv_ratio,1.2344879014818597,post_pre_rsq_ratio,2022-02-28,0.00025764247994237955,0.0003180565243966503,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.314,2968,1.28415004262841,2.8852889012274376,7.48067406661014
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,PPA,defense,t1_r2,rv_ratio,0.11230723461037581,post_pre_rsq_ratio,2022-02-28,0.0001091351231398405,1.2256663878698321e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.729,2989,1.2671932537449901,5.341976489606284,11.2848210207596
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,PPA,defense,rv5,rv_ratio,0.683154241675338,post_pre_rsq_ratio,2022-02-28,0.0001091351231398405,7.455612228874237e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.542,2985,1.4910745336681197,4.254418207303322,13.229715703092731
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,PPA,defense,rv22,rv_ratio,1.1204259716116751,post_pre_rsq_ratio,2022-02-28,0.0001091351231398405,0.0001222778263809156,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.374,2968,1.5237022858710285,3.7160221413660173,8.180369665895276
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,QQQ,benchmark,t1_r2,rv_ratio,0.5556815174515136,post_pre_rsq_ratio,2022-02-28,0.0004284552833064653,0.0002380846819878548,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.417,2989,1.3132322996143744,5.251094771328737,16.50694692122771
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,QQQ,benchmark,rv5,rv_ratio,1.0956733888995165,post_pre_rsq_ratio,2022-02-28,0.0004284552833064653,0.0004694470522522973,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.35,2985,1.4144770246011384,4.6083992023094105,11.27048024718375
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,QQQ,benchmark,rv22,rv_ratio,0.9680802740509149,post_pre_rsq_ratio,2022-02-28,0.0004284552833064653,0.00041477910808188534,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.51,2968,1.655539374342215,5.233749527259991,9.341586886393294
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,SPY,benchmark,t1_r2,rv_ratio,1.2443099088448408,post_pre_rsq_ratio,2022-02-28,0.00018930459201000092,0.00023555357962787404,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.246,2989,1.2499358740951876,4.417072665273074,15.877896050089454
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,SPY,benchmark,rv5,rv_ratio,1.6425098165879284,post_pre_rsq_ratio,2022-02-28,0.00018930459201000092,0.0003109346507015992,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.231,2985,1.7673923648971146,6.5240396851408695,19.98573792492628
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,SPY,benchmark,rv22,rv_ratio,1.0970429548692135,post_pre_rsq_ratio,2022-02-28,0.00018930459201000092,0.0002076752689889623,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.399,2968,1.8758174311940683,6.726825117646988,21.290224668304187
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,TLT,rates,t1_r2,rv_ratio,1.3125852831088822,post_pre_rsq_ratio,2022-02-28,0.00010067589463727451,0.00013214569766470695,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.267,2989,1.1456566710018137,4.468498792347598,8.463839779046134
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,TLT,rates,rv5,rv_ratio,3.568172969787594,post_pre_rsq_ratio,2022-02-28,0.00010067589463727451,0.00035922900595390666,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.033,2985,1.1651722705470207,2.7957862433204506,5.525362722381981
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,TLT,rates,rv22,rv_ratio,2.1253552325895293,post_pre_rsq_ratio,2022-02-28,0.00010067589463727451,0.00021397203946296349,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.087,2968,1.2169341821028024,2.671914713304507,4.358418772963721
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,UUP,dollar,t1_r2,rv_ratio,4.503826291696067,post_pre_rsq_ratio,2022-02-28,1.3158490513550296e-05,5.9263555533961116e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.043,2989,1.0649727868647683,3.989157136355473,8.079938518616249
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,UUP,dollar,rv5,rv_ratio,2.7983306693039056,post_pre_rsq_ratio,2022-02-28,1.3158490513550296e-05,3.6821807565812296e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.058,2985,1.1673177604573812,2.8917500082087675,5.6235507678036525
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,UUP,dollar,rv22,rv_ratio,1.688502777903713,post_pre_rsq_ratio,2022-02-28,1.3158490513550296e-05,2.221814778514933e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.148,2968,1.31658595986814,2.3724418003309955,5.274112651147832
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,XAR,defense,t1_r2,rv_ratio,0.3496951794457135,post_pre_rsq_ratio,2022-02-28,0.00021436507407787957,7.496243304655776e-05,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.535,2989,1.1626027942216515,4.406163284630346,11.659484994852122
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,XAR,defense,rv5,rv_ratio,0.5580755917500665,post_pre_rsq_ratio,2022-02-28,0.00021436507407787957,0.00011963191556655949,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.641,2985,1.302175216569478,4.000219558341295,8.215047446166865
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,XAR,defense,rv22,rv_ratio,0.8838286760772218,post_pre_rsq_ratio,2022-02-28,0.00021436507407787957,0.00018946199961944788,2022-01-13,2022-02-17,2022-03-01,2022-03-30,25,22,0.582,2968,1.6731091062510255,3.759780774581717,8.389622618571497
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,XLI,industrials,t1_r2,rv_ratio,1.8772505042471885,post_pre_rsq_ratio,2022-02-28,0.00012031485403109853,0.00022586112039830658,2022-01-13,2022-02-17,2022-03-01,2022-03-01,25,1,0.189,2989,1.4327593501029896,4.87979336774509,15.265652002093212
2022-02-27,germany_zeitenwende_100bn,Germany,national_special_fund,XLI,industrials,rv5,rv_ratio,2.352985005568481,post_pre_rsq_ratio,2022-02-28,0.00012031485403109853,0.0002830990474823354,2022-01-13,2022-02-17,2022-03-01,2022-03-07,25,5,0.149,2985,1.475235358349945,3.7830211966150116,12.383451998039831
