market,ticker,converged,theta0,alpha,gamma,beta,theta_vix,theta_eav,theta_eav_se,theta_eav_t,loglik,n_obs,n_events,sigma2_sample,persistence,params_at_bound,fit_time_sec,analyst_count,market_cap,institutions_pct
KR,005930.KS,True,0.0002936833406448726,0.049463721994916984,0.04946264728932366,0.893551767484609,1.5438229674625302e-07,8.932090090686309e-05,8.719581582264656e-05,1.024371411221599,7907.5566294373375,2940,49,0.00028458250644972875,0.9677468131241878,[],0.94,37,1326265231474688,0.47280997
KR,000660.KS,True,0.0003688562328399507,0.006665467299627429,0.009904740028048453,0.9832312450348387,5.546520939684664e-07,0.0005061055627645869,0.00020684006770180143,2.446844890295784,6848.77887412809,2940,47,0.0005943123104986637,0.9948490823484903,[],0.96,39,736628901412864,0.44957
KR,207940.KS,True,0.0004916724620859492,0.049638047518864935,0.04963732215667665,0.8956478657899144,3.1623556751204057e-07,-2.6211336158427073e-05,0.00017420092388503646,-0.15046611449503672,5349.364254820656,2235,20,0.0005723432615800325,0.9701045743871176,[],0.94,25,71750977060864,0.15499
KR,005380.KS,True,0.0003788401183361172,0.04958420613657903,0.04958337285573251,0.8950004746055901,3.3117507154714527e-07,0.00011036336205099286,0.00012110560320122374,0.9112985620295203,7440.426787956573,2940,49,0.00041518491019305295,0.9693763671700354,[],0.93,32,124551937654784,0.3008
KR,035420.KS,True,0.00041123716509803936,0.029639098730171953,0.07903998204607546,0.8730838197657852,5.341312983066965e-07,-0.0003061974443673923,4.707810440139632e-05,-6.504030870841745,7101.927380361634,2940,48,0.0004798806970348769,0.9422429095189949,[],0.94,26,29747478265856,0.39534
KR,005490.KS,True,0.0004397451991622128,0.049580057768954564,0.04957921619082798,0.8949505944152211,3.470220113371652e-07,-3.317848634517797e-05,9.564959280856822e-05,-0.34687535378828993,7181.671401026824,2940,49,0.0004797695830524117,0.9693202602795896,[],0.94,23,27223480336384,0.30024
KR,035720.KS,True,0.0005748393627562847,0.059578451580530926,0.05957774781605438,0.8461293550877235,3.479040895084711e-07,0.00021578283606862872,0.00031847647350599444,0.6775471785816769,6798.476841110479,2940,45,0.0006065920941986897,0.9354966805762815,[],0.93,26,20674238218240,0.21150999
KR,028260.KS,True,0.0002743338322756909,0.018377052066971464,0.021124498919563625,0.9563574213150142,4.387419101885345e-07,-1.0398599330392355e-05,9.924785353461853e-05,-0.1047740475995809,6740.500828512023,2703,35,0.00047298364901513933,0.9852967228417675,[],0.98,16,47372381978624,0.29118
KR,105560.KS,True,0.00028439118459630774,0.04818418756235123,0.04818029442469802,0.8782190050842057,3.211732656553299e-07,0.00014902195402646793,9.956256979066602e-05,1.4967668506326433,7585.758080054938,2940,49,0.000380397932098989,0.9504933398589059,[],0.07,19,56154835124224,0.60046
KR,055550.KS,True,0.00018304551365448852,0.04764518430944088,0.04761712741468549,0.8717591099973735,3.329548865460239e-07,7.30431238479877e-05,7.220105584096711e-05,1.0116628212318026,7912.962528935632,2940,49,0.0003080229447803478,0.9432128580141571,[],0.04,20,46658524020736,0.47515
CA,RY.TO,True,1.8264701992567408e-05,0.04574175844211709,0.0457398130082678,0.8870683156111113,2.0411043672327425e-07,3.0361758043318566e-05,2.4070493699142577e-05,1.2613683135381677,10147.444371912019,3009,49,0.00011376388471513438,0.9556799805573624,[],0.07,14,332448628736,0.48441002
CA,TD.TO,True,3.06707829176673e-05,0.017015595765849725,0.06839690104634051,0.8767124842033059,2.0677130614042109e-07,0.00011619538116543874,,,9775.3818888744,3009,49,0.0001361076261568832,0.9279265304923259,[],0.04,14,234849271808,0.55304
CA,ENB.TO,True,8.757539839580302e-05,0.05156662687394003,0.05156665272823686,0.9003446124511643,2.8933917982860766e-07,4.486810797412688e-05,4.035802069159668e-05,1.1117519443531403,9064.62964575225,3009,49,0.00021590367442989839,0.9776945656892227,[],0.06,21,161711144960,0.53008
CA,BNS.TO,True,6.520255369078714e-05,0.04850461574248564,0.04850161898099001,0.8820194277672996,1.2619755218274195e-07,9.361809043042083e-05,3.863646995355403e-05,2.423049790598409,9845.962358217357,3009,49,0.00013443996854800103,0.9547748530002802,[],0.05,14,124973834240,0.5202
CA,BMO.TO,True,9.864035028682158e-06,0.030760319071167566,0.030760555497974594,0.8957674477058226,2.8559565304295264e-07,6.84321513375216e-05,2.939218524010977e-05,2.3282430611568246,9731.880488952444,3009,49,0.000157924526525808,0.9419080445259775,[],0.08,14,142192295936,0.53005004
CA,CNQ.TO,True,0.00012231624680824574,0.03742477823324352,0.037434092155296944,0.8423639834619966,9.309332578460255e-07,0.00011628500466837044,0.00010296116112410995,1.1294065004589435,7533.591945436081,3007,49,0.0005027745034873225,0.8985058077728886,[],0.07,19,135320526848,0.745
CA,BCE.TO,True,3.0538548989658324e-05,0.04810168497580986,0.04809787436135749,0.9036918852880172,2.1900548573686425e-07,9.448420376105486e-05,3.9875492276145635e-05,2.3694805598068394,10094.62708249318,3009,49,0.00011210968239974956,0.9758425074445058,[],0.06,17,30204510208,0.48037
CA,CP.TO,True,0.00011795888589369525,0.05429841553243959,0.05428889149136468,0.7976482789303339,2.625686352588408e-07,0.0005662874107136774,0.0001805100705456941,3.137151345638238,8591.404969638274,3009,49,0.0002403902823211118,0.8790911402084558,[],0.04,20,99897933824,0.73509
CA,MFC.TO,True,8.872423241249019e-05,0.04850866061664351,0.0485064542479268,0.8820790269755905,3.257175748702217e-07,0.0011618851057409716,0.0002944479972736109,3.945977274422788,8769.20539118624,3009,49,0.00026411484681971583,0.9548409147161974,[],0.04,15,85789474816,0.55357
CA,CSU.TO,True,0.00022960629586829136,0.13477422426021,0.06216592410179712,0.7507036286045954,2.531009934218853e-07,0.0013050532375913158,0.0002783301198983079,4.688868161549086,8248.961998411312,3009,49,0.0002820172894801785,0.916560814915704,[],0.05,12,52285861888,0.3832
HK,0700.HK,True,0.00019192001452237806,0.055989245356596766,0.05599093956887284,0.8486486216846403,8.177128881802906e-07,0.0006879667697895582,0.0002232770381527142,3.081224901053244,7343.291667595161,2954,49,0.0004777450476146887,0.9326333368256735,[],0.09,44,4428080873472,0.24017
HK,0388.HK,True,0.00022760992601732384,0.06766285097342821,0.0676628509475261,0.8525949199823561,5.045109430940981e-07,5.5201564582815316e-05,6.943607200634337e-05,0.7949983774683042,7734.198085633093,2954,49,0.00038607394007167704,0.9540891964295474,[],0.04,17,512943816704,0.30567
HK,0939.HK,True,0.00017565438385956986,0.05683499752648062,0.05682971371645481,0.8209390424257142,1.1156768562948683e-07,0.00024843855076759475,0.0001889600007386841,1.3147679392273315,8473.01864054504,2954,48,0.00019595261932809412,0.9061888968104223,[],0.04,17,2264319131648,0.18159
