date,macro_release_day,release_count,macro_surprise_proxy,macro_abs_surprise_proxy,is_cpi,is_employment,is_gdp,near_macro_release,control_eligible,spy_ret_z,spy_abs_ret_z,vix_jump_z,EFA_ret_z,EFA_abs_ret_z,EFA_jump,EEM_ret_z,EEM_abs_ret_z,EEM_jump,EWJ_ret_z,EWJ_abs_ret_z,EWJ_jump,EWG_ret_z,EWG_abs_ret_z,EWG_jump,EWT_ret_z,EWT_abs_ret_z,EWT_jump,EWY_ret_z,EWY_abs_ret_z,EWY_jump,EWZ_ret_z,EWZ_abs_ret_z,EWZ_jump,INDA_ret_z,INDA_abs_ret_z,INDA_jump,avg_country_abs_ret_z,avg_country_ret_z,global_cojump_count,avg_country_fwd5_rv,avg_country_fwd5_rv_z,macro_release_signal,macro_abs_surprise_signal,macro_market_abs_proxy,macro_market_abs_signal
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.31029331653293946,0.31029331653293946,0.3862794886831662,-0.4277809571983627,0.4277809571983627,0.0,-0.14718827558527076,0.14718827558527076,0.0,-0.120734277564017,0.120734277564017,0.0,-0.8190540181242046,0.8190540181242046,0.0,-0.6135392915993716,0.6135392915993716,0.0,0.31343383206447334,0.31343383206447334,0.0,0.6339017711390444,0.6339017711390444,0.0,1.6209731592804832,1.6209731592804832,0.0,0.5870756978194035,0.0550014928015968,0.0,0.16754956419945163,1.1838687570422024,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5689170462381092,1.5689170462381092,0.0,0.5446605045771813,0.5446605045771813,0.0,0.9558471813845171,0.9558471813845171,0.0,0.36225297895964254,0.36225297895964254,0.0,0.3084930191262615,0.3084930191262615,0.0,1.3015493750038716,1.3015493750038716,0.0,2.3023304377868468,2.3023304377868468,1.0,-0.8263558002706275,0.8263558002706275,0.0,-0.063255537112886,0.063255537112886,0.0,0.8330931042777293,0.6106902699318509,1.0,0.21600631555926467,1.782422017712347,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7241499001477221,0.7241499001477221,0.0,1.1816952064337027,1.1816952064337027,0.0,0.3649212795794745,0.3649212795794745,0.0,0.20070698367744355,0.20070698367744355,0.0,2.0447844474884342,2.0447844474884342,1.0,2.2703612802410253,2.2703612802410253,1.0,2.0106406542095128,2.0106406542095128,1.0,1.2348161319279203,1.2348161319279203,0.0,-1.5502697275781732,1.5502697275781732,0.0,1.3572744638919607,0.9697070319974175,3.0,0.20418294492798114,1.2390719321706287,0.0,0.0,0.0,0.0
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.432974126109898,1.432974126109898,1.234387715009981,-0.0978090999982243,0.0978090999982243,0.0,-0.7312024260663277,0.7312024260663277,0.0,-0.21412146627604686,0.21412146627604686,0.0,0.5014337015281519,0.5014337015281519,0.0,-1.02403247033151,1.02403247033151,0.0,-0.8627916414390082,0.8627916414390082,0.0,1.0566123966307626,1.0566123966307626,0.0,-0.4484628628273628,0.4484628628273628,0.0,0.6170582581371743,-0.22754673359744568,0.0,0.17403187645908233,0.14255275648317345,0.0,0.0,0.0,0.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18313075557936673,0.18313075557936673,0.0,-0.1958176103962338,0.1958176103962338,0.0,-0.48981195137714345,0.48981195137714345,0.0,-0.22820406354559852,0.22820406354559852,0.0,-0.13342574545846642,0.13342574545846642,0.0,-0.8502713817227375,0.8502713817227375,0.0,0.7608691478982953,0.7608691478982953,0.0,-0.9617997458697222,0.9617997458697222,0.0,-0.21409345933687263,0.21409345933687263,0.0,0.47928663820063366,-0.28906935122605987,0.0,0.20412627033861216,0.6449785465126296,0.0,0.0,0.0,0.0
2025-01-10,1.0,1.0,0.410430577276349,0.410430577276349,0.0,1.0,0.0,1.0,0.0,-1.9406807918229374,1.9406807918229374,1.1577836404445963,-1.9153054188907246,1.9153054188907246,0.0,-1.7571963379680802,1.7571963379680802,0.0,-2.5433996272375703,2.5433996272375703,1.0,-1.1788806785736745,1.1788806785736745,0.0,-1.950647141647285,1.950647141647285,0.0,-1.0154201210238982,1.0154201210238982,0.0,-0.5636773299255161,0.5636773299255161,0.0,-2.4259493328510584,2.4259493328510584,1.0,1.668809498514726,-1.668809498514726,2.0,0.20385373712207389,0.5517103969888318,0.0,0.0,1.9406807918229374,0.0
2025-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1938411171939167,0.1938411171939167,0.0,-0.348204432809521,0.348204432809521,0.0,-0.6999998122016886,0.6999998122016886,0.0,0.24625160736060622,0.24625160736060622,0.0,-0.5425982032449034,0.5425982032449034,0.0,-1.2810998421463555,1.2810998421463555,0.0,-0.03847640801887307,0.03847640801887307,0.0,0.37675506525081137,0.37675506525081137,0.0,-1.2191994587340182,1.2191994587340182,0.0,0.5940731037208472,-0.4383214355679928,0.0,0.1562917616788904,-0.9486481534879554,1.0,0.410430577276349,0.0,1.9406807918229374
2025-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17215731126582645,0.17215731126582645,0.0,0.4479449419696025,0.4479449419696025,0.0,1.1464241569197235,1.1464241569197235,0.0,-0.1786426320767357,0.1786426320767357,0.0,1.183135844388047,1.183135844388047,0.0,1.0437957095418708,1.0437957095418708,0.0,0.6514045183819794,0.6514045183819794,0.0,0.4990503539641634,0.4990503539641634,0.0,0.6099378026889123,0.6099378026889123,0.0,0.7200419949913793,0.6753813369721954,0.0,0.1875979080696983,-0.26680352378498856,0.0,0.0,0.0,0.0
2025-01-15,1.0,1.0,-0.040448985835250424,0.040448985835250424,1.0,0.0,0.0,1.0,0.0,2.25709808926692,2.25709808926692,0.0,1.5791658031726896,1.5791658031726896,0.0,1.326737091578577,1.326737091578577,0.0,1.3395650637232792,1.3395650637232792,0.0,1.8955380372792623,1.8955380372792623,0.0,0.7970772004473148,0.7970772004473148,0.0,0.9961226749539033,0.9961226749539033,0.0,2.4735623927305577,2.4735623927305577,1.0,0.7572024447518456,0.7572024447518456,0.0,1.3956213385796787,1.3956213385796787,1.0,0.18075396509156563,0.10313939761359112,0.0,0.0,2.25709808926692,0.0
2025-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2388414490975489,0.2388414490975489,0.3405706367042997,0.6330856082896565,0.6330856082896565,0.0,-0.12175324274538184,0.12175324274538184,0.0,-0.5704597600228132,0.5704597600228132,0.0,0.13089620901103108,0.13089620901103108,0.0,0.6451645191558265,0.6451645191558265,0.0,-0.3130290156444849,0.3130290156444849,0.0,-1.2259468261607833,1.2259468261607833,0.0,-0.49934384568358414,0.49934384568358414,0.0,0.5174598783391953,-0.16517329422506666,0.0,0.1503941438639823,-0.8422759731695627,1.0,0.040448985835250424,0.0,2.25709808926692
