ticker,n_days,first_date,last_date,corr_with_eem,corr_with_spy,ann_vol,ann_return
ARGT,3855,2011-03-04,2026-07-02,0.6055320305373799,0.5993437981840225,0.30117096932080517,0.08698569302157558
GREK,3660,2011-12-09,2026-07-02,0.5336718214554679,0.5246830911677068,0.36579594035107815,0.06020417578371734
VNM,4245,2009-08-17,2026-07-02,0.5271928941603989,0.5100511589953612,0.252601473591162,-0.004377433591268694
KSA,2712,2015-09-18,2026-07-02,0.5145164089450429,0.5021658876599139,0.20348400203186034,0.06057705243172112
UAE,3060,2014-05-02,2026-07-02,0.4627135502772283,0.4307568192569517,0.21677041510020031,0.017538790880645392
QAT,3060,2014-05-02,2026-07-02,0.38439660375661905,0.35832658792239075,0.18917542259479375,0.011996518672897563
