symbol,name,holding_percent,etf
BRK-B,Berkshire Hathaway Inc Class B,0.118342504,XLF
JPM,JPMorgan Chase & Co,0.109763496,XLF
V,Visa Inc Class A,0.074621804,XLF
MA,Mastercard Inc Class A,0.0547186,XLF
BAC,Bank of America Corp,0.0465695,XLF
GS,The Goldman Sachs Group Inc,0.0418403,XLF
MS,Morgan Stanley,0.034035698,XLF
WFC,Wells Fargo & Co,0.0326159,XLF
C,Citigroup Inc,0.0299243,XLF
AXP,American Express Co,0.0230533,XLF
