symbol,name,holding_percent,etf
CAT,Caterpillar Inc,0.075508095,XLI
GE,GE Aerospace,0.0629163,XLI
GEV,GE Vernova Inc,0.0483574,XLI
RTX,RTX Corp,0.044684302,XLI
BA,Boeing Co,0.0336288,XLI
UNP,Union Pacific Corp,0.0288718,XLI
ETN,Eaton Corp PLC,0.028825099,XLI
HON,Honeywell International Inc,0.0279767,XLI
UBER,Uber Technologies Inc,0.026841499,XLI
DE,Deere & Co,0.025321,XLI
